,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBTJ,2021-12-31,WORST,2022-01-06,0.0,268568.462,268568.462
1,IBTJ,2021-12-31,WORST,2022-02-15,117066.827,0.0,117066.827
2,IBTJ,2021-12-31,WORST,2022-05-16,130814.327,0.0,130814.327
3,IBTJ,2021-12-31,WORST,2022-08-15,117066.827,0.0,117066.827
4,IBTJ,2021-12-31,WORST,2022-11-15,130814.327,0.0,130814.327
5,IBTJ,2021-12-31,WORST,2023-02-15,117066.827,0.0,117066.827
6,IBTJ,2021-12-31,WORST,2023-05-15,130814.327,0.0,130814.327
7,IBTJ,2021-12-31,WORST,2023-08-15,117066.827,0.0,117066.827
8,IBTJ,2021-12-31,WORST,2023-11-15,130814.327,0.0,130814.327
9,IBTJ,2021-12-31,WORST,2024-02-15,117066.827,0.0,117066.827
10,IBTJ,2021-12-31,WORST,2024-05-15,130814.327,0.0,130814.327
11,IBTJ,2021-12-31,WORST,2024-08-15,117066.827,0.0,117066.827
12,IBTJ,2021-12-31,WORST,2024-11-15,130814.327,0.0,130814.327
13,IBTJ,2021-12-31,WORST,2025-02-18,117066.827,0.0,117066.827
14,IBTJ,2021-12-31,WORST,2025-05-15,130814.327,0.0,130814.327
15,IBTJ,2021-12-31,WORST,2025-08-15,117066.827,0.0,117066.827
16,IBTJ,2021-12-31,WORST,2025-11-17,130814.327,0.0,130814.327
17,IBTJ,2021-12-31,WORST,2026-02-17,117066.827,0.0,117066.827
18,IBTJ,2021-12-31,WORST,2026-05-15,130814.327,0.0,130814.327
19,IBTJ,2021-12-31,WORST,2026-08-17,117066.827,0.0,117066.827
20,IBTJ,2021-12-31,WORST,2026-11-16,130814.327,0.0,130814.327
21,IBTJ,2021-12-31,WORST,2027-02-16,117066.827,0.0,117066.827
22,IBTJ,2021-12-31,WORST,2027-05-17,130814.327,0.0,130814.327
23,IBTJ,2021-12-31,WORST,2027-08-16,117066.827,0.0,117066.827
24,IBTJ,2021-12-31,WORST,2027-11-15,130814.327,0.0,130814.327
25,IBTJ,2021-12-31,WORST,2028-02-15,117066.827,0.0,117066.827
26,IBTJ,2021-12-31,WORST,2028-05-15,130814.327,0.0,130814.327
27,IBTJ,2021-12-31,WORST,2028-08-15,117066.827,0.0,117066.827
28,IBTJ,2021-12-31,WORST,2028-11-15,130814.327,0.0,130814.327
29,IBTJ,2021-12-31,WORST,2029-02-15,117066.827,4088615.385,4205682.212
30,IBTJ,2021-12-31,WORST,2029-05-15,130814.327,9054923.077,9185737.404
31,IBTJ,2021-12-31,WORST,2029-08-15,63403.75,7803538.462,7866942.212
32,IBTJ,2021-12-31,WORST,2029-11-15,23287.115,2661384.615,2684671.731
33,IBTJ,2021-12-31,MATURITY,2022-01-06,0.0,268568.462,268568.462
34,IBTJ,2021-12-31,MATURITY,2022-02-15,117066.827,0.0,117066.827
35,IBTJ,2021-12-31,MATURITY,2022-05-16,130814.327,0.0,130814.327
36,IBTJ,2021-12-31,MATURITY,2022-08-15,117066.827,0.0,117066.827
37,IBTJ,2021-12-31,MATURITY,2022-11-15,130814.327,0.0,130814.327
38,IBTJ,2021-12-31,MATURITY,2023-02-15,117066.827,0.0,117066.827
39,IBTJ,2021-12-31,MATURITY,2023-05-15,130814.327,0.0,130814.327
40,IBTJ,2021-12-31,MATURITY,2023-08-15,117066.827,0.0,117066.827
41,IBTJ,2021-12-31,MATURITY,2023-11-15,130814.327,0.0,130814.327
42,IBTJ,2021-12-31,MATURITY,2024-02-15,117066.827,0.0,117066.827
43,IBTJ,2021-12-31,MATURITY,2024-05-15,130814.327,0.0,130814.327
44,IBTJ,2021-12-31,MATURITY,2024-08-15,117066.827,0.0,117066.827
45,IBTJ,2021-12-31,MATURITY,2024-11-15,130814.327,0.0,130814.327
46,IBTJ,2021-12-31,MATURITY,2025-02-18,117066.827,0.0,117066.827
47,IBTJ,2021-12-31,MATURITY,2025-05-15,130814.327,0.0,130814.327
48,IBTJ,2021-12-31,MATURITY,2025-08-15,117066.827,0.0,117066.827
49,IBTJ,2021-12-31,MATURITY,2025-11-17,130814.327,0.0,130814.327
50,IBTJ,2021-12-31,MATURITY,2026-02-17,117066.827,0.0,117066.827
51,IBTJ,2021-12-31,MATURITY,2026-05-15,130814.327,0.0,130814.327
52,IBTJ,2021-12-31,MATURITY,2026-08-17,117066.827,0.0,117066.827
53,IBTJ,2021-12-31,MATURITY,2026-11-16,130814.327,0.0,130814.327
54,IBTJ,2021-12-31,MATURITY,2027-02-16,117066.827,0.0,117066.827
55,IBTJ,2021-12-31,MATURITY,2027-05-17,130814.327,0.0,130814.327
56,IBTJ,2021-12-31,MATURITY,2027-08-16,117066.827,0.0,117066.827
57,IBTJ,2021-12-31,MATURITY,2027-11-15,130814.327,0.0,130814.327
58,IBTJ,2021-12-31,MATURITY,2028-02-15,117066.827,0.0,117066.827
59,IBTJ,2021-12-31,MATURITY,2028-05-15,130814.327,0.0,130814.327
60,IBTJ,2021-12-31,MATURITY,2028-08-15,117066.827,0.0,117066.827
61,IBTJ,2021-12-31,MATURITY,2028-11-15,130814.327,0.0,130814.327
62,IBTJ,2021-12-31,MATURITY,2029-02-15,117066.827,4088615.385,4205682.212
63,IBTJ,2021-12-31,MATURITY,2029-05-15,130814.327,9054923.077,9185737.404
64,IBTJ,2021-12-31,MATURITY,2029-08-15,63403.75,7803538.462,7866942.212
65,IBTJ,2021-12-31,MATURITY,2029-11-15,23287.115,2661384.615,2684671.731
