,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IBTK,2021-12-31,WORST,2022-01-06,0.0,108337.45,108337.45
1,IBTK,2021-12-31,WORST,2022-02-15,52431.875,0.0,52431.875
2,IBTK,2021-12-31,WORST,2022-05-16,51072.188,0.0,51072.188
3,IBTK,2021-12-31,WORST,2022-08-15,52431.875,0.0,52431.875
4,IBTK,2021-12-31,WORST,2022-11-15,51072.188,0.0,51072.188
5,IBTK,2021-12-31,WORST,2023-02-15,52431.875,0.0,52431.875
6,IBTK,2021-12-31,WORST,2023-05-15,51072.188,0.0,51072.188
7,IBTK,2021-12-31,WORST,2023-08-15,52431.875,0.0,52431.875
8,IBTK,2021-12-31,WORST,2023-11-15,51072.188,0.0,51072.188
9,IBTK,2021-12-31,WORST,2024-02-15,52431.875,0.0,52431.875
10,IBTK,2021-12-31,WORST,2024-05-15,51072.188,0.0,51072.188
11,IBTK,2021-12-31,WORST,2024-08-15,52431.875,0.0,52431.875
12,IBTK,2021-12-31,WORST,2024-11-15,51072.188,0.0,51072.188
13,IBTK,2021-12-31,WORST,2025-02-18,52431.875,0.0,52431.875
14,IBTK,2021-12-31,WORST,2025-05-15,51072.188,0.0,51072.188
15,IBTK,2021-12-31,WORST,2025-08-15,52431.875,0.0,52431.875
16,IBTK,2021-12-31,WORST,2025-11-17,51072.188,0.0,51072.188
17,IBTK,2021-12-31,WORST,2026-02-17,52431.875,0.0,52431.875
18,IBTK,2021-12-31,WORST,2026-05-15,51072.188,0.0,51072.188
19,IBTK,2021-12-31,WORST,2026-08-17,52431.875,0.0,52431.875
20,IBTK,2021-12-31,WORST,2026-11-16,51072.188,0.0,51072.188
21,IBTK,2021-12-31,WORST,2027-02-16,52431.875,0.0,52431.875
22,IBTK,2021-12-31,WORST,2027-05-17,51072.188,0.0,51072.188
23,IBTK,2021-12-31,WORST,2027-08-16,52431.875,0.0,52431.875
24,IBTK,2021-12-31,WORST,2027-11-15,51072.188,0.0,51072.188
25,IBTK,2021-12-31,WORST,2028-02-15,52431.875,0.0,52431.875
26,IBTK,2021-12-31,WORST,2028-05-15,51072.188,0.0,51072.188
27,IBTK,2021-12-31,WORST,2028-08-15,52431.875,0.0,52431.875
28,IBTK,2021-12-31,WORST,2028-11-15,51072.188,0.0,51072.188
29,IBTK,2021-12-31,WORST,2029-02-15,52431.875,0.0,52431.875
30,IBTK,2021-12-31,WORST,2029-05-15,51072.188,0.0,51072.188
31,IBTK,2021-12-31,WORST,2029-08-15,52431.875,0.0,52431.875
32,IBTK,2021-12-31,WORST,2029-11-15,51072.188,0.0,51072.188
33,IBTK,2021-12-31,WORST,2030-02-15,52431.875,4040500.0,4092931.875
34,IBTK,2021-12-31,WORST,2030-05-15,51072.188,5750000.0,5801072.188
35,IBTK,2021-12-31,WORST,2030-08-15,22128.125,7081000.0,7103128.125
36,IBTK,2021-12-31,WORST,2030-11-15,33103.438,7566500.0,7599603.438
37,IBTK,2021-12-31,MATURITY,2022-01-06,0.0,108337.45,108337.45
38,IBTK,2021-12-31,MATURITY,2022-02-15,52431.875,0.0,52431.875
39,IBTK,2021-12-31,MATURITY,2022-05-16,51072.188,0.0,51072.188
40,IBTK,2021-12-31,MATURITY,2022-08-15,52431.875,0.0,52431.875
41,IBTK,2021-12-31,MATURITY,2022-11-15,51072.188,0.0,51072.188
42,IBTK,2021-12-31,MATURITY,2023-02-15,52431.875,0.0,52431.875
43,IBTK,2021-12-31,MATURITY,2023-05-15,51072.188,0.0,51072.188
44,IBTK,2021-12-31,MATURITY,2023-08-15,52431.875,0.0,52431.875
45,IBTK,2021-12-31,MATURITY,2023-11-15,51072.188,0.0,51072.188
46,IBTK,2021-12-31,MATURITY,2024-02-15,52431.875,0.0,52431.875
47,IBTK,2021-12-31,MATURITY,2024-05-15,51072.188,0.0,51072.188
48,IBTK,2021-12-31,MATURITY,2024-08-15,52431.875,0.0,52431.875
49,IBTK,2021-12-31,MATURITY,2024-11-15,51072.188,0.0,51072.188
50,IBTK,2021-12-31,MATURITY,2025-02-18,52431.875,0.0,52431.875
51,IBTK,2021-12-31,MATURITY,2025-05-15,51072.188,0.0,51072.188
52,IBTK,2021-12-31,MATURITY,2025-08-15,52431.875,0.0,52431.875
53,IBTK,2021-12-31,MATURITY,2025-11-17,51072.188,0.0,51072.188
54,IBTK,2021-12-31,MATURITY,2026-02-17,52431.875,0.0,52431.875
55,IBTK,2021-12-31,MATURITY,2026-05-15,51072.188,0.0,51072.188
56,IBTK,2021-12-31,MATURITY,2026-08-17,52431.875,0.0,52431.875
57,IBTK,2021-12-31,MATURITY,2026-11-16,51072.188,0.0,51072.188
58,IBTK,2021-12-31,MATURITY,2027-02-16,52431.875,0.0,52431.875
59,IBTK,2021-12-31,MATURITY,2027-05-17,51072.188,0.0,51072.188
60,IBTK,2021-12-31,MATURITY,2027-08-16,52431.875,0.0,52431.875
61,IBTK,2021-12-31,MATURITY,2027-11-15,51072.188,0.0,51072.188
62,IBTK,2021-12-31,MATURITY,2028-02-15,52431.875,0.0,52431.875
63,IBTK,2021-12-31,MATURITY,2028-05-15,51072.188,0.0,51072.188
64,IBTK,2021-12-31,MATURITY,2028-08-15,52431.875,0.0,52431.875
65,IBTK,2021-12-31,MATURITY,2028-11-15,51072.188,0.0,51072.188
66,IBTK,2021-12-31,MATURITY,2029-02-15,52431.875,0.0,52431.875
67,IBTK,2021-12-31,MATURITY,2029-05-15,51072.188,0.0,51072.188
68,IBTK,2021-12-31,MATURITY,2029-08-15,52431.875,0.0,52431.875
69,IBTK,2021-12-31,MATURITY,2029-11-15,51072.188,0.0,51072.188
70,IBTK,2021-12-31,MATURITY,2030-02-15,52431.875,4040500.0,4092931.875
71,IBTK,2021-12-31,MATURITY,2030-05-15,51072.188,5750000.0,5801072.188
72,IBTK,2021-12-31,MATURITY,2030-08-15,22128.125,7081000.0,7103128.125
73,IBTK,2021-12-31,MATURITY,2030-11-15,33103.438,7566500.0,7599603.438
