,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US91282CDA62,91282CDA6,United States,10000000,9936,9936,USD,ISHICSH,9/30/2021,
12/30/2021,KOREA DEVELOPMENT BANK MTN 144A,KDB,US500630DC91,,"Korea (South), Republic of",12500000,12511,12511,USD,ISHICSH,9/21/2020,
12/30/2021,KOREA DEVELOPMENT BANK,KDB,US500630CZ95,500630CZ9,"Korea (South), Republic of",16455000,16484,16484,USD,ISHICSH,2/18/2020,
12/30/2021,AMERICAN EXPRESS COMPANY,AXP,US025816CJ65,,United States,10000000,9989,9989,USD,ISHICSH,11/4/2021,
12/30/2021,AMERICAN EXPRESS COMPANY,AXP,US025816CK39,,United States,10000000,9992,9992,USD,ISHICSH,11/4/2021,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGE35,,United States,1615000,1639,1639,USD,ISHICSH,1/20/2017,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGQ64,06051GGQ6,United States,20834000,21326,21326,USD,ISHICSH,7/21/2017,
12/30/2021,BANK OF AMERICA CORP,BAC,US06051GHC69,06051GHC6,United States,10000000,10216,10216,USD,ISHICSH,5/22/2018,
12/30/2021,BANK OF AMERICA CORP,BAC,US06051GJY61,06051GJY6,United States,18580000,18464,18464,USD,ISHICSH,6/14/2021,
12/30/2021,BRIGHTHOUSE FINANCIAL GLOBAL FUNDI MTN 144A,BHF,US10921U2F47,,United States,23890000,23875,23875,USD,ISHICSH,8/24/2021,
12/30/2021,BRIGHTHOUSE FINANCIAL GLOBAL FUNDI MTN 144A,BHF,US10921U2G20,10921U2G2,United States,17000000,17022,17022,USD,ISHICSH,12/15/2021,
12/30/2021,CITIGROUP INC,C,US172967LG49,,United States,5000000,5052,5052,USD,ISHICSH,4/25/2017,
12/30/2021,CITIGROUP INC,C,US172967LM17,172967LM1,United States,20000000,20486,20486,USD,ISHICSH,7/24/2017,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550UAA97,22550UAA9,Switzerland,16000000,16004,16004,USD,ISHICSH,2/4/2020,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550L2B68,,Switzerland,6300000,6378,6378,USD,ISHICSH,4/9/2020,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH) MTN,CS,US22550L2D25,22550L2D2,Switzerland,5000000,5022,5022,USD,ISHICSH,6/5/2020,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550UAB70,,Switzerland,15000000,14980,14980,USD,ISHICSH,2/2/2021,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550L2E08,,Switzerland,5335000,5286,5286,USD,ISHICSH,2/2/2021,
12/30/2021,DEUTSCHE BANK AG (NEW YORK BRANCH),DB,US251526CL15,251526CL1,Germany,16220000,16207,16207,USD,ISHICSH,11/8/2021,
12/30/2021,DEUTSCHE BANK AG (NEW YORK BRANCH),DB,US251526CM97,251526CM9,Germany,20815000,20789,20789,USD,ISHICSH,11/8/2021,
12/30/2021,DZ BANK AG DEUTSCHE ZENTRAL GENOSS,DZBK,US23328AM508,,Germany,27000000,27006,27006,USD,ISHICSH,2/20/2020,
12/30/2021,FIFTH THIRD BANK MTN,FITB,US31677QBS75,31677QBS7,United States,4560000,4641,4641,USD,ISHICSH,1/31/2020,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXQ27,,United States,12000000,12008,12008,USD,ISHICSH,1/27/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXP44,,United States,5000000,4997,4997,USD,ISHICSH,1/27/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXY50,,United States,20000000,19969,19969,USD,ISHICSH,3/8/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXK56,,United States,7000000,7001,7001,USD,ISHICSH,11/19/2020,
