,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,ICVT,2020-10-02,WORST,2020-10-08,0.0,161043.239,161043.239
1,ICVT,2020-10-02,WORST,2020-10-15,22499.077,143839.213,166338.289
2,ICVT,2020-10-02,WORST,2020-11-02,37080.719,434.993,37515.712
3,ICVT,2020-10-02,WORST,2020-11-16,42518.581,93.815,42612.395
4,ICVT,2020-10-02,WORST,2020-12-01,47090.685,203165.284,250255.969
5,ICVT,2020-10-02,WORST,2020-12-15,45262.317,80195.941,125458.261
6,ICVT,2020-10-02,WORST,2020-12-31,4057.991,0.0,4057.991
7,ICVT,2020-10-02,WORST,2021-01-04,18820.828,70.539,18891.367
8,ICVT,2020-10-02,WORST,2021-01-15,22651.281,2189.447,24840.728
9,ICVT,2020-10-02,WORST,2021-01-29,943.83,0.0,943.83
10,ICVT,2020-10-02,WORST,2021-02-01,23879.923,146607.184,170487.108
11,ICVT,2020-10-02,WORST,2021-02-16,52319.842,3316.796,55636.639
12,ICVT,2020-10-02,WORST,2021-03-01,25415.112,484.221,25899.334
13,ICVT,2020-10-02,WORST,2021-03-15,30220.708,201770.067,231990.778
14,ICVT,2020-10-02,WORST,2021-03-31,3449.468,0.0,3449.468
15,ICVT,2020-10-02,WORST,2021-04-01,40028.775,1804.875,41833.65
16,ICVT,2020-10-02,WORST,2021-04-15,21919.296,142.684,22061.98
17,ICVT,2020-10-02,WORST,2021-05-03,37104.025,2652.236,39756.264
18,ICVT,2020-10-02,WORST,2021-05-17,42471.665,300394.467,342866.137
19,ICVT,2020-10-02,WORST,2021-06-01,45572.881,198748.74,244321.62
20,ICVT,2020-10-02,WORST,2021-06-15,42977.912,188725.928,231703.842
21,ICVT,2020-10-02,WORST,2021-06-20,59.276,131319.149,131378.425
22,ICVT,2020-10-02,WORST,2021-06-30,3449.468,0.0,3449.468
23,ICVT,2020-10-02,WORST,2021-07-01,18426.122,142.514,18568.638
24,ICVT,2020-10-02,WORST,2021-07-15,22672.201,3838.193,26510.392
25,ICVT,2020-10-02,WORST,2021-07-30,943.83,0.0,943.83
26,ICVT,2020-10-02,WORST,2021-08-02,23390.895,1603.888,24994.783
27,ICVT,2020-10-02,WORST,2021-08-16,52257.759,4405.227,56662.986
28,ICVT,2020-10-02,WORST,2021-08-31,1872.34,0.0,1872.34
29,ICVT,2020-10-02,WORST,2021-09-01,23252.871,634.213,23887.083
30,ICVT,2020-10-02,WORST,2021-09-15,27883.571,655082.45,682966.016
31,ICVT,2020-10-02,WORST,2021-09-30,3449.468,0.0,3449.468
32,ICVT,2020-10-02,WORST,2021-10-01,39582.172,1857.135,41439.307
33,ICVT,2020-10-02,WORST,2021-10-15,21909.747,232.917,22142.665
34,ICVT,2020-10-02,WORST,2021-11-01,36875.803,3732.671,40608.475
35,ICVT,2020-10-02,WORST,2021-11-15,31594.717,285730.495,317325.211
36,ICVT,2020-10-02,WORST,2021-12-01,44285.753,114853.104,159138.86
37,ICVT,2020-10-02,WORST,2021-12-02,9.309,148936.17,148945.479
38,ICVT,2020-10-02,WORST,2021-12-15,40275.393,4220.045,44495.438
39,ICVT,2020-10-02,WORST,2021-12-31,3449.468,0.0,3449.468
40,ICVT,2020-10-02,WORST,2022-01-03,18425.879,165.445,18591.326
41,ICVT,2020-10-02,WORST,2022-01-18,22516.929,197322.209,219839.137
42,ICVT,2020-10-02,WORST,2022-01-31,943.83,0.0,943.83
43,ICVT,2020-10-02,WORST,2022-02-01,23342.543,120004.181,143346.728
44,ICVT,2020-10-02,WORST,2022-02-15,51987.057,634495.92,686482.988
45,ICVT,2020-10-02,WORST,2022-02-28,1872.34,0.0,1872.34
46,ICVT,2020-10-02,WORST,2022-03-01,22281.505,838.557,23120.063
47,ICVT,2020-10-02,WORST,2022-03-15,24633.785,3965.949,28599.735
48,ICVT,2020-10-02,WORST,2022-03-31,3449.468,0.0,3449.468
49,ICVT,2020-10-02,WORST,2022-04-01,39542.324,2460.327,42002.653
50,ICVT,2020-10-02,WORST,2022-04-15,21892.224,427.444,22319.668
51,ICVT,2020-10-02,WORST,2022-05-02,36672.567,72508.44,109181.01
52,ICVT,2020-10-02,WORST,2022-05-05,83.776,172340.426,172424.202
53,ICVT,2020-10-02,WORST,2022-05-16,29301.98,909.997,30211.977
54,ICVT,2020-10-02,WORST,2022-06-01,42253.141,188668.745,230921.884
55,ICVT,2020-10-02,WORST,2022-06-15,40134.493,197014.284,237148.777
56,ICVT,2020-10-02,WORST,2022-06-30,3449.468,0.0,3449.468
57,ICVT,2020-10-02,WORST,2022-07-01,18425.486,267.98,18693.464
58,ICVT,2020-10-02,WORST,2022-07-15,17562.584,4987.898,22550.484
59,ICVT,2020-10-02,WORST,2022-07-29,943.83,0.0,943.83
60,ICVT,2020-10-02,WORST,2022-08-01,21068.865,1887.857,22956.72
61,ICVT,2020-10-02,WORST,2022-08-15,43943.044,266433.98,310377.023
62,ICVT,2020-10-02,WORST,2022-08-23,3620.556,145957.447,149578.003
63,ICVT,2020-10-02,WORST,2022-08-31,1872.34,0.0,1872.34
64,ICVT,2020-10-02,WORST,2022-09-01,22120.422,288840.9,310961.323
65,ICVT,2020-10-02,WORST,2022-09-15,24434.673,77227.325,101661.996
66,ICVT,2020-10-02,WORST,2022-09-30,3449.468,0.0,3449.468
67,ICVT,2020-10-02,WORST,2022-10-03,39494.955,563340.013,602834.964
68,ICVT,2020-10-02,WORST,2022-10-17,21871.379,508.52,22379.899
69,ICVT,2020-10-02,WORST,2022-11-01,32154.746,209909.679,242064.425
70,ICVT,2020-10-02,WORST,2022-11-15,29298.914,428470.66,457769.574
71,ICVT,2020-10-02,WORST,2022-12-01,40225.281,1504.213,41729.491
72,ICVT,2020-10-02,WORST,2022-12-15,39517.385,200954.618,240472.004
73,ICVT,2020-10-02,WORST,2022-12-30,3449.468,0.0,3449.468
74,ICVT,2020-10-02,WORST,2023-01-03,18425.067,189583.47,208008.537
75,ICVT,2020-10-02,WORST,2023-01-17,17426.21,395832.065,413258.275
76,ICVT,2020-10-02,WORST,2023-01-30,943.83,188765.957,189709.787
77,ICVT,2020-10-02,WORST,2023-02-01,21008.764,97747.696,118756.458
78,ICVT,2020-10-02,WORST,2023-02-15,40859.232,12742.739,53601.981
79,ICVT,2020-10-02,WORST,2023-02-28,1872.34,0.0,1872.34
80,ICVT,2020-10-02,WORST,2023-03-01,21333.711,876.917,22210.628
81,ICVT,2020-10-02,WORST,2023-03-15,23111.407,176667.601,199779.01
82,ICVT,2020-10-02,WORST,2023-03-31,3449.468,0.0,3449.468
83,ICVT,2020-10-02,WORST,2023-04-03,38218.832,994436.815,1032655.646
84,ICVT,2020-10-02,WORST,2023-04-07,51.06,123574.468,123625.528
85,ICVT,2020-10-02,WORST,2023-04-17,21844.698,143204.106,165048.803
86,ICVT,2020-10-02,WORST,2023-05-01,29426.932,864081.659,893508.591
87,ICVT,2020-10-02,WORST,2023-05-15,26450.152,460098.502,486548.654
88,ICVT,2020-10-02,WORST,2023-06-01,40140.042,572635.194,612775.238
89,ICVT,2020-10-02,WORST,2023-06-15,38395.248,833785.899,872181.147
90,ICVT,2020-10-02,WORST,2023-06-22,0.0,106382.979,106382.979
91,ICVT,2020-10-02,WORST,2023-06-30,2792.979,0.0,2792.979
92,ICVT,2020-10-02,WORST,2023-07-03,18306.755,1202468.085,1220774.84
93,ICVT,2020-10-02,WORST,2023-07-17,14009.649,5164.613,19174.264
94,ICVT,2020-10-02,WORST,2023-08-01,19141.532,2287.055,21428.585
95,ICVT,2020-10-02,WORST,2023-08-15,40194.635,400488.866,440683.501
96,ICVT,2020-10-02,WORST,2023-08-31,1872.34,0.0,1872.34
97,ICVT,2020-10-02,WORST,2023-09-01,21209.331,153717.073,174926.404
98,ICVT,2020-10-02,WORST,2023-09-15,20720.907,601673.233,622394.138
99,ICVT,2020-10-02,WORST,2023-09-29,2792.979,0.0,2792.979
100,ICVT,2020-10-02,WORST,2023-10-02,20410.26,207889.979,228300.24
101,ICVT,2020-10-02,WORST,2023-10-05,182.152,504510.638,504692.79
102,ICVT,2020-10-02,WORST,2023-10-16,21725.73,515622.506,537348.236
103,ICVT,2020-10-02,WORST,2023-11-01,27059.164,106677.014,133736.179
104,ICVT,2020-10-02,WORST,2023-11-15,25064.643,1490.87,26555.513
105,ICVT,2020-10-02,WORST,2023-12-01,36098.557,463973.909,500072.463
106,ICVT,2020-10-02,WORST,2023-12-15,26588.011,240051.882,266639.893
107,ICVT,2020-10-02,WORST,2024-01-02,11834.947,0.0,11834.947
108,ICVT,2020-10-02,WORST,2024-01-16,13883.104,151031.714,164914.819
109,ICVT,2020-10-02,WORST,2024-02-01,19062.75,965206.231,984268.977
110,ICVT,2020-10-02,WORST,2024-02-15,38469.868,17016.721,55486.599
111,ICVT,2020-10-02,WORST,2024-02-28,1851.536,68085.106,69936.643
112,ICVT,2020-10-02,WORST,2024-03-01,20441.333,519940.249,540381.581
113,ICVT,2020-10-02,WORST,2024-03-15,18940.275,550604.072,569544.346
114,ICVT,2020-10-02,WORST,2024-04-01,17047.089,1184.384,18231.471
115,ICVT,2020-10-02,WORST,2024-04-15,17848.792,62528.31,80377.101
116,ICVT,2020-10-02,WORST,2024-05-01,25590.934,4928.59,30519.521
117,ICVT,2020-10-02,WORST,2024-05-15,25059.206,811529.346,836588.552
118,ICVT,2020-10-02,WORST,2024-06-03,30850.815,1084781.27,1115632.083
119,ICVT,2020-10-02,WORST,2024-06-17,24549.267,466882.283,491431.55
120,ICVT,2020-10-02,WORST,2024-07-01,11834.947,0.0,11834.947
121,ICVT,2020-10-02,WORST,2024-07-15,12965.417,414634.68,427600.097
122,ICVT,2020-10-02,WORST,2024-08-01,7026.602,422128.247,429154.849
123,ICVT,2020-10-02,WORST,2024-08-15,37624.338,573850.861,611475.199
124,ICVT,2020-10-02,WORST,2024-09-03,15262.096,674082.688,689344.783
125,ICVT,2020-10-02,WORST,2024-09-16,13651.279,301432.686,315083.965
126,ICVT,2020-10-02,WORST,2024-10-01,17027.613,679971.258,696998.871
127,ICVT,2020-10-02,WORST,2024-10-15,17196.202,74825.798,92022.0
128,ICVT,2020-10-02,WORST,2024-11-01,25414.245,192057.88,217472.125
129,ICVT,2020-10-02,WORST,2024-11-15,16734.929,655685.308,672420.238
130,ICVT,2020-10-02,WORST,2024-12-02,21285.06,810744.902,832029.963
131,ICVT,2020-10-02,WORST,2024-12-16,22561.336,348242.835,370804.173
132,ICVT,2020-10-02,WORST,2025-01-02,11834.947,0.0,11834.947
133,ICVT,2020-10-02,WORST,2025-01-15,8251.204,322550.448,330801.655
134,ICVT,2020-10-02,WORST,2025-02-03,6199.483,817.934,7017.416
135,ICVT,2020-10-02,WORST,2025-02-04,0.0,68085.106,68085.106
136,ICVT,2020-10-02,WORST,2025-02-18,34542.57,528313.794,562856.353
137,ICVT,2020-10-02,WORST,2025-03-03,7558.735,1066378.994,1073937.728
138,ICVT,2020-10-02,WORST,2025-03-17,13410.435,878126.695,891537.13
139,ICVT,2020-10-02,WORST,2025-04-01,10843.989,263728.151,274572.141
140,ICVT,2020-10-02,WORST,2025-04-15,16739.698,1323456.92,1340196.619
141,ICVT,2020-10-02,WORST,2025-05-01,24210.269,2126998.911,2151209.178
142,ICVT,2020-10-02,WORST,2025-05-15,13761.497,1417543.185,1431304.682
143,ICVT,2020-10-02,WORST,2025-06-02,16462.119,1542476.117,1558938.233
144,ICVT,2020-10-02,WORST,2025-06-16,22258.577,1722226.818,1744485.396
