,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
10/2/2020,1LIFE HEALTHCARE INC       144A,ONEM,US68269GAA58,68269GAA5,United States,1770000,1800,1800,USD,ISHICVT,5/29/2020,
10/2/2020,2U INC     144A,TWOU,US90214JAA97,90214JAA9,United States,1434000,2091,2091,USD,ISHICVT,4/23/2020,
10/2/2020,8X8 INC.,EGHT,US282914AB63,,United States,1550000,1456,1456,USD,ISHICVT,2/19/2019,
10/2/2020,AERIE PHARMACEUTICALS INC,AERI,US00771VAB45,00771VAB4,United States,1325000,1071,1071,USD,ISHICVT,9/9/2019,
10/2/2020,AEROJET ROCKETDYNE HOLDINGS INC,AJRD,US007800AB12,007800AB1,United States,900000,1440,1440,USD,ISHICVT,12/14/2016,
10/2/2020,AIR TRANSPORT SERVICES GROUP INC,ATSG,US00922RAB15,,United States,869000,931,931,USD,ISHICVT,9/29/2017,
10/2/2020,AKAMAI TECHNOLOGIES INC,AKAM,US00971TAJ07,00971TAJ0,United States,4897000,6234,6234,USD,ISHICVT,5/21/2018,
10/2/2020,AKAMAI TECHNOLOGIES INC,AKAM,US00971TAL52,00971TAL5,United States,4225000,4824,4824,USD,ISHICVT,8/16/2019,
10/2/2020,ALLEGHENY TECHNOLOGIES INCORPORATE 144A,ATI,US01741RAJ14,01741RAJ1,United States,1415000,1411,1411,USD,ISHICVT,6/22/2020,
10/2/2020,ALTERYX INC,AYX,US02156BAD55,,United States,1325000,1321,1321,USD,ISHICVT,8/12/2019,
10/2/2020,ALTERYX INC,AYX,US02156BAF04,,United States,1650000,1656,1656,USD,ISHICVT,8/12/2019,
10/2/2020,AMAG PHARMACEUTICALS INC,AMAG,US00163UAD81,00163UAD8,United States,650000,652,652,USD,ISHICVT,5/10/2017,
10/2/2020,AMERICAN AIRLINES GROUP INC,AAL,US02376RAF91,02376RAF9,United States,4000000,3909,3909,USD,ISHICVT,6/25/2020,
10/2/2020,AMERICAN EAGLE OUTFITTERS INC. 144A,AEO,US02553EAA47,02553EAA4,United States,1922000,3728,3728,USD,ISHICVT,4/27/2020,
10/2/2020,ANTERO RESOURCES CORP      144A,AR,US03674XAL01,03674XAL0,United States,1000000,829,829,USD,ISHICVT,8/21/2020,
