,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IEF,2021-12-31,WORST,2022-01-06,0.0,7052.407,7052.407
1,IEF,2021-12-31,WORST,2022-02-15,451644.414,0.0,451644.414
2,IEF,2021-12-31,WORST,2022-05-02,12824.568,0.0,12824.568
3,IEF,2021-12-31,WORST,2022-05-16,342507.42,0.0,342507.42
4,IEF,2021-12-31,WORST,2022-05-31,74.413,0.0,74.413
5,IEF,2021-12-31,WORST,2022-06-30,1104.845,0.0,1104.845
6,IEF,2021-12-31,WORST,2022-08-15,451644.414,0.0,451644.414
7,IEF,2021-12-31,WORST,2022-10-31,12824.568,0.0,12824.568
8,IEF,2021-12-31,WORST,2022-11-15,342507.42,0.0,342507.42
9,IEF,2021-12-31,WORST,2022-11-30,74.413,0.0,74.413
10,IEF,2021-12-31,WORST,2023-01-03,1123.158,0.0,1123.158
11,IEF,2021-12-31,WORST,2023-02-15,451644.414,0.0,451644.414
12,IEF,2021-12-31,WORST,2023-05-01,12824.568,0.0,12824.568
13,IEF,2021-12-31,WORST,2023-05-15,342507.42,0.0,342507.42
14,IEF,2021-12-31,WORST,2023-05-31,74.413,0.0,74.413
15,IEF,2021-12-31,WORST,2023-06-30,1104.845,0.0,1104.845
16,IEF,2021-12-31,WORST,2023-08-15,451644.414,0.0,451644.414
17,IEF,2021-12-31,WORST,2023-10-31,12824.568,0.0,12824.568
18,IEF,2021-12-31,WORST,2023-11-15,342507.42,0.0,342507.42
19,IEF,2021-12-31,WORST,2023-11-30,74.413,0.0,74.413
20,IEF,2021-12-31,WORST,2024-01-02,1123.158,0.0,1123.158
21,IEF,2021-12-31,WORST,2024-02-15,451644.414,0.0,451644.414
22,IEF,2021-12-31,WORST,2024-04-30,12824.568,0.0,12824.568
23,IEF,2021-12-31,WORST,2024-05-15,342507.42,0.0,342507.42
24,IEF,2021-12-31,WORST,2024-05-31,74.413,0.0,74.413
25,IEF,2021-12-31,WORST,2024-07-01,1107.93,0.0,1107.93
26,IEF,2021-12-31,WORST,2024-08-15,451644.414,0.0,451644.414
27,IEF,2021-12-31,WORST,2024-10-31,12824.568,0.0,12824.568
28,IEF,2021-12-31,WORST,2024-11-15,342507.42,0.0,342507.42
29,IEF,2021-12-31,WORST,2024-12-02,74.413,0.0,74.413
30,IEF,2021-12-31,WORST,2024-12-31,1120.089,0.0,1120.089
31,IEF,2021-12-31,WORST,2025-02-18,451644.414,0.0,451644.414
32,IEF,2021-12-31,WORST,2025-04-30,12824.568,0.0,12824.568
33,IEF,2021-12-31,WORST,2025-05-15,342507.42,0.0,342507.42
34,IEF,2021-12-31,WORST,2025-06-02,74.413,0.0,74.413
35,IEF,2021-12-31,WORST,2025-06-30,1104.828,0.0,1104.828
36,IEF,2021-12-31,WORST,2025-08-15,451644.414,0.0,451644.414
37,IEF,2021-12-31,WORST,2025-10-31,12824.568,0.0,12824.568
38,IEF,2021-12-31,WORST,2025-11-17,342507.42,0.0,342507.42
39,IEF,2021-12-31,WORST,2025-12-01,74.413,0.0,74.413
40,IEF,2021-12-31,WORST,2025-12-31,1123.158,0.0,1123.158
41,IEF,2021-12-31,WORST,2026-02-17,451644.414,0.0,451644.414
42,IEF,2021-12-31,WORST,2026-04-30,12824.568,0.0,12824.568
43,IEF,2021-12-31,WORST,2026-05-15,342507.42,0.0,342507.42
44,IEF,2021-12-31,WORST,2026-06-01,74.413,0.0,74.413
45,IEF,2021-12-31,WORST,2026-06-30,1104.845,0.0,1104.845
46,IEF,2021-12-31,WORST,2026-08-17,451644.414,0.0,451644.414
47,IEF,2021-12-31,WORST,2026-11-02,12824.568,0.0,12824.568
48,IEF,2021-12-31,WORST,2026-11-16,342507.42,0.0,342507.42
49,IEF,2021-12-31,WORST,2026-11-30,74.413,0.0,74.413
50,IEF,2021-12-31,WORST,2026-12-31,1123.158,0.0,1123.158
51,IEF,2021-12-31,WORST,2027-02-16,451644.414,0.0,451644.414
52,IEF,2021-12-31,WORST,2027-04-30,12824.568,0.0,12824.568
53,IEF,2021-12-31,WORST,2027-05-17,342507.42,0.0,342507.42
54,IEF,2021-12-31,WORST,2027-06-01,74.413,0.0,74.413
55,IEF,2021-12-31,WORST,2027-06-30,1104.845,0.0,1104.845
56,IEF,2021-12-31,WORST,2027-08-16,451644.414,0.0,451644.414
57,IEF,2021-12-31,WORST,2027-11-01,12824.568,0.0,12824.568
58,IEF,2021-12-31,WORST,2027-11-15,342507.42,0.0,342507.42
59,IEF,2021-12-31,WORST,2027-11-30,74.413,0.0,74.413
60,IEF,2021-12-31,WORST,2027-12-31,1123.158,0.0,1123.158
61,IEF,2021-12-31,WORST,2028-02-15,451644.414,0.0,451644.414
62,IEF,2021-12-31,WORST,2028-05-01,12824.568,0.0,12824.568
