,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US912828YV68,912828YV6,United States,25000,25,25,USD,ISHT3-7,12/2/2019,
12/30/2021,TREASURY NOTE,TNOTE,US9128283P31,9128283P3,United States,208000,218,218,USD,ISHT3-7,1/2/2018,
12/30/2021,TREASURY NOTE,TNOTE,US912828J272,912828J27,United States,345623900,358660,358660,USD,ISHT3-7,2/17/2015,
12/30/2021,TREASURY NOTE,TNOTE,US9128283Z13,9128283Z1,United States,244000,259,259,USD,ISHT3-7,2/28/2018,
12/30/2021,TREASURY NOTE,TNOTE,US9128284F40,9128284F4,United States,16838000,17811,17811,USD,ISHT3-7,3/22/2018,
12/30/2021,TREASURY NOTE,TNOTE,US912828XB14,912828XB1,United States,375219000,389372,389372,USD,ISHT3-7,5/15/2015,
12/30/2021,TREASURY NOTE,TNOTE,US9128284R87,9128284R8,United States,94330400,100254,100254,USD,ISHT3-7,5/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US912828ZT04,912828ZT0,United States,4289000,4173,4173,USD,ISHT3-7,6/1/2020,
12/30/2021,TREASURY NOTE,TNOTE,US912828XZ81,912828XZ8,United States,56262000,60247,60247,USD,ISHT3-7,7/2/2018,
12/30/2021,TREASURY NOTE,TNOTE,US912828Y792,912828Y79,United States,24430000,26255,26255,USD,ISHT3-7,7/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAJ09,91282CAJ0,United States,842397000,816743,816743,USD,ISHT3-7,8/31/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128285C00,9128285C0,United States,36120000,38870,38870,USD,ISHT3-7,10/1/2018,
12/30/2021,TREASURY NOTE,TNOTE,US9128285J52,9128285J5,United States,64329100,69139,69139,USD,ISHT3-7,10/31/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAT80,91282CAT8,United States,202763000,196067,196067,USD,ISHT3-7,11/2/2020,
12/30/2021,TREASURY NOTE,TNOTE,US912828M565,912828M56,United States,727367000,759661,759661,USD,ISHT3-7,11/16/2015,
12/30/2021,TREASURY NOTE,TNOTE,US9128285N64,9128285N6,United States,30855000,32969,32969,USD,ISHT3-7,11/30/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAZ41,91282CAZ4,United States,198648000,192727,192727,USD,ISHT3-7,11/30/2020,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBC47,91282CBC4,United States,4715000,4578,4578,USD,ISHT3-7,12/31/2020,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBH34,91282CBH3,United States,25797000,25002,25002,USD,ISHT3-7,2/1/2021,
12/30/2021,TREASURY NOTE,TNOTE,US912828P469,912828P46,United States,314168000,321542,321542,USD,ISHT3-7,2/16/2016,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBQ33,91282CBQ3,United States,265493000,258418,258418,USD,ISHT3-7,3/1/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBT71,91282CBT7,United States,165136000,162330,162330,USD,ISHT3-7,3/31/2021,
12/30/2021,TREASURY NOTE,TNOTE,US91282CBW01,91282CBW0,United States,139004000,136440,136440,USD,ISHT3-7,4/30/2021,
