,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IGEB,2021-12-31,WORST,2022-01-06,11436.154,659123.255,670559.409
1,IGEB,2021-12-31,WORST,2022-01-10,5221.923,0.0,5221.923
2,IGEB,2021-12-31,WORST,2022-01-14,2417.308,0.0,2417.308
3,IGEB,2021-12-31,WORST,2022-01-18,106863.847,0.0,106863.847
4,IGEB,2021-12-31,WORST,2022-01-20,2460.0,0.0,2460.0
5,IGEB,2021-12-31,WORST,2022-01-21,127.137,0.0,127.137
6,IGEB,2021-12-31,WORST,2022-01-24,5996.154,0.0,5996.154
7,IGEB,2021-12-31,WORST,2022-01-25,11591.277,0.0,11591.277
8,IGEB,2021-12-31,WORST,2022-01-31,10551.538,0.0,10551.538
9,IGEB,2021-12-31,WORST,2022-02-01,21807.462,0.0,21807.462
10,IGEB,2021-12-31,WORST,2022-02-07,10039.746,0.0,10039.746
11,IGEB,2021-12-31,WORST,2022-02-09,3254.615,0.0,3254.615
12,IGEB,2021-12-31,WORST,2022-02-10,879.231,0.0,879.231
13,IGEB,2021-12-31,WORST,2022-02-14,7220.0,0.0,7220.0
14,IGEB,2021-12-31,WORST,2022-02-15,51507.506,0.0,51507.506
15,IGEB,2021-12-31,WORST,2022-02-16,817.2,0.0,817.2
16,IGEB,2021-12-31,WORST,2022-02-17,856.731,0.0,856.731
17,IGEB,2021-12-31,WORST,2022-02-18,3369.615,0.0,3369.615
18,IGEB,2021-12-31,WORST,2022-02-22,5456.769,0.0,5456.769
19,IGEB,2021-12-31,WORST,2022-02-23,955.385,0.0,955.385
20,IGEB,2021-12-31,WORST,2022-02-24,1000.0,0.0,1000.0
21,IGEB,2021-12-31,WORST,2022-02-25,1730.769,0.0,1730.769
22,IGEB,2021-12-31,WORST,2022-02-28,10605.769,0.0,10605.769
23,IGEB,2021-12-31,WORST,2022-03-01,55780.196,0.0,55780.196
24,IGEB,2021-12-31,WORST,2022-03-02,4418.385,0.0,4418.385
25,IGEB,2021-12-31,WORST,2022-03-03,1506.154,0.0,1506.154
26,IGEB,2021-12-31,WORST,2022-03-07,591.923,0.0,591.923
27,IGEB,2021-12-31,WORST,2022-03-08,4928.462,0.0,4928.462
28,IGEB,2021-12-31,WORST,2022-03-09,6334.077,0.0,6334.077
29,IGEB,2021-12-31,WORST,2022-03-14,1307.692,0.0,1307.692
30,IGEB,2021-12-31,WORST,2022-03-15,88354.164,0.0,88354.164
31,IGEB,2021-12-31,WORST,2022-03-16,686.538,0.0,686.538
32,IGEB,2021-12-31,WORST,2022-03-17,95.769,0.0,95.769
33,IGEB,2021-12-31,WORST,2022-03-18,338.462,0.0,338.462
34,IGEB,2021-12-31,WORST,2022-03-21,4129.615,0.0,4129.615
35,IGEB,2021-12-31,WORST,2022-03-23,2123.462,0.0,2123.462
36,IGEB,2021-12-31,WORST,2022-03-25,7819.723,0.0,7819.723
37,IGEB,2021-12-31,WORST,2022-03-29,5185.769,0.0,5185.769
38,IGEB,2021-12-31,WORST,2022-04-01,55571.115,0.0,55571.115
39,IGEB,2021-12-31,WORST,2022-04-04,5231.492,0.0,5231.492
40,IGEB,2021-12-31,WORST,2022-04-06,955.385,0.0,955.385
41,IGEB,2021-12-31,WORST,2022-04-12,552.885,0.0,552.885
