,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"19,926,999.94",0.8,"19,926,999.94","19,927,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,Fixed Income,"9,240,910.24",0.37,"9,240,910.24","7,195,000.00",03522AAJ9,US03522AAJ97,BJXS2M9,126.39,Belgium,-,USD,14.84,3.3,1.0,"Feb 01, 2046",4.9,15.03,-,3.28,14.85,3.28,USD,"Feb 01, 2019","May 13, 2019"
GE CAPITAL INTERNATIONAL FUNDING C,Capital Goods,Fixed Income,"8,177,215.62",0.33,"8,177,215.62","6,820,000.00",36164QNA2,US36164QNA21,BYNWXZ6,119.34,United States,-,USD,10.65,2.73,1.0,"Nov 15, 2035",4.42,10.65,-,2.73,10.65,2.73,USD,"May 15, 2016","Jul 01, 2016"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"8,020,533.14",0.32,"8,020,533.14","6,072,000.00",126650CZ1,US126650CZ11,BF4JKH4,130.74,United States,-,USD,15.66,3.29,1.0,"Mar 25, 2048",5.05,15.87,-,3.27,15.7,3.27,USD,"Mar 09, 2018","Mar 09, 2018"
GOLDMAN SACHS GROUP INC,Banking,Fixed Income,"6,967,262.54",0.28,"6,967,262.54","4,856,000.00",38141GFD1,US38141GFD16,B283338,141.79,United States,-,USD,10.63,3.32,1.0,"Oct 01, 2037",6.75,10.63,-,3.32,10.63,3.32,USD,"Oct 03, 2007","Oct 03, 2007"
MICROSOFT CORPORATION,Technology,Fixed Income,"6,113,809.48",0.24,"6,113,809.48","5,713,000.00",594918CE2,US594918CE21,BMFPJG2,106.17,United States,-,USD,19.93,2.62,1.0,"Mar 17, 2052",2.92,20.17,-,2.62,19.96,2.62,USD,"Mar 17, 2021","Mar 17, 2021"
AT&T INC,Communications,Fixed Income,"6,075,363.93",0.24,"6,075,363.93","5,991,000.00",00206RLJ9,US00206RLJ94,BNSLTY2,100.36,United States,-,USD,19.2,3.53,1.0,"Sep 15, 2055",3.55,19.39,-,3.53,19.24,3.53,USD,"Mar 15, 2021","Sep 03, 2021"
WELLS FARGO & COMPANY MTN,Banking,Fixed Income,"5,879,804.87",0.23,"5,879,804.87","4,268,000.00",95000U2M4,US95000U2M49,BMFVFL7,136.55,United States,-,USD,15.78,3.09,1.0,"Apr 04, 2051",5.01,16.94,-,3.07,16.89,3.07,USD,"Mar 30, 2020","Mar 30, 2020"
AT&T INC,Communications,Fixed Income,"5,501,644.60",0.22,"5,501,644.60","5,398,000.00",00206RKJ0,US00206RKJ04,BNTFQF3,100.89,United States,-,USD,18.75,3.45,1.0,"Sep 15, 2053",3.5,18.93,-,3.45,18.77,3.45,USD,"Mar 15, 2021","Sep 03, 2021"
BOEING CO,Capital Goods,Fixed Income,"5,305,185.89",0.21,"5,305,185.89","3,890,000.00",097023CW3,US097023CW33,BM8R6R5,135.41,United States,-,USD,15.58,3.76,1.0,"May 01, 2050",5.8,15.76,-,3.75,15.62,3.75,USD,"May 04, 2020","May 04, 2020"
BANK OF AMERICA CORP MTN,Banking,Fixed Income,"5,273,627.09",0.21,"5,273,627.09","4,343,000.00",06051GJA8,US06051GJA85,BLD6SH4,120.28,United States,-,USD,16.36,3.02,1.0,"Mar 20, 2051",4.08,17.66,-,3.01,17.62,3.01,USD,"Mar 20, 2020","Mar 20, 2020"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"5,247,576.08",0.21,"5,247,576.08","4,348,000.00",00287YCB3,US00287YCB39,BJDRSH3,120.22,United States,-,USD,17.09,3.15,1.0,"Nov 21, 2049",4.25,17.31,-,3.14,17.12,3.14,USD,"May 21, 2020","Nov 17, 2020"
AT&T INC,Communications,Fixed Income,"5,246,070.18",0.21,"5,246,070.18","5,140,000.00",00206RLV2,US00206RLV23,BNYDH60,100.99,United States,-,USD,20.06,3.6,1.0,"Sep 15, 2059",3.65,20.27,-,3.6,20.14,3.6,USD,"Mar 15, 2021","Sep 03, 2021"
MICROSOFT CORPORATION,Technology,Fixed Income,"5,240,240.60",0.21,"5,240,240.60","5,362,000.00",594918CC6,US594918CC64,BM9DJ73,97.52,United States,-,USD,19.8,2.65,1.0,"Jun 01, 2050",2.52,20.02,-,2.65,20.02,2.65,USD,"Jun 01, 2020","Jun 01, 2020"
ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,Fixed Income,"4,894,535.79",0.2,"4,894,535.79","3,991,000.00",03522AAH3,US03522AAH32,BK5XW52,120.68,Belgium,-,USD,10.35,2.9,1.0,"Feb 01, 2036",4.7,10.51,-,2.85,10.23,2.85,USD,"Feb 01, 2019","May 13, 2019"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"4,849,872.91",0.19,"4,849,872.91","3,943,000.00",126650CY4,US126650CY46,BF4JK96,121.72,United States,-,USD,11.51,3.07,1.0,"Mar 25, 2038",4.78,11.67,-,3.03,11.42,3.03,USD,"Mar 09, 2018","Mar 09, 2018"
AT&T INC,Communications,Fixed Income,"4,611,313.79",0.18,"4,611,313.79","4,416,000.00",00206RMN9,US00206RMN97,BNYDPS8,104.11,United States,-,USD,19.59,3.6,1.0,"Dec 01, 2057",3.8,19.79,-,3.59,19.65,3.59,USD,"Jun 01, 2021","Sep 03, 2021"
COMCAST CORPORATION 144A,Communications,Fixed Income,"4,573,633.56",0.18,"4,573,633.56","4,777,000.00",20030NDT5,US20030NDT54,BP6K804,95.25,United States,-,USD,21.03,3.16,1.0,"Nov 01, 2056",2.94,21.25,-,3.16,21.25,3.16,USD,"Aug 19, 2021","Aug 19, 2021"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,Fixed Income,"4,374,085.35",0.17,"4,374,085.35","3,107,000.00",03523TBV9,US03523TBV98,BJ520Z8,138.35,Belgium,-,USD,15.48,3.38,1.0,"Jan 23, 2049",5.55,15.69,-,3.36,15.53,3.36,USD,"Jan 23, 2019","Jan 23, 2019"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"4,276,957.97",0.17,"4,276,957.97","3,936,000.00",92343VGB4,US92343VGB45,BNGDW29,107.69,United States,-,USD,18.18,3.15,1.0,"Mar 22, 2051",3.55,18.39,-,3.14,18.2,3.14,USD,"Mar 22, 2021","Mar 22, 2021"
APPLE INC,Technology,Fixed Income,"4,268,900.15",0.17,"4,268,900.15","3,214,000.00",037833BX7,US037833BX70,BYN2GF7,131.17,United States,-,USD,15.38,2.85,1.0,"Feb 23, 2046",4.65,15.61,-,2.83,15.41,2.83,USD,"Feb 23, 2016","Feb 23, 2016"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"4,236,841.26",0.17,"4,236,841.26","3,075,000.00",161175BA1,US161175BA14,BYQ7R23,136.56,United States,-,USD,13.52,4.07,1.0,"Oct 23, 2045",6.48,13.67,-,4.05,13.52,4.05,USD,"Oct 23, 2016","Dec 01, 2016"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"3,943,767.17",0.16,"3,943,767.17","3,023,000.00",92343VCK8,US92343VCK89,BXVMD62,128.7,United States,-,USD,15.33,3.17,1.0,"Aug 21, 2046",4.86,15.42,-,3.17,15.42,3.17,USD,"Feb 21, 2015","Mar 11, 2015"
