,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IGOV,2021-12-31,WORST,2022-01-06,12414.276,255274.692,267688.968
1,IGOV,2021-12-31,WORST,2022-01-17,25474.269,0.0,25474.269
2,IGOV,2021-12-31,WORST,2022-01-24,5611.356,0.0,5611.356
3,IGOV,2021-12-31,WORST,2022-01-26,1249.397,0.0,1249.397
4,IGOV,2021-12-31,WORST,2022-01-31,17127.4,0.0,17127.4
5,IGOV,2021-12-31,WORST,2022-02-01,9242.191,0.0,9242.191
6,IGOV,2021-12-31,WORST,2022-02-03,3695.557,0.0,3695.557
7,IGOV,2021-12-31,WORST,2022-02-15,2825.276,0.0,2825.276
8,IGOV,2021-12-31,WORST,2022-02-17,1928.96,0.0,1928.96
9,IGOV,2021-12-31,WORST,2022-02-18,3016.168,0.0,3016.168
10,IGOV,2021-12-31,WORST,2022-02-21,5695.777,0.0,5695.777
11,IGOV,2021-12-31,WORST,2022-02-25,0.0,0.0,0.0
12,IGOV,2021-12-31,WORST,2022-02-28,556.18,0.0,556.18
13,IGOV,2021-12-31,WORST,2022-03-01,30985.186,0.0,30985.186
14,IGOV,2021-12-31,WORST,2022-03-07,5398.245,0.0,5398.245
15,IGOV,2021-12-31,WORST,2022-03-10,0.0,0.0,0.0
16,IGOV,2021-12-31,WORST,2022-03-14,18861.005,0.0,18861.005
17,IGOV,2021-12-31,WORST,2022-03-15,8889.419,0.0,8889.419
18,IGOV,2021-12-31,WORST,2022-03-18,5559.956,0.0,5559.956
19,IGOV,2021-12-31,WORST,2022-03-21,5697.234,0.0,5697.234
20,IGOV,2021-12-31,WORST,2022-03-22,24690.298,0.0,24690.298
21,IGOV,2021-12-31,WORST,2022-03-25,0.0,0.0,0.0
22,IGOV,2021-12-31,WORST,2022-03-28,19893.017,0.0,19893.017
23,IGOV,2021-12-31,WORST,2022-03-30,4978.58,0.0,4978.58
24,IGOV,2021-12-31,WORST,2022-03-31,24514.81,0.0,24514.81
25,IGOV,2021-12-31,WORST,2022-04-01,2962.196,0.0,2962.196
26,IGOV,2021-12-31,WORST,2022-04-05,0.0,0.0,0.0
27,IGOV,2021-12-31,WORST,2022-04-11,0.0,0.0,0.0
28,IGOV,2021-12-31,WORST,2022-04-14,0.0,0.0,0.0
29,IGOV,2021-12-31,WORST,2022-04-19,7673.162,0.0,7673.162
30,IGOV,2021-12-31,WORST,2022-04-20,575.975,0.0,575.975
31,IGOV,2021-12-31,WORST,2022-04-21,14236.529,0.0,14236.529
32,IGOV,2021-12-31,WORST,2022-04-22,2905.045,0.0,2905.045
33,IGOV,2021-12-31,WORST,2022-04-25,19971.345,0.0,19971.345
34,IGOV,2021-12-31,WORST,2022-04-26,2754.162,0.0,2754.162
35,IGOV,2021-12-31,WORST,2022-04-28,820.043,0.0,820.043
36,IGOV,2021-12-31,WORST,2022-04-29,1765.396,0.0,1765.396
37,IGOV,2021-12-31,WORST,2022-05-02,14418.92,0.0,14418.92
38,IGOV,2021-12-31,WORST,2022-05-04,1415.817,0.0,1415.817
39,IGOV,2021-12-31,WORST,2022-05-12,8317.447,0.0,8317.447
40,IGOV,2021-12-31,WORST,2022-05-16,16468.669,0.0,16468.669
41,IGOV,2021-12-31,WORST,2022-05-20,287.188,0.0,287.188
42,IGOV,2021-12-31,WORST,2022-05-23,10089.193,0.0,10089.193
43,IGOV,2021-12-31,WORST,2022-05-24,5031.093,0.0,5031.093
44,IGOV,2021-12-31,WORST,2022-05-25,19043.58,0.0,19043.58
45,IGOV,2021-12-31,WORST,2022-05-31,1945.72,0.0,1945.72
46,IGOV,2021-12-31,WORST,2022-06-01,21866.028,0.0,21866.028
47,IGOV,2021-12-31,WORST,2022-06-07,8445.004,0.0,8445.004
48,IGOV,2021-12-31,WORST,2022-06-15,71.372,0.0,71.372
49,IGOV,2021-12-31,WORST,2022-06-16,0.0,0.0,0.0
50,IGOV,2021-12-31,WORST,2022-06-20,15932.864,0.0,15932.864
51,IGOV,2021-12-31,WORST,2022-06-21,3848.612,0.0,3848.612
52,IGOV,2021-12-31,WORST,2022-06-22,17351.213,0.0,17351.213
53,IGOV,2021-12-31,WORST,2022-06-27,1224.988,0.0,1224.988
54,IGOV,2021-12-31,WORST,2022-06-30,279.875,0.0,279.875
55,IGOV,2021-12-31,WORST,2022-07-01,5596.127,0.0,5596.127
56,IGOV,2021-12-31,WORST,2022-07-04,22881.781,0.0,22881.781
57,IGOV,2021-12-31,WORST,2022-07-15,12788.716,0.0,12788.716
58,IGOV,2021-12-31,WORST,2022-07-22,5611.356,0.0,5611.356
59,IGOV,2021-12-31,WORST,2022-07-29,624.838,0.0,624.838
60,IGOV,2021-12-31,WORST,2022-07-31,171.402,0.0,171.402
61,IGOV,2021-12-31,WORST,2022-08-01,32923.008,0.0,32923.008
62,IGOV,2021-12-31,WORST,2022-08-02,582.574,0.0,582.574
63,IGOV,2021-12-31,WORST,2022-08-15,5259.669,0.0,5259.669
64,IGOV,2021-12-31,WORST,2022-08-19,2686.229,0.0,2686.229
65,IGOV,2021-12-31,WORST,2022-08-31,2249.539,0.0,2249.539
66,IGOV,2021-12-31,WORST,2022-09-01,31003.209,0.0,31003.209
67,IGOV,2021-12-31,WORST,2022-09-06,2565.331,0.0,2565.331
68,IGOV,2021-12-31,WORST,2022-09-07,5398.245,0.0,5398.245
