,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,IGSB,2021-12-31,WORST,2022-01-06,10374.755,460404.115,470778.87
1,IGSB,2021-12-31,WORST,2022-01-07,398.448,0.0,398.448
2,IGSB,2021-12-31,WORST,2022-01-10,8793.397,0.0,8793.397
3,IGSB,2021-12-31,WORST,2022-01-11,3304.13,0.0,3304.13
4,IGSB,2021-12-31,WORST,2022-01-12,4463.4,0.0,4463.4
5,IGSB,2021-12-31,WORST,2022-01-13,1860.971,0.0,1860.971
6,IGSB,2021-12-31,WORST,2022-01-14,2649.897,0.0,2649.897
7,IGSB,2021-12-31,WORST,2022-01-18,43399.381,0.0,43399.381
8,IGSB,2021-12-31,WORST,2022-01-19,2407.062,0.0,2407.062
9,IGSB,2021-12-31,WORST,2022-01-20,3744.618,0.0,3744.618
10,IGSB,2021-12-31,WORST,2022-01-21,2733.407,0.0,2733.407
11,IGSB,2021-12-31,WORST,2022-01-24,20895.865,0.0,20895.865
12,IGSB,2021-12-31,WORST,2022-01-25,3311.964,0.0,3311.964
13,IGSB,2021-12-31,WORST,2022-01-26,2825.567,0.0,2825.567
14,IGSB,2021-12-31,WORST,2022-01-27,3750.065,0.0,3750.065
15,IGSB,2021-12-31,WORST,2022-01-28,2831.182,0.0,2831.182
16,IGSB,2021-12-31,WORST,2022-01-30,21.511,10773.371,10794.881
17,IGSB,2021-12-31,WORST,2022-01-31,8914.128,0.0,8914.128
18,IGSB,2021-12-31,WORST,2022-02-01,19039.873,0.0,19039.873
19,IGSB,2021-12-31,WORST,2022-02-02,739.668,0.0,739.668
20,IGSB,2021-12-31,WORST,2022-02-03,1545.756,0.0,1545.756
21,IGSB,2021-12-31,WORST,2022-02-04,3268.847,21544.402,24813.249
22,IGSB,2021-12-31,WORST,2022-02-07,5138.654,0.0,5138.654
23,IGSB,2021-12-31,WORST,2022-02-08,2457.592,0.0,2457.592
24,IGSB,2021-12-31,WORST,2022-02-09,2509.068,0.0,2509.068
25,IGSB,2021-12-31,WORST,2022-02-10,3644.96,0.0,3644.96
26,IGSB,2021-12-31,WORST,2022-02-11,3239.888,0.0,3239.888
27,IGSB,2021-12-31,WORST,2022-02-14,6561.586,0.0,6561.586
28,IGSB,2021-12-31,WORST,2022-02-15,27369.914,0.0,27369.914
29,IGSB,2021-12-31,WORST,2022-02-16,2673.27,0.0,2673.27
30,IGSB,2021-12-31,WORST,2022-02-17,1518.114,0.0,1518.114
31,IGSB,2021-12-31,WORST,2022-02-18,1670.422,0.0,1670.422
32,IGSB,2021-12-31,WORST,2022-02-22,6300.758,0.0,6300.758
33,IGSB,2021-12-31,WORST,2022-02-23,2644.689,0.0,2644.689
34,IGSB,2021-12-31,WORST,2022-02-24,529.874,0.0,529.874
35,IGSB,2021-12-31,WORST,2022-02-25,3091.265,0.0,3091.265
36,IGSB,2021-12-31,WORST,2022-02-28,4493.044,0.0,4493.044
37,IGSB,2021-12-31,WORST,2022-03-01,23832.505,0.0,23832.505
38,IGSB,2021-12-31,WORST,2022-03-02,1442.134,0.0,1442.134
39,IGSB,2021-12-31,WORST,2022-03-03,2675.718,0.0,2675.718
40,IGSB,2021-12-31,WORST,2022-03-04,1781.909,0.0,1781.909
41,IGSB,2021-12-31,WORST,2022-03-07,5203.113,0.0,5203.113
42,IGSB,2021-12-31,WORST,2022-03-08,2918.833,0.0,2918.833
43,IGSB,2021-12-31,WORST,2022-03-09,3713.79,0.0,3713.79
44,IGSB,2021-12-31,WORST,2022-03-10,4591.47,0.0,4591.47
45,IGSB,2021-12-31,WORST,2022-03-11,5898.223,0.0,5898.223
46,IGSB,2021-12-31,WORST,2022-03-14,12947.209,0.0,12947.209
47,IGSB,2021-12-31,WORST,2022-03-15,38012.38,0.0,38012.38
48,IGSB,2021-12-31,WORST,2022-03-16,3993.555,0.0,3993.555
49,IGSB,2021-12-31,WORST,2022-03-17,3104.203,0.0,3104.203
50,IGSB,2021-12-31,WORST,2022-03-18,2685.79,0.0,2685.79
51,IGSB,2021-12-31,WORST,2022-03-21,9135.578,0.0,9135.578
52,IGSB,2021-12-31,WORST,2022-03-22,3556.422,0.0,3556.422
53,IGSB,2021-12-31,WORST,2022-03-23,2217.36,0.0,2217.36
54,IGSB,2021-12-31,WORST,2022-03-24,5289.552,0.0,5289.552
55,IGSB,2021-12-31,WORST,2022-03-25,3620.96,0.0,3620.96
56,IGSB,2021-12-31,WORST,2022-03-28,6671.156,0.0,6671.156
57,IGSB,2021-12-31,WORST,2022-03-29,3413.364,0.0,3413.364
58,IGSB,2021-12-31,WORST,2022-03-30,2112.926,0.0,2112.926
59,IGSB,2021-12-31,WORST,2022-03-31,1152.225,0.0,1152.225
60,IGSB,2021-12-31,WORST,2022-04-01,28571.221,0.0,28571.221
61,IGSB,2021-12-31,WORST,2022-04-04,6015.05,0.0,6015.05
62,IGSB,2021-12-31,WORST,2022-04-05,1867.268,0.0,1867.268
