,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,TREASURY NOTE,TNOTE,US912828V988,912828V98,United States,4005400,4231,4231,USD,ISHIMTB,2/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US912828X885,912828X88,United States,475000,503,503,USD,ISHIMTB,5/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US9128282R06,9128282R0,United States,650000,687,687,USD,ISHIMTB,8/15/2017,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAL54,91282CAL5,United States,700000,663,663,USD,ISHIMTB,9/30/2020,
12/30/2021,TREASURY NOTE,TNOTE,US9128284N73,9128284N7,United States,950000,1039,1039,USD,ISHIMTB,5/15/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCH25,91282CCH2,United States,670000,668,668,USD,ISHIMTB,6/30/2021,
12/30/2021,TREASURY NOTE,TNOTE,US9128284V99,9128284V9,United States,650000,717,717,USD,ISHIMTB,8/15/2018,
12/30/2021,TREASURY NOTE,TNOTE,US91282CCY57,91282CCY5,United States,3500000,3472,3472,USD,ISHIMTB,9/30/2021,
12/30/2021,TREASURY NOTE (2OLD),TNOTE,US91282CDF59,91282CDF5,United States,200000,200,200,USD,ISHIMTB,11/1/2021,
12/30/2021,TREASURY NOTE (OLD),TNOTE,US91282CDL28,91282CDL2,United States,200000,201,201,USD,ISHIMTB,11/30/2021,
12/30/2021,TREASURY BOND,TBOND,US912810FG86,,United States,550000,703,703,USD,ISHIMTB,2/16/1999,
12/30/2021,TREASURY NOTE,TNOTE,US9128286B18,9128286B1,United States,840000,917,917,USD,ISHIMTB,2/15/2019,
12/30/2021,TREASURY NOTE,TNOTE,US9128286T26,9128286T2,United States,700000,749,749,USD,ISHIMTB,5/15/2019,
12/30/2021,TREASURY NOTE,TNOTE,US912828YB05,912828YB0,United States,735000,750,750,USD,ISHIMTB,8/15/2019,
12/30/2021,TREASURY NOTE,TNOTE,US912828YS30,912828YS3,United States,50000,51,51,USD,ISHIMTB,11/15/2019,
12/30/2021,TREASURY NOTE,TNOTE,US91282CAE12,91282CAE1,United States,500000,468,468,USD,ISHIMTB,8/17/2020,
