,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,INMU,2021-12-31,WORST,2022-01-06,76817.624,2209311.22,2286128.844
1,INMU,2021-12-31,WORST,2022-01-18,7000.0,0.0,7000.0
2,INMU,2021-12-31,WORST,2022-01-20,721.342,0.0,721.342
3,INMU,2021-12-31,WORST,2022-02-01,2104.343,0.0,2104.343
4,INMU,2021-12-31,WORST,2022-02-15,2500.0,0.0,2500.0
5,INMU,2021-12-31,WORST,2022-02-22,721.342,0.0,721.342
6,INMU,2021-12-31,WORST,2022-03-01,22918.246,4079.054,26997.3
7,INMU,2021-12-31,WORST,2022-03-21,721.342,0.0,721.342
8,INMU,2021-12-31,WORST,2022-04-01,44847.842,0.0,44847.842
9,INMU,2021-12-31,WORST,2022-04-20,721.342,0.0,721.342
10,INMU,2021-12-31,WORST,2022-04-30,282.951,190000.0,190282.951
11,INMU,2021-12-31,WORST,2022-05-02,44439.134,96956.299,141395.434
12,INMU,2021-12-31,WORST,2022-05-16,39546.528,0.0,39546.528
13,INMU,2021-12-31,WORST,2022-05-20,721.342,0.0,721.342
14,INMU,2021-12-31,WORST,2022-06-01,73904.559,250000.0,323904.559
15,INMU,2021-12-31,WORST,2022-06-15,26350.0,0.0,26350.0
16,INMU,2021-12-31,WORST,2022-06-21,721.342,0.0,721.342
17,INMU,2021-12-31,WORST,2022-07-01,74364.636,400000.0,474364.636
18,INMU,2021-12-31,WORST,2022-07-05,286.834,0.0,286.834
19,INMU,2021-12-31,WORST,2022-07-15,7000.0,0.0,7000.0
20,INMU,2021-12-31,WORST,2022-07-20,721.342,0.0,721.342
21,INMU,2021-12-31,WORST,2022-08-01,2122.842,0.0,2122.842
22,INMU,2021-12-31,WORST,2022-08-15,2500.0,0.0,2500.0
23,INMU,2021-12-31,WORST,2022-08-22,721.342,0.0,721.342
24,INMU,2021-12-31,WORST,2022-09-01,23016.592,0.0,23016.592
25,INMU,2021-12-31,WORST,2022-09-20,721.342,0.0,721.342
26,INMU,2021-12-31,WORST,2022-10-03,43113.002,250000.0,293113.002
27,INMU,2021-12-31,WORST,2022-10-20,721.342,0.0,721.342
28,INMU,2021-12-31,WORST,2022-10-31,5000.0,0.0,5000.0
29,INMU,2021-12-31,WORST,2022-11-01,38137.132,0.0,38137.132
30,INMU,2021-12-31,WORST,2022-11-15,38968.75,650000.0,688968.75
31,INMU,2021-12-31,WORST,2022-11-21,721.342,0.0,721.342
32,INMU,2021-12-31,WORST,2022-12-01,69120.886,0.0,69120.886
33,INMU,2021-12-31,WORST,2022-12-15,26350.0,0.0,26350.0
34,INMU,2021-12-31,WORST,2022-12-20,721.342,0.0,721.342
35,INMU,2021-12-31,WORST,2023-01-03,64729.713,0.0,64729.713
36,INMU,2021-12-31,WORST,2023-01-17,7000.0,0.0,7000.0
37,INMU,2021-12-31,WORST,2023-01-20,721.342,0.0,721.342
38,INMU,2021-12-31,WORST,2023-02-01,2068.224,0.0,2068.224
39,INMU,2021-12-31,WORST,2023-02-15,2500.0,0.0,2500.0
40,INMU,2021-12-31,WORST,2023-02-21,721.342,0.0,721.342
41,INMU,2021-12-31,WORST,2023-03-01,22916.994,4258.354,27175.348
42,INMU,2021-12-31,WORST,2023-03-20,721.342,0.0,721.342
43,INMU,2021-12-31,WORST,2023-03-31,1625.0,260000.0,261625.0
44,INMU,2021-12-31,WORST,2023-04-03,36894.663,0.0,36894.663
45,INMU,2021-12-31,WORST,2023-04-20,721.342,0.0,721.342
46,INMU,2021-12-31,WORST,2023-05-01,43102.624,146790.014,189892.638
47,INMU,2021-12-31,WORST,2023-05-15,23718.75,150000.0,173718.75
48,INMU,2021-12-31,WORST,2023-05-22,721.342,0.0,721.342
49,INMU,2021-12-31,WORST,2023-06-01,66715.145,0.0,66715.145
50,INMU,2021-12-31,WORST,2023-06-15,26350.0,7512.953,33862.953
51,INMU,2021-12-31,WORST,2023-06-20,721.342,0.0,721.342
52,INMU,2021-12-31,WORST,2023-07-03,64690.498,7479.224,72169.722
53,INMU,2021-12-31,WORST,2023-07-17,7000.0,0.0,7000.0
54,INMU,2021-12-31,WORST,2023-07-20,721.342,0.0,721.342
55,INMU,2021-12-31,WORST,2023-08-01,2066.871,0.0,2066.871
56,INMU,2021-12-31,WORST,2023-08-15,2500.0,0.0,2500.0
57,INMU,2021-12-31,WORST,2023-08-21,721.342,0.0,721.342
58,INMU,2021-12-31,WORST,2023-09-01,23015.145,300000.0,323015.145
59,INMU,2021-12-31,WORST,2023-09-20,721.342,0.0,721.342
60,INMU,2021-12-31,WORST,2023-10-02,36834.25,0.0,36834.25
61,INMU,2021-12-31,WORST,2023-10-20,721.342,0.0,721.342
62,INMU,2021-12-31,WORST,2023-10-31,5000.0,0.0,5000.0
63,INMU,2021-12-31,WORST,2023-11-01,36163.969,0.0,36163.969
64,INMU,2021-12-31,WORST,2023-11-15,21750.0,0.0,21750.0
65,INMU,2021-12-31,WORST,2023-11-20,721.342,0.0,721.342
66,INMU,2021-12-31,WORST,2023-12-01,66681.986,250000.0,316681.986
67,INMU,2021-12-31,WORST,2023-12-15,26199.741,0.0,26199.741
68,INMU,2021-12-31,WORST,2023-12-20,721.342,0.0,721.342
69,INMU,2021-12-31,WORST,2024-01-02,64311.388,0.0,64311.388
70,INMU,2021-12-31,WORST,2024-01-03,277.249,0.0,277.249
71,INMU,2021-12-31,WORST,2024-01-16,7000.0,0.0,7000.0
72,INMU,2021-12-31,WORST,2024-01-22,721.342,0.0,721.342
73,INMU,2021-12-31,WORST,2024-02-01,2091.398,0.0,2091.398
74,INMU,2021-12-31,WORST,2024-02-15,2500.0,0.0,2500.0
