,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,ISHG,2021-12-31,WORST,2022-01-06,14809.218,434712.968,449522.186
1,ISHG,2021-12-31,WORST,2022-01-17,41319.264,0.0,41319.264
2,ISHG,2021-12-31,WORST,2022-01-24,1839.201,0.0,1839.201
3,ISHG,2021-12-31,WORST,2022-01-31,45609.925,0.0,45609.925
4,ISHG,2021-12-31,WORST,2022-02-01,10318.129,0.0,10318.129
5,ISHG,2021-12-31,WORST,2022-02-03,15202.119,0.0,15202.119
6,ISHG,2021-12-31,WORST,2022-02-15,15696.353,0.0,15696.353
7,ISHG,2021-12-31,WORST,2022-02-25,0.0,0.0,0.0
8,ISHG,2021-12-31,WORST,2022-03-01,46015.691,0.0,46015.691
9,ISHG,2021-12-31,WORST,2022-03-07,10835.6,0.0,10835.6
10,ISHG,2021-12-31,WORST,2022-03-10,0.0,0.0,0.0
11,ISHG,2021-12-31,WORST,2022-03-14,33984.352,0.0,33984.352
12,ISHG,2021-12-31,WORST,2022-03-15,1648.94,0.0,1648.94
13,ISHG,2021-12-31,WORST,2022-03-18,45990.762,0.0,45990.762
14,ISHG,2021-12-31,WORST,2022-03-21,45471.241,0.0,45471.241
15,ISHG,2021-12-31,WORST,2022-03-22,8735.366,0.0,8735.366
16,ISHG,2021-12-31,WORST,2022-03-25,0.0,0.0,0.0
17,ISHG,2021-12-31,WORST,2022-03-31,57634.488,0.0,57634.488
18,ISHG,2021-12-31,WORST,2022-04-01,6901.511,0.0,6901.511
19,ISHG,2021-12-31,WORST,2022-04-05,0.0,0.0,0.0
20,ISHG,2021-12-31,WORST,2022-04-14,0.0,0.0,0.0
21,ISHG,2021-12-31,WORST,2022-04-19,30524.842,0.0,30524.842
22,ISHG,2021-12-31,WORST,2022-04-20,0.0,0.0,0.0
23,ISHG,2021-12-31,WORST,2022-04-21,44786.28,0.0,44786.28
24,ISHG,2021-12-31,WORST,2022-04-22,1924.745,0.0,1924.745
25,ISHG,2021-12-31,WORST,2022-04-25,18823.653,0.0,18823.653
26,ISHG,2021-12-31,WORST,2022-05-02,37824.446,0.0,37824.446
27,ISHG,2021-12-31,WORST,2022-05-16,21038.2,0.0,21038.2
28,ISHG,2021-12-31,WORST,2022-05-23,1894.157,0.0,1894.157
29,ISHG,2021-12-31,WORST,2022-05-24,27426.22,0.0,27426.22
30,ISHG,2021-12-31,WORST,2022-05-25,40639.937,0.0,40639.937
31,ISHG,2021-12-31,WORST,2022-05-31,0.0,0.0,0.0
32,ISHG,2021-12-31,WORST,2022-06-01,11772.975,0.0,11772.975
33,ISHG,2021-12-31,WORST,2022-06-15,897.789,0.0,897.789
34,ISHG,2021-12-31,WORST,2022-06-16,0.0,0.0,0.0
35,ISHG,2021-12-31,WORST,2022-06-20,7100.041,0.0,7100.041
36,ISHG,2021-12-31,WORST,2022-06-22,42379.254,0.0,42379.254
37,ISHG,2021-12-31,WORST,2022-07-01,15933.203,0.0,15933.203
38,ISHG,2021-12-31,WORST,2022-07-15,34436.212,0.0,34436.212
39,ISHG,2021-12-31,WORST,2022-07-22,1839.201,0.0,1839.201
40,ISHG,2021-12-31,WORST,2022-07-29,1137.025,0.0,1137.025
41,ISHG,2021-12-31,WORST,2022-07-31,1400.172,0.0,1400.172
42,ISHG,2021-12-31,WORST,2022-08-01,27178.574,0.0,27178.574
43,ISHG,2021-12-31,WORST,2022-08-02,1339.592,0.0,1339.592
44,ISHG,2021-12-31,WORST,2022-08-15,17117.853,0.0,17117.853
45,ISHG,2021-12-31,WORST,2022-09-01,46063.635,0.0,46063.635
46,ISHG,2021-12-31,WORST,2022-09-07,10835.6,0.0,10835.6
47,ISHG,2021-12-31,WORST,2022-09-15,1648.94,0.0,1648.94
48,ISHG,2021-12-31,WORST,2022-09-20,8735.366,0.0,8735.366
49,ISHG,2021-12-31,WORST,2022-10-03,6901.511,0.0,6901.511
50,ISHG,2021-12-31,WORST,2022-10-13,0.0,0.0,0.0
51,ISHG,2021-12-31,WORST,2022-10-17,1556.168,0.0,1556.168
52,ISHG,2021-12-31,WORST,2022-10-18,0.0,0.0,0.0
53,ISHG,2021-12-31,WORST,2022-10-20,14873.379,0.0,14873.379
54,ISHG,2021-12-31,WORST,2022-10-21,56439.587,0.0,56439.587
55,ISHG,2021-12-31,WORST,2022-10-24,7842.973,0.0,7842.973
56,ISHG,2021-12-31,WORST,2022-10-25,39173.547,0.0,39173.547
57,ISHG,2021-12-31,WORST,2022-10-31,35544.337,0.0,35544.337
58,ISHG,2021-12-31,WORST,2022-11-01,19629.246,0.0,19629.246
59,ISHG,2021-12-31,WORST,2022-11-14,24633.312,0.0,24633.312
60,ISHG,2021-12-31,WORST,2022-11-15,22166.678,0.0,22166.678
61,ISHG,2021-12-31,WORST,2022-11-21,1894.157,0.0,1894.157
62,ISHG,2021-12-31,WORST,2022-11-25,13616.474,0.0,13616.474
63,ISHG,2021-12-31,WORST,2022-11-30,11140.497,0.0,11140.497
64,ISHG,2021-12-31,WORST,2022-12-01,11772.975,0.0,11772.975
65,ISHG,2021-12-31,WORST,2022-12-15,897.789,0.0,897.789
66,ISHG,2021-12-31,WORST,2022-12-20,7100.041,0.0,7100.041
67,ISHG,2021-12-31,WORST,2023-01-02,3561.232,0.0,3561.232
68,ISHG,2021-12-31,WORST,2023-01-03,12346.354,0.0,12346.354
69,ISHG,2021-12-31,WORST,2023-01-04,11247.986,45704.988,56952.974
70,ISHG,2021-12-31,WORST,2023-01-16,41319.264,766113.684,807432.948
71,ISHG,2021-12-31,WORST,2023-01-23,1839.201,0.0,1839.201
72,ISHG,2021-12-31,WORST,2023-01-30,0.0,0.0,0.0
73,ISHG,2021-12-31,WORST,2023-01-31,45609.925,1391292.632,1436902.556
74,ISHG,2021-12-31,WORST,2023-02-01,25770.93,1525571.683,1551342.613
75,ISHG,2021-12-31,WORST,2023-02-15,15696.353,418968.421,434664.774
76,ISHG,2021-12-31,WORST,2023-02-27,0.0,460865.263,460865.263
77,ISHG,2021-12-31,WORST,2023-03-01,46015.691,1054808.15,1100823.841
78,ISHG,2021-12-31,WORST,2023-03-07,10835.6,0.0,10835.6
79,ISHG,2021-12-31,WORST,2023-03-10,0.0,466850.526,466850.526
80,ISHG,2021-12-31,WORST,2023-03-14,33984.352,0.0,33984.352
81,ISHG,2021-12-31,WORST,2023-03-15,1648.94,347145.263,348794.203
82,ISHG,2021-12-31,WORST,2023-03-20,100197.369,2660025.321,2760222.691
83,ISHG,2021-12-31,WORST,2023-03-27,0.0,781675.368,781675.368
84,ISHG,2021-12-31,WORST,2023-03-30,33989.678,0.0,33989.678
85,ISHG,2021-12-31,WORST,2023-03-31,23644.81,556348.46,579993.27
86,ISHG,2021-12-31,WORST,2023-04-03,6901.511,208414.745,215316.257
87,ISHG,2021-12-31,WORST,2023-04-05,0.0,0.0,0.0
88,ISHG,2021-12-31,WORST,2023-04-14,0.0,359115.789,359115.789
89,ISHG,2021-12-31,WORST,2023-04-17,30524.842,766113.684,796638.526
90,ISHG,2021-12-31,WORST,2023-04-20,0.0,430938.947,430938.947
91,ISHG,2021-12-31,WORST,2023-04-21,44786.28,1257413.842,1302200.122
92,ISHG,2021-12-31,WORST,2023-04-24,1924.745,0.0,1924.745
93,ISHG,2021-12-31,WORST,2023-04-25,18823.653,221454.737,240278.389
94,ISHG,2021-12-31,WORST,2023-05-01,1314.34,503286.166,504600.507
95,ISHG,2021-12-31,WORST,2023-05-02,36510.105,742172.632,778682.737
96,ISHG,2021-12-31,WORST,2023-05-15,21038.2,610496.842,631535.042
97,ISHG,2021-12-31,WORST,2023-05-22,1894.157,0.0,1894.157
98,ISHG,2021-12-31,WORST,2023-05-24,27426.22,1371310.976,1398737.195
99,ISHG,2021-12-31,WORST,2023-05-25,40639.937,1029465.263,1070105.2
100,ISHG,2021-12-31,WORST,2023-05-31,0.0,0.0,0.0
101,ISHG,2021-12-31,WORST,2023-06-01,11772.975,489615.376,501388.351
102,ISHG,2021-12-31,WORST,2023-06-15,897.789,299263.158,300160.947
103,ISHG,2021-12-31,WORST,2023-06-16,0.0,263351.579,263351.579
104,ISHG,2021-12-31,WORST,2023-06-20,7100.041,956148.349,963248.391
105,ISHG,2021-12-31,WORST,2023-06-22,42379.254,696684.632,739063.886
106,ISHG,2021-12-31,WORST,2023-07-03,15910.351,1008522.709,1024433.06
107,ISHG,2021-12-31,WORST,2023-07-17,34415.263,1699814.737,1734230.0
108,ISHG,2021-12-31,WORST,2023-07-24,1839.201,490453.474,492292.674
109,ISHG,2021-12-31,WORST,2023-07-31,4714.138,1436209.978,1440924.116
110,ISHG,2021-12-31,WORST,2023-08-01,17257.164,934254.276,951511.44
111,ISHG,2021-12-31,WORST,2023-08-15,17117.853,1053406.316,1070524.168
112,ISHG,2021-12-31,WORST,2023-09-01,40242.477,718553.078,758795.555
113,ISHG,2021-12-31,WORST,2023-09-07,10835.6,527522.632,538358.232
114,ISHG,2021-12-31,WORST,2023-09-15,0.0,1266481.684,1266481.684
115,ISHG,2021-12-31,WORST,2023-09-20,7223.902,778812.996,786036.898
116,ISHG,2021-12-31,WORST,2023-10-02,6896.301,935609.244,942505.545
117,ISHG,2021-12-31,WORST,2023-10-13,0.0,478821.053,478821.053
118,ISHG,2021-12-31,WORST,2023-10-16,1556.168,478821.053,480377.221
119,ISHG,2021-12-31,WORST,2023-10-18,0.0,0.0,0.0
120,ISHG,2021-12-31,WORST,2023-10-20,14873.379,849907.368,864780.747
121,ISHG,2021-12-31,WORST,2023-10-23,29703.68,774493.053,804196.732
122,ISHG,2021-12-31,WORST,2023-10-25,39173.547,921730.526,960904.074
123,ISHG,2021-12-31,WORST,2023-10-31,35544.337,466850.526,502394.863
124,ISHG,2021-12-31,WORST,2023-11-01,10675.299,607138.588,617813.887
125,ISHG,2021-12-31,WORST,2023-11-13,24633.312,1642220.829,1666854.141
126,ISHG,2021-12-31,WORST,2023-11-15,22166.678,1176520.292,1198686.97
127,ISHG,2021-12-31,WORST,2023-11-21,1894.157,0.0,1894.157
128,ISHG,2021-12-31,WORST,2023-11-27,13616.474,0.0,13616.474
129,ISHG,2021-12-31,WORST,2023-11-30,11140.497,742699.829,753840.326
130,ISHG,2021-12-31,WORST,2023-12-01,9019.884,320849.016,329868.9
131,ISHG,2021-12-31,WORST,2023-12-15,0.0,83793.684,83793.684
132,ISHG,2021-12-31,WORST,2023-12-20,4978.416,1081837.066,1086815.482
133,ISHG,2021-12-31,WORST,2024-01-02,3561.232,0.0,3561.232
134,ISHG,2021-12-31,WORST,2024-01-04,11222.368,179557.895,190780.263
135,ISHG,2021-12-31,WORST,2024-01-15,0.0,1197052.632,1197052.632
136,ISHG,2021-12-31,WORST,2024-01-30,0.0,263351.579,263351.579
137,ISHG,2021-12-31,WORST,2024-01-31,19179.112,1294613.684,1313792.796
138,ISHG,2021-12-31,WORST,2024-02-01,7839.532,877703.813,885543.345
139,ISHG,2021-12-31,WORST,2024-02-15,8693.595,496776.842,505470.437
140,ISHG,2021-12-31,WORST,2024-02-26,0.0,748157.895,748157.895
141,ISHG,2021-12-31,WORST,2024-03-01,37291.148,639733.413,677024.561
142,ISHG,2021-12-31,WORST,2024-03-07,4900.97,0.0,4900.97
143,ISHG,2021-12-31,WORST,2024-03-14,33984.352,1132811.731,1166796.083
144,ISHG,2021-12-31,WORST,2024-03-18,45990.762,1352669.474,1398660.236
145,ISHG,2021-12-31,WORST,2024-03-20,1382.119,0.0,1382.119
146,ISHG,2021-12-31,WORST,2024-03-21,2818.398,1495010.158,1497828.556
147,ISHG,2021-12-31,WORST,2024-03-25,0.0,706261.053,706261.053
148,ISHG,2021-12-31,WORST,2024-03-31,34082.801,906391.412,940474.213
149,ISHG,2021-12-31,WORST,2024-04-01,1458.342,391669.115,393127.457
150,ISHG,2021-12-31,WORST,2024-04-05,0.0,574585.263,574585.263
151,ISHG,2021-12-31,WORST,2024-04-15,17476.968,1232964.211,1250441.179
152,ISHG,2021-12-31,WORST,2024-04-22,12132.144,1127305.263,1139437.407
153,ISHG,2021-12-31,WORST,2024-04-30,18195.2,478821.053,497016.253
154,ISHG,2021-12-31,WORST,2024-05-15,11880.747,754143.158,766023.905
155,ISHG,2021-12-31,WORST,2024-05-21,1894.157,0.0,1894.157
156,ISHG,2021-12-31,WORST,2024-05-27,22624.295,1005524.211,1028148.505
157,ISHG,2021-12-31,WORST,2024-05-31,0.0,403406.737,403406.737
158,ISHG,2021-12-31,WORST,2024-06-03,9011.863,158334.323,167346.186
159,ISHG,2021-12-31,WORST,2024-06-20,1996.851,681461.371,683458.222
160,ISHG,2021-12-31,WORST,2024-06-24,26703.85,1027071.158,1053775.008
161,ISHG,2021-12-31,WORST,2024-07-01,3561.232,406997.895,410559.126
162,ISHG,2021-12-31,WORST,2024-07-15,17237.558,1651932.632,1669170.189
163,ISHG,2021-12-31,WORST,2024-07-30,987.568,395027.368,396014.937
164,ISHG,2021-12-31,WORST,2024-08-15,4907.916,790054.737,794962.653
165,ISHG,2021-12-31,WORST,2024-09-02,22315.893,1371013.541,1393329.434
166,ISHG,2021-12-31,WORST,2024-09-03,1987.512,265001.656,266989.169
167,ISHG,2021-12-31,WORST,2024-09-09,4900.97,356434.211,361335.181
168,ISHG,2021-12-31,WORST,2024-09-16,0.0,654787.789,654787.789
169,ISHG,2021-12-31,WORST,2024-09-20,2332.097,803036.639,805368.736
170,ISHG,2021-12-31,WORST,2024-10-01,968.756,258334.948,259303.704
171,ISHG,2021-12-31,WORST,2024-10-18,0.0,502762.105,502762.105
172,ISHG,2021-12-31,WORST,2024-10-21,11653.307,706261.053,717914.36
173,ISHG,2021-12-31,WORST,2024-10-22,4369.242,873848.421,878217.663
174,ISHG,2021-12-31,WORST,2024-10-31,15006.139,797001.109,812007.247
175,ISHG,2021-12-31,WORST,2024-11-15,2082.872,1153185.815,1155268.687
176,ISHG,2021-12-31,WORST,2024-11-21,1894.157,1515325.263,1517219.42
177,ISHG,2021-12-31,WORST,2024-11-25,13616.474,778084.211,791700.684
178,ISHG,2021-12-31,WORST,2024-12-02,7032.684,562614.737,569647.421
179,ISHG,2021-12-31,WORST,2024-12-20,388.264,776527.746,776916.01
180,ISHG,2021-12-31,MATURITY,2022-01-06,14809.218,434712.968,449522.186
