,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,SWEDEN (KINGDOM OF),SGB,SE0004869071,,Sweden,14125000,1613,14597,SEK,ISHGT1-3,10/22/2012,
12/30/2021,IRELAND (REPUBLIC OF)      RegS,IRISH,IE00B6X95T99,,Ireland,1130000,1426,1258,EUR,ISHGT1-3,1/14/2014,
12/30/2021,AUSTRALIA (COMMONWEALTH OF) RegS,ACGB,AU0000083768,,Australia,1930000,1375,1895,AUD,ISHGT1-3,4/21/2020,
12/30/2021,NORWAY (KINGDOM OF),NGB,NO0010646813,,Norway,11488000,1336,11763,NOK,ISHGT1-3,5/24/2012,
12/30/2021,AUSTRALIA (COMMONWEALTH OF) RegS,ACGB,AU3TB0000101,,Australia,1643000,1284,1770,AUD,ISHGT1-3,5/23/2011,
12/30/2021,IRELAND (REPUBLIC OF)      RegS,IRISH,IE00B4S3JD47,,Ireland,974000,1196,1055,EUR,ISHGT1-3,3/20/2013,
12/30/2021,DENMARK (KINGDOM OF),DGB,DK0009923054,,Denmark,7310000,1157,7595,DKK,ISHGT1-3,9/7/2012,
12/30/2021,NORWAY (KINGDOM OF),NGB,NO0010705536,,Norway,9490000,1140,10043,NOK,ISHGT1-3,3/14/2014,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #135,JGB,JP1051351J37,,Japan,130000000,1132,130335,JPY,ISHGT1-3,3/20/2018,
12/30/2021,BELGIUM (KINGDOM OF),BGB,BE0000332412,,Belgium,858000,1063,938,EUR,ISHGT1-3,1/21/2014,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0011619436,,France,840000,1029,908,EUR,ISHGT1-3,11/12/2013,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0011486067,,France,860000,1017,898,EUR,ISHGT1-3,5/7/2013,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #139,JGB,JP1051391K44,,Japan,114500000,999,115034,JPY,ISHGT1-3,4/10/2019,
12/30/2021,FINLAND (REPUBLIC OF),RFGB,FI4000219787,,Finland,850000,972,858,EUR,ISHGT1-3,9/7/2016,
12/30/2021,NETHERLANDS (KINGDOM OF),NETHER,NL0010418810,,Netherlands,820000,971,857,EUR,ISHGT1-3,3/22/2013,
12/30/2021,ISRAEL (STATE OF),ILGOV,IL0011308488,,Israel,2680000,959,2979,ILS,ISHGT1-3,1/7/2014,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0010466938,,France,770000,956,844,EUR,ISHGT1-3,5/9/2007,
12/30/2021,SINGAPORE (REPUBLIC OF),SIGB,SG7S30941627,,Singapore,1158000,910,1231,SGD,ISHGT1-3,9/1/2009,
12/30/2021,ISRAEL (STATE OF),ILGOV,IL0011671059,,Israel,2760000,891,2768,ILS,ISHGT1-3,7/7/2020,
12/30/2021,FINLAND (REPUBLIC OF),RFGB,FI4000079041,,Finland,730000,889,784,EUR,ISHGT1-3,2/4/2014,
12/30/2021,NETHERLANDS (KINGDOM OF),NETHER,NL0010733424,,Netherlands,720000,877,774,EUR,ISHGT1-3,3/28/2014,
12/30/2021,SINGAPORE (REPUBLIC OF),SIGB,SG3260987684,,Singapore,1150000,876,1185,SGD,ISHGT1-3,7/1/2013,
12/30/2021,SINGAPORE (REPUBLIC OF),SIGB,SG31B8000001,,Singapore,1160000,874,1182,SGD,ISHGT1-3,2/1/2018,
12/30/2021,UK CONV GILT               RegS,UKT,GB00BL68HG94,,United Kingdom,640000,861,638,GBP,ISHGT1-3,4/8/2020,
12/30/2021,BELGIUM (KINGDOM OF),BGB,BE0000342510,,Belgium,730000,853,753,EUR,ISHGT1-3,2/14/2017,
12/30/2021,UK CONV GILT               RegS,UKT,GB00BMGR2791,,United Kingdom,636000,849,629,GBP,ISHGT1-3,10/7/2020,
12/30/2021,AUSTRIA (REPUBLIC OF) MTN,RAGB,AT0000A105W3,,Austria,710000,842,743,EUR,ISHGT1-3,4/17/2013,
12/30/2021,DENMARK (KINGDOM OF),DGB,DK0009924292,,Denmark,5380000,830,5449,DKK,ISHGT1-3,5/7/2021,
12/30/2021,NETHERLANDS (KINGDOM OF),NETHER,NL0012650469,,Netherlands,720000,826,729,EUR,ISHGT1-3,10/13/2017,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0011962398,,France,650000,786,694,EUR,ISHGT1-3,6/10/2014,
12/30/2021,AUSTRIA (REPUBLIC OF),RAGB,AT0000A28KX7,,Austria,660000,758,669,EUR,ISHGT1-3,7/2/2019,
12/30/2021,FINLAND (REPUBLIC OF),RFGB,FI4000062625,,Finland,640000,753,664,EUR,ISHGT1-3,4/16/2013,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0013283686,,France,653000,746,658,EUR,ISHGT1-3,9/25/2017,
12/30/2021,BELGIUM (KINGDOM OF),BGB,BE0000339482,,Belgium,647000,744,656,EUR,ISHGT1-3,5/6/2016,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #142,JGB,JP1051421L13,,Japan,84950000,742,85429,JPY,ISHGT1-3,1/16/2020,
12/30/2021,AUSTRALIA (COMMONWEALTH OF) RegS,ACGB,AU3TB0000143,,Australia,970000,742,1023,AUD,ISHGT1-3,6/25/2012,
12/30/2021,ISRAEL (STATE OF),ILGOV,IL0011550683,,Israel,2196000,728,2259,ILS,ISHGT1-3,10/9/2018,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0014001N46,,France,625000,716,632,EUR,ISHGT1-3,1/25/2021,
12/30/2021,JPY CASH,JPY,,,Japan,82388264,715,82388,JPY,ISHGT1-3,1/1/1990,
12/30/2021,AUSTRIA (REPUBLIC OF),RAGB,AT0000A185T1,,Austria,590000,713,629,EUR,ISHGT1-3,6/4/2014,
12/30/2021,SINGAPORE (REPUBLIC OF),SIGB,SGXF92110679,,Singapore,932000,711,961,SGD,ISHGT1-3,2/1/2019,
12/30/2021,BELGIUM (KINGDOM OF)       RegS,BGB,BE0000328378,,Belgium,582000,695,613,EUR,ISHGT1-3,1/16/2013,
12/30/2021,AUSTRIA (REPUBLIC OF),RAGB,AT0000A1PE50,,Austria,600000,686,606,EUR,ISHGT1-3,11/2/2016,
12/30/2021,FRANCE (REPUBLIC OF)       RegS,FRTR,FR0013344751,,France,590000,677,597,EUR,ISHGT1-3,6/25/2018,
12/30/2021,FINLAND (REPUBLIC OF),RFGB,FI4000391529,,Finland,547000,629,555,EUR,ISHGT1-3,9/4/2019,
12/30/2021,JAPAN (GOVERNMENT OF) 5YR #136,JGB,JP1051361J76,,Japan,69800000,608,70006,JPY,ISHGT1-3,7/11/2018,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,DE0001102317,,Germany,510000,600,530,EUR,ISHGT1-3,5/24/2013,
12/30/2021,ITALY (REPUBLIC OF)        RegS,BTPS,IT0005325946,,Italy,500000,577,509,EUR,ISHGT1-3,3/1/2018,
12/30/2021,ISRAEL (STATE OF),ILGOV,IL0011267478,,Israel,1645000,575,1785,ILS,ISHGT1-3,8/7/2012,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,DE0001102325,,Germany,480000,572,505,EUR,ISHGT1-3,9/13/2013,
12/30/2021,ITALY (REPUBLIC OF)        RegS,BTPS,IT0005045270,,Italy,470000,571,504,EUR,ISHGT1-3,9/1/2014,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,OBL,DE0001141794,,Germany,480000,552,487,EUR,ISHGT1-3,1/25/2019,
12/30/2021,ITALY (REPUBLIC OF)        RegS,BTPS,IT0004953417,,Italy,430000,542,479,EUR,ISHGT1-3,8/1/2013,
12/30/2021,JAPAN (GOVERNMENT OF) 10YR #332,JGB,JP1103321DC2,,Japan,60000000,528,60833,JPY,ISHGT1-3,12/20/2013,
12/30/2021,SPAIN (KINGDOM OF),SPGB,ES00000126B2,,Spain,420000,522,460,EUR,ISHGT1-3,6/20/2014,
12/30/2021,UK CONV GILT               RegS,UKT,GB00B7Z53659,,United Kingdom,370000,517,383,GBP,ISHGT1-3,6/12/2013,
12/30/2021,SPAIN (KINGDOM OF),SPGB,ES00000124W3,,Spain,400000,510,451,EUR,ISHGT1-3,1/29/2014,
12/30/2021,SPAIN (KINGDOM OF),SPGB,ES00000123U9,,Spain,400000,505,446,EUR,ISHGT1-3,1/29/2013,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,DE0001102333,,Germany,415000,502,443,EUR,ISHGT1-3,1/31/2014,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,DBR,DE0001102358,,Germany,410000,493,435,EUR,ISHGT1-3,5/23/2014,
