,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,LEMB,2021-12-31,WORST,2022-01-06,47373.685,77062.47,124436.155
1,LEMB,2021-12-31,WORST,2022-01-10,1778.394,0.0,1778.394
2,LEMB,2021-12-31,WORST,2022-01-11,26699.654,0.0,26699.654
3,LEMB,2021-12-31,WORST,2022-01-14,32173.849,0.0,32173.849
4,LEMB,2021-12-31,WORST,2022-01-17,4238.658,0.0,4238.658
5,LEMB,2021-12-31,WORST,2022-01-19,16943.392,0.0,16943.392
6,LEMB,2021-12-31,WORST,2022-01-25,3226.426,0.0,3226.426
7,LEMB,2021-12-31,WORST,2022-01-26,15990.809,0.0,15990.809
8,LEMB,2021-12-31,WORST,2022-01-31,30787.572,0.0,30787.572
9,LEMB,2021-12-31,WORST,2022-02-02,5493.261,0.0,5493.261
10,LEMB,2021-12-31,WORST,2022-02-08,26334.761,0.0,26334.761
11,LEMB,2021-12-31,WORST,2022-02-09,3050.209,0.0,3050.209
12,LEMB,2021-12-31,WORST,2022-02-10,375.115,0.0,375.115
13,LEMB,2021-12-31,WORST,2022-02-14,61192.722,0.0,61192.722
14,LEMB,2021-12-31,WORST,2022-02-15,34324.063,0.0,34324.063
15,LEMB,2021-12-31,WORST,2022-02-16,27228.023,0.0,27228.023
16,LEMB,2021-12-31,WORST,2022-02-17,636.084,0.0,636.084
17,LEMB,2021-12-31,WORST,2022-02-21,12858.363,0.0,12858.363
18,LEMB,2021-12-31,WORST,2022-02-24,4481.878,0.0,4481.878
19,LEMB,2021-12-31,WORST,2022-02-28,26282.907,0.0,26282.907
20,LEMB,2021-12-31,WORST,2022-03-01,27709.089,0.0,27709.089
21,LEMB,2021-12-31,WORST,2022-03-02,7296.782,0.0,7296.782
22,LEMB,2021-12-31,WORST,2022-03-09,4627.546,0.0,4627.546
23,LEMB,2021-12-31,WORST,2022-03-10,17742.738,0.0,17742.738
24,LEMB,2021-12-31,WORST,2022-03-11,3165.846,0.0,3165.846
25,LEMB,2021-12-31,WORST,2022-03-14,6445.504,0.0,6445.504
26,LEMB,2021-12-31,WORST,2022-03-15,49966.117,0.0,49966.117
27,LEMB,2021-12-31,WORST,2022-03-16,10952.887,0.0,10952.887
28,LEMB,2021-12-31,WORST,2022-03-23,7164.812,0.0,7164.812
29,LEMB,2021-12-31,WORST,2022-03-28,5940.827,0.0,5940.827
30,LEMB,2021-12-31,WORST,2022-03-30,2497.215,0.0,2497.215
31,LEMB,2021-12-31,WORST,2022-03-31,14540.88,0.0,14540.88
32,LEMB,2021-12-31,WORST,2022-04-01,3491.339,0.0,3491.339
33,LEMB,2021-12-31,WORST,2022-04-06,28237.127,0.0,28237.127
34,LEMB,2021-12-31,WORST,2022-04-07,1132.671,0.0,1132.671
35,LEMB,2021-12-31,WORST,2022-04-08,3223.888,0.0,3223.888
36,LEMB,2021-12-31,WORST,2022-04-11,14687.985,0.0,14687.985
37,LEMB,2021-12-31,WORST,2022-04-12,1651.55,0.0,1651.55
38,LEMB,2021-12-31,WORST,2022-04-13,6192.745,0.0,6192.745
39,LEMB,2021-12-31,WORST,2022-04-15,3105.671,0.0,3105.671
40,LEMB,2021-12-31,WORST,2022-04-18,10225.173,0.0,10225.173
41,LEMB,2021-12-31,WORST,2022-04-20,9916.18,0.0,9916.18
42,LEMB,2021-12-31,WORST,2022-04-22,2213.271,0.0,2213.271
43,LEMB,2021-12-31,WORST,2022-04-25,10849.477,0.0,10849.477
44,LEMB,2021-12-31,WORST,2022-04-26,10986.128,0.0,10986.128
45,LEMB,2021-12-31,WORST,2022-04-28,13189.859,0.0,13189.859
46,LEMB,2021-12-31,WORST,2022-04-29,3584.24,0.0,3584.24
47,LEMB,2021-12-31,WORST,2022-05-05,950.211,0.0,950.211
48,LEMB,2021-12-31,WORST,2022-05-13,1839.026,0.0,1839.026
49,LEMB,2021-12-31,WORST,2022-05-16,1469.24,0.0,1469.24
50,LEMB,2021-12-31,WORST,2022-05-17,19863.839,0.0,19863.839
51,LEMB,2021-12-31,WORST,2022-05-18,3594.157,0.0,3594.157
52,LEMB,2021-12-31,WORST,2022-05-19,5960.598,0.0,5960.598
53,LEMB,2021-12-31,WORST,2022-05-23,66862.944,0.0,66862.944
54,LEMB,2021-12-31,WORST,2022-05-25,27517.421,0.0,27517.421
55,LEMB,2021-12-31,WORST,2022-05-26,10921.838,0.0,10921.838
56,LEMB,2021-12-31,WORST,2022-05-27,2724.627,0.0,2724.627
57,LEMB,2021-12-31,WORST,2022-05-31,3709.334,0.0,3709.334
58,LEMB,2021-12-31,WORST,2022-06-01,2855.966,0.0,2855.966
59,LEMB,2021-12-31,WORST,2022-06-06,68628.128,0.0,68628.128
60,LEMB,2021-12-31,WORST,2022-06-08,2479.324,0.0,2479.324
61,LEMB,2021-12-31,WORST,2022-06-09,51520.759,0.0,51520.759
62,LEMB,2021-12-31,WORST,2022-06-13,1752.447,0.0,1752.447
63,LEMB,2021-12-31,WORST,2022-06-14,713.42,0.0,713.42
64,LEMB,2021-12-31,WORST,2022-06-15,23904.209,0.0,23904.209
65,LEMB,2021-12-31,WORST,2022-06-16,1351.69,0.0,1351.69
66,LEMB,2021-12-31,WORST,2022-06-17,16815.184,0.0,16815.184
67,LEMB,2021-12-31,WORST,2022-06-20,1461.462,0.0,1461.462
68,LEMB,2021-12-31,WORST,2022-06-21,14017.649,0.0,14017.649
69,LEMB,2021-12-31,WORST,2022-06-22,2504.741,0.0,2504.741
70,LEMB,2021-12-31,WORST,2022-06-23,1545.772,0.0,1545.772
71,LEMB,2021-12-31,WORST,2022-06-24,8617.558,0.0,8617.558
72,LEMB,2021-12-31,WORST,2022-06-27,6216.062,0.0,6216.062
73,LEMB,2021-12-31,WORST,2022-06-28,5553.587,0.0,5553.587
74,LEMB,2021-12-31,WORST,2022-06-30,14823.859,0.0,14823.859
75,LEMB,2021-12-31,WORST,2022-07-01,45515.28,149611.011,195126.292
76,LEMB,2021-12-31,WORST,2022-07-04,4564.128,0.0,4564.128
77,LEMB,2021-12-31,WORST,2022-07-05,1858.404,0.0,1858.404
78,LEMB,2021-12-31,WORST,2022-07-11,6876.381,0.0,6876.381
79,LEMB,2021-12-31,WORST,2022-07-12,788.581,0.0,788.581
80,LEMB,2021-12-31,WORST,2022-07-14,32173.849,0.0,32173.849
81,LEMB,2021-12-31,WORST,2022-07-15,4238.658,0.0,4238.658
82,LEMB,2021-12-31,WORST,2022-07-20,16943.392,0.0,16943.392
83,LEMB,2021-12-31,WORST,2022-07-25,34990.918,0.0,34990.918
84,LEMB,2021-12-31,WORST,2022-07-26,7625.377,0.0,7625.377
85,LEMB,2021-12-31,WORST,2022-07-27,10765.008,0.0,10765.008
86,LEMB,2021-12-31,WORST,2022-07-28,3631.418,0.0,3631.418
87,LEMB,2021-12-31,WORST,2022-08-01,30787.572,0.0,30787.572
88,LEMB,2021-12-31,WORST,2022-08-03,4847.912,0.0,4847.912
89,LEMB,2021-12-31,WORST,2022-08-10,3050.209,0.0,3050.209
90,LEMB,2021-12-31,WORST,2022-08-12,56887.0,0.0,56887.0
91,LEMB,2021-12-31,WORST,2022-08-15,34324.063,0.0,34324.063
