,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,LQDB,2021-12-31,WORST,2022-01-06,40746.667,4118067.093,4158813.76
1,LQDB,2021-12-31,WORST,2022-01-10,24207.333,0.0,24207.333
2,LQDB,2021-12-31,WORST,2022-01-12,2633.333,0.0,2633.333
3,LQDB,2021-12-31,WORST,2022-01-13,1791.667,0.0,1791.667
4,LQDB,2021-12-31,WORST,2022-01-18,120674.065,0.0,120674.065
5,LQDB,2021-12-31,WORST,2022-01-20,5166.667,0.0,5166.667
6,LQDB,2021-12-31,WORST,2022-01-24,19677.333,0.0,19677.333
7,LQDB,2021-12-31,WORST,2022-01-25,5369.733,0.0,5369.733
8,LQDB,2021-12-31,WORST,2022-01-31,9808.333,0.0,9808.333
9,LQDB,2021-12-31,WORST,2022-02-01,37991.806,0.0,37991.806
10,LQDB,2021-12-31,WORST,2022-02-04,10951.667,0.0,10951.667
11,LQDB,2021-12-31,WORST,2022-02-07,4133.333,0.0,4133.333
12,LQDB,2021-12-31,WORST,2022-02-09,7366.667,0.0,7366.667
13,LQDB,2021-12-31,WORST,2022-02-11,1630.833,0.0,1630.833
14,LQDB,2021-12-31,WORST,2022-02-14,19600.0,0.0,19600.0
15,LQDB,2021-12-31,WORST,2022-02-15,128773.423,0.0,128773.423
16,LQDB,2021-12-31,WORST,2022-02-18,15283.333,0.0,15283.333
17,LQDB,2021-12-31,WORST,2022-02-22,11407.333,0.0,11407.333
18,LQDB,2021-12-31,WORST,2022-02-23,3066.667,0.0,3066.667
19,LQDB,2021-12-31,WORST,2022-02-25,1533.333,0.0,1533.333
20,LQDB,2021-12-31,WORST,2022-02-28,3075.0,0.0,3075.0
21,LQDB,2021-12-31,WORST,2022-03-01,49601.0,0.0,49601.0
22,LQDB,2021-12-31,WORST,2022-03-02,2920.0,0.0,2920.0
23,LQDB,2021-12-31,WORST,2022-03-03,1350.0,0.0,1350.0
24,LQDB,2021-12-31,WORST,2022-03-04,3200.0,0.0,3200.0
25,LQDB,2021-12-31,WORST,2022-03-07,5485.0,0.0,5485.0
26,LQDB,2021-12-31,WORST,2022-03-09,1500.0,0.0,1500.0
27,LQDB,2021-12-31,WORST,2022-03-10,5378.667,0.0,5378.667
28,LQDB,2021-12-31,WORST,2022-03-11,2291.667,0.0,2291.667
29,LQDB,2021-12-31,WORST,2022-03-14,2991.667,0.0,2991.667
30,LQDB,2021-12-31,WORST,2022-03-15,152235.384,0.0,152235.384
31,LQDB,2021-12-31,WORST,2022-03-16,7966.667,0.0,7966.667
32,LQDB,2021-12-31,WORST,2022-03-17,1946.667,0.0,1946.667
33,LQDB,2021-12-31,WORST,2022-03-21,23434.333,0.0,23434.333
34,LQDB,2021-12-31,WORST,2022-03-22,28504.667,0.0,28504.667
35,LQDB,2021-12-31,WORST,2022-03-24,6933.333,0.0,6933.333
36,LQDB,2021-12-31,WORST,2022-03-25,51552.667,0.0,51552.667
37,LQDB,2021-12-31,WORST,2022-03-28,3206.667,0.0,3206.667
38,LQDB,2021-12-31,WORST,2022-03-29,6683.333,0.0,6683.333
39,LQDB,2021-12-31,WORST,2022-04-01,60172.667,0.0,60172.667
40,LQDB,2021-12-31,WORST,2022-04-04,9000.0,0.0,9000.0
41,LQDB,2021-12-31,WORST,2022-04-05,3788.5,0.0,3788.5
42,LQDB,2021-12-31,WORST,2022-04-11,5133.333,0.0,5133.333
43,LQDB,2021-12-31,WORST,2022-04-12,666.667,0.0,666.667
44,LQDB,2021-12-31,WORST,2022-04-14,677.333,0.0,677.333
45,LQDB,2021-12-31,WORST,2022-04-15,74156.108,0.0,74156.108
46,LQDB,2021-12-31,WORST,2022-04-18,13850.0,0.0,13850.0
47,LQDB,2021-12-31,WORST,2022-04-19,7691.667,0.0,7691.667
48,LQDB,2021-12-31,WORST,2022-04-20,1666.667,0.0,1666.667
49,LQDB,2021-12-31,WORST,2022-04-21,5666.667,0.0,5666.667
50,LQDB,2021-12-31,WORST,2022-04-25,14568.0,0.0,14568.0
51,LQDB,2021-12-31,WORST,2022-04-28,541.667,0.0,541.667
52,LQDB,2021-12-31,WORST,2022-04-29,5850.0,0.0,5850.0
53,LQDB,2021-12-31,WORST,2022-05-02,82556.3,0.0,82556.3
54,LQDB,2021-12-31,WORST,2022-05-04,2000.0,0.0,2000.0
55,LQDB,2021-12-31,WORST,2022-05-09,6501.667,0.0,6501.667
56,LQDB,2021-12-31,WORST,2022-05-10,1216.667,0.0,1216.667
57,LQDB,2021-12-31,WORST,2022-05-11,7475.0,0.0,7475.0
58,LQDB,2021-12-31,WORST,2022-05-13,2300.0,0.0,2300.0
59,LQDB,2021-12-31,WORST,2022-05-16,176282.267,0.0,176282.267
60,LQDB,2021-12-31,WORST,2022-05-17,9800.0,0.0,9800.0
61,LQDB,2021-12-31,WORST,2022-05-18,5358.833,0.0,5358.833
62,LQDB,2021-12-31,WORST,2022-05-19,2833.333,0.0,2833.333
63,LQDB,2021-12-31,WORST,2022-05-20,1517.6,0.0,1517.6
64,LQDB,2021-12-31,WORST,2022-05-23,34825.0,0.0,34825.0
65,LQDB,2021-12-31,WORST,2022-05-24,14077.333,0.0,14077.333
66,LQDB,2021-12-31,WORST,2022-05-25,658.333,0.0,658.333
67,LQDB,2021-12-31,WORST,2022-05-26,6666.667,0.0,6666.667
68,LQDB,2021-12-31,WORST,2022-05-31,19038.333,0.0,19038.333
69,LQDB,2021-12-31,WORST,2022-06-01,87544.328,0.0,87544.328
70,LQDB,2021-12-31,WORST,2022-06-02,6900.0,0.0,6900.0
71,LQDB,2021-12-31,WORST,2022-06-06,7618.387,0.0,7618.387
72,LQDB,2021-12-31,WORST,2022-06-07,791.667,0.0,791.667
73,LQDB,2021-12-31,WORST,2022-06-09,1625.0,0.0,1625.0
74,LQDB,2021-12-31,WORST,2022-06-13,3608.333,0.0,3608.333
75,LQDB,2021-12-31,WORST,2022-06-14,3225.0,0.0,3225.0
76,LQDB,2021-12-31,WORST,2022-06-15,78833.722,0.0,78833.722
77,LQDB,2021-12-31,WORST,2022-06-17,2350.0,0.0,2350.0
78,LQDB,2021-12-31,WORST,2022-06-21,14843.333,0.0,14843.333
79,LQDB,2021-12-31,WORST,2022-06-22,6593.333,266666.667,273260.0
80,LQDB,2021-12-31,WORST,2022-06-23,3500.0,0.0,3500.0
81,LQDB,2021-12-31,WORST,2022-06-24,6066.667,0.0,6066.667
82,LQDB,2021-12-31,WORST,2022-06-30,10196.222,0.0,10196.222
83,LQDB,2021-12-31,WORST,2022-07-01,40746.667,0.0,40746.667
84,LQDB,2021-12-31,WORST,2022-07-08,15533.333,0.0,15533.333
85,LQDB,2021-12-31,WORST,2022-07-11,8674.0,0.0,8674.0
86,LQDB,2021-12-31,WORST,2022-07-12,2633.333,0.0,2633.333
87,LQDB,2021-12-31,WORST,2022-07-13,1791.667,0.0,1791.667
