,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AMERICAN INTL GROUP,AIG,US026874DH71,026874DH7,United States,100000,110,110,USD,ISHLQDB,3/22/2016,
12/30/2021,AMERICAN INTERNATIONAL GROUP INC,AIG,US026874DR53,026874DR5,United States,100000,108,108,USD,ISHLQDB,5/11/2020,
12/30/2021,AMERICAN INTERNATIONAL GROUP INC,AIG,US026874DA29,,United States,160000,199,199,USD,ISHLQDB,7/16/2014,
12/30/2021,AIR LEASE CORPORATION MTN,AL,US00914AAL61,,United States,250000,247,247,USD,ISHLQDB,1/26/2021,
12/30/2021,AIR LEASE CORPORATION,AL,US00914AAJ16,,United States,200000,209,209,USD,ISHLQDB,8/17/2020,
12/30/2021,ALLY FINANCIAL INC,ALLY,US02005NBP42,02005NBP4,United States,100000,100,100,USD,ISHLQDB,11/2/2021,
12/30/2021,ALLY FINANCIAL INC,ALLY,US36186CBY84,,United States,100000,143,143,USD,ISHLQDB,12/31/2008,
12/30/2021,ANTHEM INC,ANTM,US036752AQ61,,United States,100000,100,100,USD,ISHLQDB,3/17/2021,
12/30/2021,ANTHEM INC,ANTM,US036752AR45,,United States,100000,100,100,USD,ISHLQDB,3/17/2021,
12/30/2021,ANTHEM INC,ANTM,US036752AP88,,United States,100000,103,103,USD,ISHLQDB,3/17/2021,
12/30/2021,ANTHEM INC,ANTM,US036752AS28,,United States,200000,224,224,USD,ISHLQDB,3/17/2021,
12/30/2021,AON CORP,AON,US037389BE22,037389BE2,United States,200000,207,207,USD,ISHLQDB,5/15/2020,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AW93,015271AW9,United States,100000,96,96,USD,ISHLQDB,2/18/2021,
12/30/2021,ALEXANDRIA REAL ESTATE EQUITIES IN,ARE,US015271AS81,,United States,40000,47,47,USD,ISHLQDB,7/15/2019,
12/30/2021,ARES CAPITAL CORPORATION,ARCC,US04010LBA08,04010LBA0,United States,160000,160,160,USD,ISHLQDB,1/13/2021,
12/30/2021,BRIGHTHOUSE FINANCIAL INC,BHF,US10922NAF06,10922NAF0,United States,20000,22,22,USD,ISHLQDB,4/25/2018,
12/30/2021,BOSTON PROPERTIES LP,BXP,US10112RBC79,10112RBC7,United States,200000,206,206,USD,ISHLQDB,9/3/2019,
12/30/2021,CITIGROUP INC,C,US172967GT25,,United States,300000,311,311,USD,ISHLQDB,5/14/2013,
12/30/2021,CITIGROUP INC,C,US172967KA87,172967KA8,United States,200000,225,225,USD,ISHLQDB,9/29/2015,
12/30/2021,CITIGROUP INC,C,US172967BL44,,United States,100000,133,133,USD,ISHLQDB,6/6/2002,
12/30/2021,CITIGROUP INC,C,US172967HA25,172967HA2,United States,50000,76,76,USD,ISHLQDB,9/13/2013,
12/30/2021,CITIGROUP INC,C,US172967KR13,172967KR1,United States,50000,62,62,USD,ISHLQDB,5/18/2016,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HCD52,14040HCD5,United States,400000,410,410,USD,ISHLQDB,5/11/2020,
12/30/2021,AETNA INC,AET,US00817YAZ16,00817YAZ1,United States,60000,68,68,USD,ISHLQDB,8/10/2017,
