,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,CAD CASH,CAD,,,Canada,180000,141,180,CAD,ISHNEAR,1/1/1989,
12/30/2021,RNBAG_8    B RegS,RNBAG_8-B,XS2385345348,,Germany,400000,451,398,EUR,ISHNEAR,10/27/2021,
12/30/2021,RNBAI_1    A RegS,RNBAI_1-A,IT0005459729,,Italy,18626456,21217,18724,EUR,ISHNEAR,11/5/2021,
12/30/2021,ULISF_2    A RegS,ULISF_2-A,PTTGCAOM0015,,Portugal,12100000,13870,12241,EUR,ISHNEAR,9/28/2021,
12/30/2021,AUTOF_2    B RegS,AUTOF_2-B,IT0005456956,,Italy,898000,1010,892,EUR,ISHNEAR,10/12/2021,
12/30/2021,AUTOF_2    A RegS,AUTOF_2-A,IT0005456949,,Italy,10320000,11778,10395,EUR,ISHNEAR,10/12/2021,
12/30/2021,DPF_21-2    A RegS,DPF_21-2-A,XS2384171638,,Netherlands,6477000,7372,6506,EUR,ISHNEAR,9/28/2021,
12/30/2021,EUR CASH,EUR,,,European Union,1284284,1455,1284,EUR,ISHNEAR,1/1/1989,
12/30/2021,EUR/USD,EUR,,,United States,-50485000,-121,-106,USD,ISHNEAR,12/13/2021,
12/30/2021,GLDR_19-UKA    B RegS,GLDR_19-UKA-B,XS2049297182,,United Kingdom,768205,1038,769,GBP,ISHNEAR,9/19/2019,
12/30/2021,SATUS_21-1    C RegS,SATUS_21-1-C,XS2406633250,,United Kingdom,300000,405,300,GBP,ISHNEAR,11/26/2021,
12/30/2021,SATUS_21-1    B RegS,SATUS_21-1-B,XS2406633177,,United Kingdom,400000,539,400,GBP,ISHNEAR,11/26/2021,
12/30/2021,SATUS_21-1    A RegS,SATUS_21-1-A,XS2406633094,,United Kingdom,1184000,1600,1185,GBP,ISHNEAR,11/26/2021,
12/30/2021,DWSON_21-2    B RegS,DWSON_21-2-B,XS2401060780,,United Kingdom,1600000,2155,1597,GBP,ISHNEAR,10/21/2021,
12/30/2021,DWSON_21-2    A RegS,DWSON_21-2-A,XS2401060517,,United Kingdom,9910937,13392,9922,GBP,ISHNEAR,10/21/2021,
12/30/2021,TAURS_21-UK4_A     A RegS,TAURS_21-UK4_A-A,XS2368096413,,United Kingdom,7083087,9562,7085,GBP,ISHNEAR,8/19/2021,
12/30/2021,TOGET_21-1ST1    A RegS,TOGET_21-1ST1-A,XS2382161094,,United Kingdom,3369000,4533,3358,GBP,ISHNEAR,9/22/2021,
12/30/2021,ELVET_21-1    A RegS,ELVET_21-1-A,XS2395577914,,United Kingdom,11586000,15645,11592,GBP,ISHNEAR,10/15/2021,
12/30/2021,GBP CASH,GBP,,,United Kingdom,716423,967,716,GBP,ISHNEAR,1/1/1989,
12/30/2021,GBP/USD,GBP,,,United States,-36884000,-817,-605,USD,ISHNEAR,12/13/2021,
12/30/2021,JPY CASH,JPY,,,Japan,556,0,1,JPY,ISHNEAR,1/1/1990,
12/30/2021,CHASE_19-ATR2  A11 144A,CHASE_19-ATR2-A1,US16159GAL32,,United States,1549717,1556,1556,USD,ISHNEAR,7/25/2019,
12/30/2021,LNCR_21-CRE6    A 144A,LNCR_21-CRE6-A,US53948HAA41,,United States,2640000,2640,2640,USD,ISHNEAR,11/4/2021,
12/30/2021,COMM_13-CR6 A3FL 144A,COMM_13-CR6-A3FL,US12624XAF50,,United States,787957,788,788,USD,ISHNEAR,3/7/2013,
12/30/2021,NLY_19-FL2    A 144A,NLY_19-FL2-A,US629167AA52,,United States,4182074,4182,4182,USD,ISHNEAR,2/28/2019,
12/30/2021,NCMS_18-RIVA    A 144A,NCMS_18-RIVA-A,US63874JAA79,,United States,6486050,6484,6484,USD,ISHNEAR,3/5/2018,
12/30/2021,MSC_17-CLS    A 144A,MSC_17-CLS-A,US61691LAA70,,United States,14512000,14512,14512,USD,ISHNEAR,12/18/2017,
12/30/2021,WFCM_17-SMP    A 144A,WFCM 2017-SMP A,US95001CAA09,,United States,17280000,17266,17266,USD,ISHNEAR,12/21/2017,
12/30/2021,MSC_18-BOP    A 144A,MSC_18-BOP-A,US61768FAA84,,United States,6609152,6586,6586,USD,ISHNEAR,8/30/2018,
12/30/2021,LNCR_18_CRE1    A 144A,LNCR_18_CRE1-A,US53946MAA53,,United States,1978838,1981,1981,USD,ISHNEAR,6/5/2018,
12/30/2021,AREIT_19-CRE3      A 144A,AREIT_19-CRE3-A,US00217LAA08,00217LAA0,United States,12558362,12539,12539,USD,ISHNEAR,8/29/2019,
12/30/2021,KNDL_19-KNSQ    A 144A,KNDL_19-KNSQ-A,US482598AA71,,United States,8533000,8526,8526,USD,ISHNEAR,5/30/2019,
12/30/2021,BDS_21-FL9    A 144A,BDS_21-FL9-A,US05493NAA00,,United States,8750000,8713,8713,USD,ISHNEAR,10/13/2021,
12/30/2021,ARCLO_21-FL3    A 144A,ARCLO_21-FL3-A,US03880KAA25,,Cayman Islands,14450000,14387,14387,USD,ISHNEAR,9/29/2021,
12/30/2021,HGI_21-FL2    A 144A,HGI_21-FL2-A,US40390JAA07,,Cayman Islands,5380000,5347,5347,USD,ISHNEAR,9/27/2021,
12/30/2021,MF1_21-FL6    A 144A,MF1_21-FL6-A,US55283TAA60,55283TAA6,Cayman Islands,4520000,4504,4504,USD,ISHNEAR,6/24/2021,
12/30/2021,JPMCC_19-BKWD      A 144A,JPMCC_19-BKWD-A,US46591JAA43,,United States,1911000,1907,1907,USD,ISHNEAR,10/16/2019,
12/30/2021,PRK_17-280P    A 144A,PRK_17-280P-A,US90205FAA84,,United States,12100000,12091,12091,USD,ISHNEAR,9/28/2017,
12/30/2021,BAMLL_18-DSNY      A 144A,BAMML_18-DSNY-A,US054967AA22,,United States,19220000,19201,19201,USD,ISHNEAR,11/6/2018,
12/30/2021,BBCMS_19-BWAY      A 144A,BBCMS_19-BWAY-A,US05492NAA19,,United States,11305000,11276,11276,USD,ISHNEAR,11/26/2019,
12/30/2021,BX_19-CALM    A 144A,BX_19-CALM-A,US05608FAA93,,United States,6798000,6790,6790,USD,ISHNEAR,12/12/2019,
12/30/2021,BX_20-BXLP    A 144A,BX_20-BXLP-A,US05607QAA67,,United States,7227280,7226,7226,USD,ISHNEAR,2/6/2020,
12/30/2021,BBCMS_18-TALL      A 144A,BBCMS_18-TALL-A,US05548WAA53,,United States,8630000,8536,8536,USD,ISHNEAR,3/28/2018,
12/30/2021,BX_18-BIOA    A 144A,BX_18-BIOA-A,US056057AA02,,United States,22445492,22439,22439,USD,ISHNEAR,3/15/2018,
12/30/2021,DBGS_18-5BP    A 144A,DBGS_18-5BP-A,US33830CAA80,,United States,4200000,4194,4194,USD,ISHNEAR,6/28/2018,
12/30/2021,MSC_18-SUN    A 144A,MSC_18-SUN-A,US61691MAA53,,United States,19045000,19017,19017,USD,ISHNEAR,8/2/2018,
12/30/2021,COLD_20-ICE5    A 144A,COLD_20-ICE5-A,US193051AA74,,United States,1843107,1842,1842,USD,ISHNEAR,10/29/2020,
12/30/2021,GCT_21-GCT    A 144A,GCT_21-GCT-A,US36167RAA14,,United States,8600000,8593,8593,USD,ISHNEAR,2/5/2021,
12/30/2021,COMM_21-LBA    A 144A,COMM_21-LBA-A,US12598GAA58,,United States,2800000,2777,2777,USD,ISHNEAR,3/17/2021,
12/30/2021,TPGI_21-DGWD    A 144A,TPGI_21-DGWD-A,US87267HAA59,,United States,6320000,6291,6291,USD,ISHNEAR,6/15/2021,
12/30/2021,BX_21-VIEW    A,BX_21-VIEW-A,US05606GAA94,,United States,2070000,2069,2069,USD,ISHNEAR,6/1/2021,
12/30/2021,ESA_21-ESH    A 144A,ESA_21-ESH-A,US30227FAA84,,United States,6197757,6209,6209,USD,ISHNEAR,7/8/2021,
12/30/2021,GSMS_21-IP    A,GSMS_21-IP-A,US36262MAA62,,United States,10360000,10358,10358,USD,ISHNEAR,10/1/2021,
12/30/2021,BX_21-ARIA    A 144A,BX_21-ARIA-A,US05608RAA32,05608RAA3,United States,8520000,8508,8508,USD,ISHNEAR,10/28/2021,
12/30/2021,BX_21-XL2    A 144A,BX_21-XL2-A,US05609KAA79,05609KAA7,United States,9780000,9723,9723,USD,ISHNEAR,10/26/2021,
12/30/2021,MEDT_21-MDLN    A 144A,MEDT_21-MDLN-A,US58403YAD85,58403YAD8,United States,4260000,4253,4253,USD,ISHNEAR,11/15/2021,
12/30/2021,MF1_21-W10X    A 144A,MF1_21-W10X-A,US55284DAA00,,United States,1230000,1235,1235,USD,ISHNEAR,12/1/2021,
12/30/2021,COMM_13-GAM   A2 144A,COMM_13-GAM-A2,US12624UAC80,,United States,6553778,6529,6529,USD,ISHNEAR,3/1/2013,
12/30/2021,MF1_21-W10X    B 144A,MF1_21-W10X-B,US55284DAG79,,United States,480000,482,482,USD,ISHNEAR,12/1/2021,
12/30/2021,INTERNATIONAL LEASE FINANCE CORP,AER,US459745GN96,459745GN9,United States,21825000,22981,22981,USD,ISHNEAR,8/21/2012,
12/30/2021,AIR LEASE CORPORATION MTN,AL,US00914AAN28,00914AAN2,United States,28600000,28608,28608,USD,ISHNEAR,6/4/2021,
12/30/2021,AIR LEASE CORPORATION,AL,US00912XBC74,00912XBC7,United States,6138000,6480,6480,USD,ISHNEAR,6/18/2018,
12/30/2021,AIR LEASE CORPORATION MTN,AL,US00914AAL61,,United States,4840000,4779,4779,USD,ISHNEAR,1/26/2021,
12/30/2021,ALLY FINANCIAL INC,ALLY,US02005NAY67,02005NAY6,United States,25385000,25884,25884,USD,ISHNEAR,2/13/2015,
12/30/2021,ANTHEM INC,ANTM,US94973VAX55,94973VAX5,United States,27616000,27993,27993,USD,ISHNEAR,5/7/2012,
12/30/2021,ANTHEM INC,ANTM,US036752AF07,,United States,4555000,4655,4655,USD,ISHNEAR,11/21/2017,
12/30/2021,AMERICAN EXPRESS CO,AXP,US025816BM04,,United States,15000000,15312,15312,USD,ISHNEAR,8/1/2017,
12/30/2021,AMERICAN EXPRESS COMPANY,AXP,US025816BT56,025816BT5,United States,4000000,4021,4021,USD,ISHNEAR,2/27/2018,
12/30/2021,AMERICAN EXPRESS COMPANY,AXP,US025816BS73,025816BS7,United States,22382000,23288,23288,USD,ISHNEAR,2/27/2018,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGH65,06051GGH6,United States,24300000,24375,24375,USD,ISHNEAR,1/20/2017,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GGJ22,06051GGJ2,United States,12500000,12555,12555,USD,ISHNEAR,4/24/2017,
12/30/2021,BANK OF AMERICA CORP,BAC,US06051GHC69,06051GHC6,United States,58985000,60261,60261,USD,ISHNEAR,5/22/2018,
12/30/2021,BANK OF AMERICA CORP MTN,BAC,US06051GHF90,06051GHF9,United States,30000000,31236,31236,USD,ISHNEAR,3/5/2018,
12/30/2021,CITIGROUP INC,C,US172967LR04,,United States,10000000,10048,10048,USD,ISHNEAR,10/27/2017,
12/30/2021,CITIGROUP INC,C,US172967LQ21,,United States,33800000,34480,34480,USD,ISHNEAR,10/27/2017,
12/30/2021,CITIGROUP INC,C,US172967LM17,172967LM1,United States,13250000,13572,13572,USD,ISHNEAR,7/24/2017,
12/30/2021,AVIATION CAPITAL GROUP LLC 144A,ACGCAP,US05369AAC53,,United States,20240000,20984,20984,USD,ISHNEAR,5/1/2018,
12/30/2021,CITIZENS BANK NA MTN,CFG,US17401QAT85,17401QAT8,United States,30000000,30041,30041,USD,ISHNEAR,2/14/2019,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HBM60,14040HBM6,United States,24635000,24669,24669,USD,ISHNEAR,3/9/2017,
12/30/2021,CAPITAL ONE BANK USA NA,COF,US14042TCS42,14042TCS4,United States,10000000,10094,10094,USD,ISHNEAR,1/28/2020,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HBU86,14040HBU8,United States,10000000,10381,10381,USD,ISHNEAR,1/30/2018,
12/30/2021,CAPITAL ONE FINANCIAL CORPORATION,COF,US14040HCD52,14040HCD5,United States,14000000,14348,14348,USD,ISHNEAR,5/11/2020,
12/30/2021,CREDIT SUISSE AG (NEW YORK BRANCH),CS,US22550L2F72,22550L2F7,Switzerland,25000000,24890,24890,USD,ISHNEAR,8/9/2021,
12/30/2021,DEUTSCHE BANK AG (NEW YORK BRANCH),DB,US251526CL15,251526CL1,Germany,13790000,13779,13779,USD,ISHNEAR,11/8/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXP44,,United States,26400000,26387,26387,USD,ISHNEAR,1/27/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GWT74,38141GWT7,United States,7583000,7861,7861,USD,ISHNEAR,1/23/2018,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GXY50,,United States,25000000,24961,24961,USD,ISHNEAR,3/8/2021,
12/30/2021,GOLDMAN SACHS GROUP INC/THE,GS,US38141GWN05,38141GWN0,United States,5000000,5025,5025,USD,ISHNEAR,7/24/2017,
12/30/2021,GOLDMAN SACHS GROUP INC/THE MTN,GS,US38141EB818,,United States,13800000,14110,14110,USD,ISHNEAR,11/29/2013,
12/30/2021,GOLDMAN SACHS GROUP INC/THE FXD,GS,US38141GZE78,,United States,28860000,28953,28953,USD,ISHNEAR,12/6/2021,
12/30/2021,HUNTINGTON NATIONAL BANK (THE),HBAN,US44644AAB35,,United States,15430000,15754,15754,USD,ISHNEAR,8/7/2017,
12/30/2021,HUMANA INC,HUM,US444859BP69,444859BP6,United States,43100000,43003,43003,USD,ISHNEAR,8/3/2021,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46625HJE18,,United States,5000000,5141,5141,USD,ISHNEAR,9/24/2012,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46647PBB13,46647PBB1,United States,6000000,6083,6083,USD,ISHNEAR,3/22/2019,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46647PAD87,46647PAD8,United States,8900000,8936,8936,USD,ISHNEAR,4/25/2017,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46647PAE60,46647PAE6,United States,18450000,18660,18660,USD,ISHNEAR,4/25/2017,
12/30/2021,JPMORGAN CHASE & CO 6NC5 FXD-TO-FR,JPM,US46647PAP18,,United States,29600000,30785,30785,USD,ISHNEAR,4/23/2018,
12/30/2021,MORGAN STANLEY,MS,US61746BDJ26,,United States,25000000,26196,26196,USD,ISHNEAR,2/25/2013,
12/30/2021,MORGAN STANLEY MTN,MS,US61746BEC63,61746BEC6,United States,23700000,23973,23973,USD,ISHNEAR,10/24/2016,
12/30/2021,MORGAN STANLEY MTN,MS,US6174468T98,6174468T9,United States,5500000,5497,5497,USD,ISHNEAR,11/13/2020,
12/30/2021,MORGAN STANLEY,MS,US6174468W28,6174468W2,United States,20000000,19978,19978,USD,ISHNEAR,1/25/2021,
12/30/2021,CHARLES SCHWAB CORPORATION (THE),SCHW,US808513BM66,,United States,34500000,34606,34606,USD,ISHNEAR,3/18/2021,
12/30/2021,WELLS FARGO & COMPANY,WFC,US949746SJ14,,United States,14000000,14140,14140,USD,ISHNEAR,10/31/2016,
12/30/2021,ABBVIE INC,ABBV,US00287YCS63,00287YCS6,United States,34500000,34889,34889,USD,ISHNEAR,11/19/2020,
12/30/2021,ABBVIE INC,ABBV,US00287YAL39,00287YAL3,United States,50000000,51148,51148,USD,ISHNEAR,8/5/2013,
12/30/2021,ABBVIE INC,ABBV,US00287YBM03,00287YBM0,United States,21924000,22288,22288,USD,ISHNEAR,11/19/2020,
12/30/2021,ANALOG DEVICES INC,ADI,US032654AT25,032654AT2,United States,5025000,5028,5028,USD,ISHNEAR,10/5/2021,
12/30/2021,AVERY DENNISON CORPORATION,AVY,US053611AL39,053611AL3,United States,10440000,10322,10322,USD,ISHNEAR,8/18/2021,
12/30/2021,BOEING CO,BA,US097023BT13,,United States,9400000,9477,9477,USD,ISHNEAR,2/16/2017,
12/30/2021,BAT CAPITAL CORP,BATSLN,US05526DAX30,05526DAX3,United Kingdom,10000000,10038,10038,USD,ISHNEAR,11/20/2018,
