,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,NYF,2021-12-31,WORST,2022-01-06,95368.019,358531.218,453899.237
1,NYF,2021-12-31,WORST,2022-01-18,33243.386,0.0,33243.386
2,NYF,2021-12-31,WORST,2022-01-30,713.33,38624.339,39337.669
3,NYF,2021-12-31,WORST,2022-02-01,118597.001,52910.053,171507.054
4,NYF,2021-12-31,WORST,2022-02-15,103756.437,322751.323,426507.76
5,NYF,2021-12-31,WORST,2022-03-01,88799.699,105820.106,194619.805
6,NYF,2021-12-31,WORST,2022-03-15,134352.806,507407.407,641760.214
7,NYF,2021-12-31,WORST,2022-04-01,60542.975,529629.63,590172.605
8,NYF,2021-12-31,WORST,2022-04-15,47654.322,132275.132,179929.454
9,NYF,2021-12-31,WORST,2022-05-02,106730.159,178306.878,285037.037
10,NYF,2021-12-31,WORST,2022-05-16,171526.455,158730.159,330256.614
11,NYF,2021-12-31,WORST,2022-06-01,44406.173,44444.444,88850.618
12,NYF,2021-12-31,WORST,2022-06-15,164649.324,992063.492,1156712.816
13,NYF,2021-12-31,WORST,2022-07-01,86225.824,193182.936,279408.76
14,NYF,2021-12-31,WORST,2022-07-15,33243.386,35978.836,69222.222
15,NYF,2021-12-31,WORST,2022-08-01,118208.995,375132.275,493341.27
16,NYF,2021-12-31,WORST,2022-08-15,101965.021,0.0,101965.021
17,NYF,2021-12-31,WORST,2022-09-01,85206.68,139661.376,224868.056
18,NYF,2021-12-31,WORST,2022-09-15,119857.804,0.0,119857.804
19,NYF,2021-12-31,WORST,2022-10-03,45738.095,108465.608,154203.704
20,NYF,2021-12-31,WORST,2022-10-17,46111.111,50264.55,96375.661
21,NYF,2021-12-31,WORST,2022-11-01,98701.058,147089.947,245791.005
22,NYF,2021-12-31,WORST,2022-11-15,167558.201,1102645.503,1270203.704
23,NYF,2021-12-31,WORST,2022-12-01,39708.995,0.0,39708.995
24,NYF,2021-12-31,WORST,2022-12-15,138153.439,532804.233,670957.672
25,NYF,2021-12-31,WORST,2023-01-03,80760.882,95238.095,175998.977
26,NYF,2021-12-31,WORST,2023-01-17,32343.915,211640.212,243984.127
27,NYF,2021-12-31,WORST,2023-02-01,108830.688,294708.995,403539.683
28,NYF,2021-12-31,WORST,2023-02-15,101653.439,388888.889,490542.328
29,NYF,2021-12-31,WORST,2023-03-01,81705.265,287830.688,369535.952
30,NYF,2021-12-31,WORST,2023-03-15,119857.804,676190.476,796048.28
31,NYF,2021-12-31,WORST,2023-04-03,43026.455,74074.074,117100.529
