,,,,,,,,,,,,,,,,,,,,,,,,,,iShares New York Muni Bond ETF
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"4,701,513.64",0.86,"4,701,513.64","4,000,000.00",64990FPV0,US64990FPV03,-,116.03,United States,-,USD,10.62,3.08,1.0,"Feb 15, 2047",4.0,15.3,-,1.86,6.95,1.86,USD,"Jan 03, 2020","Jan 03, 2020"
SUFFOLK CNTY N Y WTR AUTH WTRW,Utility,Fixed Income,"4,060,191.00",0.74,"4,060,191.00","3,485,000.00",864784GJ6,US864784GJ61,-,116.17,United States,-,USD,9.22,2.9,1.0,"Jun 01, 2041",4.0,13.91,-,1.36,5.73,1.36,USD,"Aug 02, 2018","Aug 02, 2018"
BROOKHAVEN N Y,Local Tax-Backed,Fixed Income,"3,844,803.89",0.7,"3,844,803.89","3,285,000.00",113152C59,US113152C592,-,115.2,United States,-,USD,4.14,0.6,1.0,"Jul 15, 2026",4.0,4.15,-,0.6,4.15,0.6,USD,"Jan 28, 2020","Jan 28, 2020"
BLACKROCK LIQ FD NY MONEY-IN,Cash and/or Derivatives,Money Market,"3,740,465.64",0.68,"3,740,465.64","3,740,466.00",09248U759,US09248U7596,248U759,1.0,United States,-,USD,0.01,0.1,1.0,-,0.1,0.01,-,0.1,0.01,0.1,USD,-,"Aug 22, 1983"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"3,701,353.03",0.68,"3,701,353.03","3,250,000.00",794665FQ7,US794665FQ74,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
NEW YORK ST TWY AUTH GEN REV J,Transportation,Fixed Income,"3,289,697.18",0.6,"3,289,697.18","2,765,000.00",650010BD2,US650010BD20,-,116.35,United States,-,USD,6.87,4.33,1.0,"Jan 01, 2056",5.25,16.3,-,1.06,3.59,1.06,USD,"May 12, 2016","May 12, 2016"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"3,004,153.67",0.55,"3,004,153.67","2,500,000.00",64966QQB9,US64966QQB94,-,118.5,United States,-,USD,9.92,2.67,1.0,"Aug 01, 2039",4.0,12.89,-,1.67,7.31,1.67,USD,"Oct 15, 2020","Oct 15, 2020"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"2,997,685.91",0.55,"2,997,685.91","2,550,000.00",64986DKQ7,US64986DKQ78,-,117.36,United States,-,USD,10.67,3.06,1.0,"Jun 15, 2049",4.0,16.91,-,1.53,6.55,1.53,USD,"Apr 08, 2020","Apr 08, 2020"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"2,868,441.43",0.52,"2,868,441.43","2,585,000.00",64972GFA7,US64972GFA76,-,110.74,United States,-,USD,4.51,4.01,1.0,"Jun 15, 2036",5.0,10.46,-,0.59,2.34,0.59,USD,"Sep 24, 2014","Sep 24, 2014"
SUFFOLK CNTY N Y,Local Tax-Backed,Fixed Income,"2,858,750.41",0.52,"2,858,750.41","2,575,000.00",86476PRE0,US86476PRE06,-,110.19,United States,-,USD,2.37,1.83,1.0,"May 01, 2025",5.0,3.07,-,0.6,2.21,0.6,USD,"Nov 16, 2015","Nov 16, 2015"
MONROE CNTY N Y,Local Tax-Backed,Fixed Income,"2,636,369.31",0.48,"2,636,369.31","2,145,000.00",61074PXD4,US61074PXD40,-,120.91,United States,-,USD,6.79,1.36,1.0,"Jun 01, 2030",4.0,7.2,-,1.06,6.46,1.06,USD,"Jun 30, 2021","Jun 30, 2021"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"2,628,014.50",0.48,"2,628,014.50","2,170,000.00",44420RBA7,US44420RBA77,-,119.22,United States,-,USD,6.65,3.37,1.0,"Feb 15, 2037",5.0,10.84,-,1.13,4.54,1.13,USD,"May 30, 2017","May 30, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"2,617,042.67",0.48,"2,617,042.67","2,000,000.00",64971XRX8,US64971XRX83,-,130.02,United States,-,USD,8.91,2.56,1.0,"Nov 01, 2036",5.0,11.02,-,1.38,7.38,1.38,USD,"Sep 01, 2020","Sep 01, 2020"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"2,613,486.84",0.48,"2,613,486.84","2,000,000.00",650036BZ8,US650036BZ81,-,129.2,United States,-,USD,9.12,2.75,1.0,"Mar 15, 2038",5.0,11.66,-,1.42,7.25,1.42,USD,"Jul 23, 2020","Jul 23, 2020"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"2,598,825.84",0.48,"2,598,825.84","2,000,000.00",650036AL0,US650036AL05,-,128.47,United States,-,USD,9.63,3.03,1.0,"Mar 15, 2041",5.0,13.07,-,1.5,7.24,1.5,USD,"Jun 25, 2020","Jun 25, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"2,556,142.44",0.47,"2,556,142.44","2,000,000.00",64990FKS2,US64990FKS29,-,126.33,United States,-,USD,7.74,2.63,1.0,"Mar 15, 2035",5.0,10.0,-,1.18,6.17,1.18,USD,"Jun 28, 2019","Jun 28, 2019"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"2,550,776.44",0.47,"2,550,776.44","2,000,000.00",95736VBT8,US95736VBT89,-,127.32,United States,-,USD,5.93,0.85,1.0,"Oct 15, 2028",5.0,5.93,-,0.85,5.93,0.85,USD,"Dec 15, 2021","Dec 15, 2021"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"2,480,438.73",0.45,"2,480,438.73","2,100,000.00",64990BZY2,US64990BZY28,-,116.87,United States,-,USD,3.45,0.46,1.0,"Oct 01, 2025",5.0,3.45,-,0.46,3.45,0.46,USD,"Apr 27, 2016","Apr 27, 2016"
TRIBOROUGH BRDG & TUNL AUTH NY,Transportation,Fixed Income,"2,464,967.39",0.45,"2,464,967.39","2,095,000.00",89602RGB5,US89602RGB50,-,117.15,United States,-,USD,11.93,3.16,1.0,"Nov 15, 2054",4.0,18.69,-,1.89,7.57,1.89,USD,"May 27, 2020","May 27, 2020"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,438,141.53",0.45,"2,438,141.53","2,000,000.00",64966QMJ6,US64966QMJ66,-,120.24,United States,-,USD,8.61,2.15,1.0,"Aug 01, 2034",4.0,10.03,-,1.48,7.32,1.48,USD,"Sep 09, 2020","Sep 09, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"2,429,603.96",0.44,"2,429,603.96","2,000,000.00",64990FZS6,US64990FZS63,-,120.3,United States,-,USD,9.67,2.4,1.0,"Mar 15, 2037",4.0,11.66,-,1.62,7.8,1.62,USD,"Mar 25, 2021","Mar 25, 2021"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,424,834.67",0.44,"2,424,834.67","2,000,000.00",64966QVN7,US64966QVN77,-,119.91,United States,-,USD,9.99,2.5,1.0,"Mar 01, 2038",4.0,12.18,-,1.65,7.76,1.65,USD,"Mar 24, 2021","Mar 24, 2021"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"2,382,716.13",0.44,"2,382,716.13","2,000,000.00",07133AHJ4,US07133AHJ43,-,118.47,United States,-,USD,10.24,2.89,1.0,"Nov 01, 2044",4.0,14.86,-,1.49,6.81,1.49,USD,"Aug 06, 2019","Aug 06, 2019"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"2,379,596.33",0.44,"2,379,596.33","2,025,000.00",91802RBM0,US91802RBM07,-,117.26,United States,-,USD,5.09,3.13,1.0,"Dec 15, 2032",5.0,8.44,-,0.58,3.65,0.58,USD,"Oct 27, 2015","Oct 27, 2015"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"2,370,217.35",0.43,"2,370,217.35","1,950,000.00",64990FYC2,US64990FYC21,-,120.37,United States,-,USD,8.94,2.21,1.0,"Mar 15, 2035",4.0,10.46,-,1.5,7.44,1.5,USD,"Oct 15, 2020","Oct 15, 2020"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"2,366,128.83",0.43,"2,366,128.83","1,920,000.00",542691AT7,US542691AT77,-,121.57,United States,-,USD,7.73,3.52,1.0,"Sep 01, 2042",5.0,12.64,-,1.07,4.98,1.07,USD,"Dec 14, 2017","Dec 14, 2017"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"2,278,097.02",0.42,"2,278,097.02","2,000,000.00",59261AQH3,US59261AQH31,-,113.39,United States,-,USD,8.05,2.83,1.0,"Nov 15, 2035",4.0,10.8,-,1.77,5.66,1.77,USD,"Dec 14, 2017","Dec 14, 2017"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"2,216,934.47",0.41,"2,216,934.47","1,930,000.00",44420RAZ3,US44420RAZ38,-,113.36,United States,-,USD,7.3,2.84,1.0,"Feb 15, 2036",4.0,10.85,-,1.3,4.62,1.3,USD,"May 30, 2017","May 30, 2017"
NEW YORK ST TWY AUTH GEN REV,Transportation,Fixed Income,"2,193,720.10",0.4,"2,193,720.10","1,970,000.00",650009ZV8,US650009ZV80,-,108.86,United States,-,USD,2.35,3.07,1.0,"Jan 01, 2027",5.0,4.35,-,0.54,1.89,0.54,USD,"Feb 06, 2014","Feb 06, 2014"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"2,174,666.47",0.4,"2,174,666.47","2,000,000.00",64971XG28,US64971XG285,-,107.8,United States,-,USD,11.95,2.49,1.0,"Aug 01, 2041",3.0,14.84,-,2.1,8.29,2.1,USD,"Sep 09, 2021","Sep 09, 2021"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"2,152,479.15",0.39,"2,152,479.15","1,890,000.00",794665GD5,US794665GD52,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
BROOKHAVEN N Y,Local Tax-Backed,Fixed Income,"2,145,608.31",0.39,"2,145,608.31","2,000,000.00",113152E81,US113152E812,-,104.97,United States,-,USD,1.08,0.21,1.0,"Jan 15, 2023",5.0,1.07,-,0.21,1.07,0.21,USD,"Nov 04, 2020","Nov 04, 2020"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"2,144,957.18",0.39,"2,144,957.18","2,000,000.00",64990EKT3,US64990EKT37,-,105.36,United States,-,USD,1.09,0.22,1.0,"Feb 15, 2023",5.0,1.09,-,0.22,1.09,0.22,USD,"Jul 25, 2013","Jul 25, 2013"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"2,126,398.17",0.39,"2,126,398.17","1,950,000.00",542691CM0,US542691CM07,-,108.05,United States,-,USD,9.09,2.35,1.0,"Sep 01, 2036",3.0,11.85,-,1.72,6.01,1.72,USD,"Sep 26, 2019","Sep 26, 2019"
HUDSON YDS INFRASTRUCTURE CORP,Other Industries,Fixed Income,"2,125,899.49",0.39,"2,125,899.49","1,745,000.00",44420RCC2,US44420RCC25,-,121.12,United States,-,USD,11.15,2.59,1.0,"Feb 15, 2041",4.0,13.86,-,1.72,8.48,1.72,USD,"Oct 27, 2021","Oct 27, 2021"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"2,054,339.68",0.38,"2,054,339.68","1,685,000.00",89602N7R9,US89602N7R94,-,121.28,United States,-,USD,6.96,3.27,1.0,"Nov 15, 2037",5.0,11.38,-,0.93,4.8,0.93,USD,"Jan 19, 2017","Jan 19, 2017"
