,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009ZA44,650009ZA4,United States,300000,307,307,USD,ISHNY,7/11/2012,
12/30/2021,NEW YORK ST TWY AUTH GEN REV,NYSTRN,US650009ZB27,650009ZB2,United States,1000000,1025,1025,USD,ISHNY,7/11/2012,
12/30/2021,TRIBOROUGH BRDG & TUNL AUTH N,TRBTRN,US896029S898,,United States,425000,436,436,USD,ISHNY,11/19/1997,
12/30/2021,TRIBOROUGH BRDG & TUNL AUTH N Y RE,TRBTRN,US896029Z323,896029Z32,United States,810000,832,832,USD,ISHNY,8/15/1999,
12/30/2021,TRIBOROUGH BRDG & TUNL AUTH N,TRBTRN,US89602N6F65,89602N6F6,United States,55000,56,56,USD,ISHNY,10/13/2011,
12/30/2021,TRIBOROUGH BRDG & TUNL AUTH N,TRBTRN,US89602N6P48,89602N6P4,United States,20000,20,20,USD,ISHNY,10/13/2011,
12/30/2021,TRIBOROUGH BRDG & TUNL AUTH N Y RE,TRBTRN,US89602NWS97,89602NWS9,United States,350000,359,359,USD,ISHNY,10/13/2011,
12/30/2021,NEW YORK N Y,NYC,US64966JE362,64966JE36,United States,1000000,1024,1024,USD,ISHNY,4/5/2012,
12/30/2021,NEW YORK N Y,NYC,US64966JE446,64966JE44,United States,250000,256,256,USD,ISHNY,4/5/2012,
12/30/2021,NEW YORK ST DORM AUTH REVS NON,NYSHGR,US649906TS30,649906TS3,United States,250000,262,262,USD,ISHNY,4/26/2012,
12/30/2021,NEW YORK ST DORM AUTH REVS ST,NYSHGR,US64990HRF90,64990HRF9,United States,1510000,1584,1584,USD,ISHNY,9/19/2012,
12/30/2021,NEW YORK N Y,NYC,US64966JL615,64966JL61,United States,725000,760,760,USD,ISHNY,6/7/2012,
12/30/2021,LONG IS PWR AUTH N Y ELEC SYS,LSLPWR,US542691DS67,542691DS6,United States,335000,351,351,USD,ISHNY,7/16/2012,
12/30/2021,LONG IS PWR AUTH N Y ELEC SYS,LSLPWR,US542691FA32,542691FA3,United States,260000,273,273,USD,ISHNY,7/16/2012,
12/30/2021,NEW YORK N Y,NYC,US64966J2D75,64966J2D7,United States,500000,524,524,USD,ISHNY,10/23/2012,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665GC79,794665GC7,United States,475000,498,498,USD,ISHNY,10/15/2014,
12/30/2021,METROPOLITAN TRANSN AUTH N Y R,MTATRN,US59261ASB43,59261ASB4,United States,150000,157,157,USD,ISHNY,6/26/2014,
12/30/2021,METROPOLITAN TRANSN AUTH N Y R,MTATRN,US59261ASN80,59261ASN8,United States,60000,63,63,USD,ISHNY,5/3/2012,
12/30/2021,METROPOLITAN TRANSN AUTH N Y R,MTATRN,US59261AUT23,59261AUT2,United States,165000,173,173,USD,ISHNY,5/3/2012,
12/30/2021,METROPOLITAN TRANSN AUTH N Y R,MTATRN,US59261AUX35,59261AUX3,United States,525000,550,550,USD,ISHNY,7/20/2012,
12/30/2021,NASSAU CNTY N Y INTERIM FIN AU,NASGEN,US631663PM72,631663PM7,United States,1670000,1750,1750,USD,ISHNY,10/22/2015,
12/30/2021,NEW YORK ST PWR AUTH REV,NYSPWR,US64989KHX72,64989KHX7,United States,725000,760,760,USD,ISHNY,10/6/2011,
12/30/2021,NEW YORK ST DORM AUTH ST PERSONAL,NYSHGR,US64990E5L73,64990E5L7,United States,200000,214,214,USD,ISHNY,10/20/2016,
12/30/2021,NEW YORK ST DORM AUTH ST PERS,NYSHGR,US64990EKT37,64990EKT3,United States,2000000,2145,2145,USD,ISHNY,7/25/2013,
12/30/2021,NEW YORK ST DORM AUTH ST PERS,NYSHGR,US64990EKW65,64990EKW6,United States,500000,536,536,USD,ISHNY,7/25/2013,
12/30/2021,NEW YORK N Y,NYC,US64966KQT33,64966KQT3,United States,350000,375,375,USD,ISHNY,3/19/2013,
12/30/2021,NEW YORK N Y,NYC,US64966QTH38,64966QTH3,United States,495000,531,531,USD,ISHNY,3/19/2013,
12/30/2021,NEW YORK ST,NYS,US649791HK97,649791HK9,United States,300000,322,322,USD,ISHNY,3/19/2013,
12/30/2021,NEW YORK ST,NYS,US649791HM53,649791HM5,United States,370000,397,397,USD,ISHNY,3/19/2013,
12/30/2021,NEW YORK ST,NYS,US649791HT07,649791HT0,United States,200000,211,211,USD,ISHNY,3/19/2013,
12/30/2021,NEW YORK ST DORM AUTH SALES TA,NYSHGR,US64990AAT25,64990AAT2,United States,500000,536,536,USD,ISHNY,10/24/2013,
12/30/2021,METROPOLITAN TRANSN AUTH N Y R,MTATRN,US59261AUV78,59261AUV7,United States,320000,342,342,USD,ISHNY,1/24/2013,
12/30/2021,NEW YORK N Y CITY MUN WTR FIN,NYCUTL,US64972GRE60,64972GRE6,United States,330000,353,353,USD,ISHNY,3/1/2013,
12/30/2021,NEW YORK ST DORM AUTH REVS NON,NYSHGR,US649907WP37,649907WP3,United States,1025000,1123,1123,USD,ISHNY,10/8/2013,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665FZ73,794665FZ7,United States,300000,328,328,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665FN44,794665FN4,United States,1120000,1275,1275,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665FQ74,794665FQ7,United States,3250000,3701,3701,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665FS31,794665FS3,United States,1440000,1640,1640,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665FT14,794665FT1,United States,1385000,1577,1577,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665GD52,794665GD5,United States,1890000,2152,2152,USD,ISHNY,10/15/2014,
12/30/2021,SALES TAX ASSET RECEIVABLE COR,SLS,US794665GE36,794665GE3,United States,1570000,1788,1788,USD,ISHNY,10/15/2014,
12/30/2021,NEW YORK ST DORM AUTH ST PERS,NYSHGR,US64990E5N30,64990E5N3,United States,1400000,1626,1626,USD,ISHNY,10/20/2016,
12/30/2021,NEW YORK ST DORM AUTH REVS NON,NYSHGR,US65000BEZ76,65000BEZ7,United States,5000,6,6,USD,ISHNY,5/1/2015,
12/30/2021,NASSAU CNTY N Y,NAS,US63165TQR94,63165TQR9,United States,500000,512,512,USD,ISHNY,2/9/2016,
12/30/2021,WESTCHESTER CNTY N Y,WCH,US95736UT201,95736UT20,United States,1035000,1061,1061,USD,ISHNY,4/19/2016,
12/30/2021,NEW YORK ST,NYS,US649791MU15,649791MU1,United States,500000,512,512,USD,ISHNY,3/15/2018,
12/30/2021,ROCKLAND CNTY N Y,RKL,US77355PQX41,77355PQX4,United States,1000000,1024,1024,USD,ISHNY,3/13/2014,
12/30/2021,BROOKHAVEN N Y,BRO,US113152YE60,113152YE6,United States,100000,102,102,USD,ISHNY,5/10/2017,
12/30/2021,NEW YORK ST,NYS,US649791KK50,649791KK5,United States,305000,312,312,USD,ISHNY,3/19/2015,
12/30/2021,NEW YORK ST URBAN DEV CORP ST,NYSFAC,US64985TAC53,64985TAC5,United States,280000,287,287,USD,ISHNY,10/30/2019,
12/30/2021,NEW YORK ST URBAN DEV CORP REV,NYSDEV,US650035M472,650035M47,United States,145000,149,149,USD,ISHNY,12/18/2014,
12/30/2021,NEW YORK ST URBAN DEV CORP REV,NYSDEV,US650035W539,650035W53,United States,400000,410,410,USD,ISHNY,3/17/2016,
12/30/2021,NEW YORK ST URBAN DEV CORP REV,NYSDEV,US650035ZK73,650035ZK7,United States,400000,410,410,USD,ISHNY,3/19/2013,
