,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,SGOV,2021-12-31,WORST,2022-01-06,0.0,1081710.182,1081710.182
1,SGOV,2021-12-31,WORST,2022-01-11,0.0,6625.767,6625.767
2,SGOV,2021-12-31,WORST,2022-01-18,183861.963,14798773.006,14982634.969
3,SGOV,2021-12-31,WORST,2022-01-25,0.0,269938.65,269938.65
4,SGOV,2021-12-31,WORST,2022-01-31,138255.368,14747239.264,14885494.632
5,SGOV,2021-12-31,WORST,2022-02-01,0.0,14802822.086,14802822.086
6,SGOV,2021-12-31,WORST,2022-02-03,0.0,8374723.926,8374723.926
7,SGOV,2021-12-31,WORST,2022-02-08,0.0,7301840.491,7301840.491
8,SGOV,2021-12-31,WORST,2022-02-15,0.0,13749815.951,13749815.951
9,SGOV,2021-12-31,WORST,2022-02-28,118098.16,13496932.515,13615030.675
10,SGOV,2021-12-31,WORST,2022-03-01,0.0,2453987.73,2453987.73
11,SGOV,2021-12-31,WORST,2022-03-10,0.0,874723.926,874723.926
12,SGOV,2021-12-31,WORST,2022-03-17,0.0,7625092.025,7625092.025
13,SGOV,2021-12-31,MATURITY,2022-01-06,0.0,1081710.182,1081710.182
14,SGOV,2021-12-31,MATURITY,2022-01-11,0.0,6625.767,6625.767
15,SGOV,2021-12-31,MATURITY,2022-01-18,183861.963,14798773.006,14982634.969
16,SGOV,2021-12-31,MATURITY,2022-01-25,0.0,269938.65,269938.65
17,SGOV,2021-12-31,MATURITY,2022-01-31,138255.368,14747239.264,14885494.632
18,SGOV,2021-12-31,MATURITY,2022-02-01,0.0,14802822.086,14802822.086
19,SGOV,2021-12-31,MATURITY,2022-02-03,0.0,8374723.926,8374723.926
20,SGOV,2021-12-31,MATURITY,2022-02-08,0.0,7301840.491,7301840.491
21,SGOV,2021-12-31,MATURITY,2022-02-15,0.0,13749815.951,13749815.951
22,SGOV,2021-12-31,MATURITY,2022-02-28,118098.16,13496932.515,13615030.675
23,SGOV,2021-12-31,MATURITY,2022-03-01,0.0,2453987.73,2453987.73
24,SGOV,2021-12-31,MATURITY,2022-03-10,0.0,874723.926,874723.926
25,SGOV,2021-12-31,MATURITY,2022-03-17,0.0,7625092.025,7625092.025
