,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,SHYG,2021-12-31,WORST,2022-01-06,46000.912,1589427.207,1635428.12
1,SHYG,2021-12-31,WORST,2022-01-07,1732.821,61930.693,63663.514
2,SHYG,2021-12-31,WORST,2022-01-10,4448.967,90133.56,94582.527
3,SHYG,2021-12-31,WORST,2022-01-15,1003.701,97018.925,98022.626
4,SHYG,2021-12-31,WORST,2022-01-18,108070.233,2691.46,110761.694
5,SHYG,2021-12-31,WORST,2022-01-20,6417.315,0.0,6417.315
6,SHYG,2021-12-31,WORST,2022-01-21,3276.254,0.0,3276.254
7,SHYG,2021-12-31,WORST,2022-01-24,1966.132,0.0,1966.132
8,SHYG,2021-12-31,WORST,2022-01-25,2376.753,0.0,2376.753
9,SHYG,2021-12-31,WORST,2022-01-30,18021.664,1517297.659,1535319.323
10,SHYG,2021-12-31,WORST,2022-01-31,9296.122,0.0,9296.122
11,SHYG,2021-12-31,WORST,2022-02-01,82345.352,291305.766,373651.119
12,SHYG,2021-12-31,WORST,2022-02-03,532.754,0.0,532.754
13,SHYG,2021-12-31,WORST,2022-02-04,1337.069,0.0,1337.069
14,SHYG,2021-12-31,WORST,2022-02-07,1008.921,0.0,1008.921
15,SHYG,2021-12-31,WORST,2022-02-10,935.644,0.0,935.644
16,SHYG,2021-12-31,WORST,2022-02-15,107717.329,810921.358,918638.687
17,SHYG,2021-12-31,WORST,2022-02-16,890.037,0.0,890.037
18,SHYG,2021-12-31,WORST,2022-02-22,1720.813,0.0,1720.813
19,SHYG,2021-12-31,WORST,2022-02-28,2132.334,32425.743,34558.077
20,SHYG,2021-12-31,WORST,2022-03-01,52167.411,506271.865,558439.276
21,SHYG,2021-12-31,WORST,2022-03-08,604.62,0.0,604.62
22,SHYG,2021-12-31,WORST,2022-03-09,1050.866,0.0,1050.866
23,SHYG,2021-12-31,WORST,2022-03-11,680.06,0.0,680.06
24,SHYG,2021-12-31,WORST,2022-03-15,138192.826,1207204.465,1345397.29
25,SHYG,2021-12-31,WORST,2022-03-16,592.898,35338.284,35931.182
26,SHYG,2021-12-31,WORST,2022-03-18,1931.824,0.0,1931.824
27,SHYG,2021-12-31,WORST,2022-03-21,4247.447,0.0,4247.447
28,SHYG,2021-12-31,WORST,2022-03-22,741.671,0.0,741.671
29,SHYG,2021-12-31,WORST,2022-03-25,3215.233,0.0,3215.233
30,SHYG,2021-12-31,WORST,2022-03-30,4452.073,0.0,4452.073
