,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,SUB,2021-12-31,WORST,2022-01-06,406296.677,1698591.08,2104887.757
1,SUB,2021-12-31,WORST,2022-01-18,32952.272,299372.057,332324.328
2,SUB,2021-12-31,WORST,2022-01-30,386.025,16091.052,16477.077
3,SUB,2021-12-31,WORST,2022-02-01,346251.182,503453.689,849704.871
4,SUB,2021-12-31,WORST,2022-02-08,34.341,17660.911,17695.251
5,SUB,2021-12-31,WORST,2022-02-15,122108.053,426923.077,549031.13
6,SUB,2021-12-31,WORST,2022-03-01,166914.805,923390.895,1090305.7
7,SUB,2021-12-31,WORST,2022-03-15,149839.548,1079356.358,1229195.906
8,SUB,2021-12-31,WORST,2022-04-01,263607.155,815777.08,1079384.235
9,SUB,2021-12-31,WORST,2022-04-15,34791.995,106750.392,141542.387
10,SUB,2021-12-31,WORST,2022-05-02,275866.965,1320722.135,1596589.1
11,SUB,2021-12-31,WORST,2022-05-16,115279.5,281946.625,397226.125
12,SUB,2021-12-31,WORST,2022-06-01,250886.094,1480533.752,1731419.846
13,SUB,2021-12-31,WORST,2022-06-15,133277.92,1105416.013,1238693.933
14,SUB,2021-12-31,WORST,2022-06-23,15349.729,392464.678,407814.407
15,SUB,2021-12-31,WORST,2022-06-29,4730.508,125588.697,130319.205
16,SUB,2021-12-31,WORST,2022-06-30,7591.784,251177.394,258769.178
17,SUB,2021-12-31,WORST,2022-07-01,402572.824,4498665.62,4901238.444
18,SUB,2021-12-31,WORST,2022-07-15,28142.229,559183.673,587325.903
19,SUB,2021-12-31,WORST,2022-08-01,340120.977,2923469.388,3263590.365
20,SUB,2021-12-31,WORST,2022-08-15,112987.392,1136183.956,1249171.348
21,SUB,2021-12-31,WORST,2022-09-01,149322.148,1166562.009,1315884.158
22,SUB,2021-12-31,WORST,2022-09-15,122210.361,47488.226,169698.587
23,SUB,2021-12-31,WORST,2022-10-03,243596.743,1975824.176,2219420.918
24,SUB,2021-12-31,WORST,2022-10-17,34178.571,107535.322,141713.893
25,SUB,2021-12-31,WORST,2022-11-01,246092.72,1836342.229,2082434.949
