,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
DETROIT MICH SEW SNR,Prerefund/Escrow,Fixed Income,"29,561,918.79",0.43,"29,561,918.79","28,115,000.00",251250AR7,US251250AR70,-,102.52,United States,-,USD,0.49,0.2,1.0,"Jul 01, 2022",5.25,0.49,-,0.2,0.49,0.2,USD,"Jun 26, 2012","Jun 26, 2012"
TEXAS TRANSN COMMN CENT TEX TP,Prerefund/Escrow,Fixed Income,"26,314,903.56",0.39,"26,314,903.56","25,090,000.00",88283KAB4,US88283KAB44,-,102.99,United States,-,USD,0.61,0.18,1.0,"Aug 15, 2022",5.0,0.61,-,0.18,0.61,0.18,USD,"Nov 27, 2012","Nov 01, 2012"
LOS ANGELES CALIF,Cash and/or Derivatives,Cash,"25,960,892.50",0.38,"25,960,892.50","25,000,000.00",544351PL7,US544351PL75,-,101.84,United States,-,USD,0.48,0.14,1.0,"Jun 23, 2022",4.0,0.48,-,0.14,0.48,0.14,USD,"Jul 01, 2021","Jul 01, 2021"
MARYLAND ST,State Tax-Backed,Fixed Income,"25,880,325.24",0.38,"25,880,325.24","22,700,000.00",574193PC6,US574193PC67,-,111.93,United States,-,USD,2.42,0.36,1.0,"Aug 01, 2024",5.0,2.42,-,0.36,2.42,0.36,USD,"Aug 30, 2017","Aug 30, 2017"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"24,435,543.55",0.36,"24,435,543.55","21,085,000.00",13063DPA0,US13063DPA09,-,114.64,United States,-,USD,3.02,0.46,1.0,"Apr 01, 2025",5.0,3.02,-,0.46,3.02,0.46,USD,"Apr 18, 2019","Apr 18, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"23,699,440.21",0.35,"23,699,440.21","21,225,000.00",13063DNY0,US13063DNY03,-,110.41,United States,-,USD,2.14,0.35,1.0,"Apr 01, 2024",5.0,2.13,-,0.35,2.13,0.35,USD,"Apr 18, 2019","Apr 18, 2019"
NEW JERSEY ST,State Tax-Backed,Fixed Income,"23,376,753.18",0.34,"23,376,753.18","20,320,000.00",646039YJ0,US646039YJ06,-,114.63,United States,-,USD,3.19,0.66,1.0,"Jun 01, 2025",5.0,3.18,-,0.66,3.18,0.66,USD,"Nov 24, 2020","Nov 24, 2020"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"23,304,973.14",0.34,"23,304,973.14","20,100,000.00",70914PJ86,US70914PJ865,-,113.45,United States,-,USD,2.77,0.48,1.0,"Jan 01, 2025",5.0,2.77,-,0.48,2.77,0.48,USD,"Nov 16, 2017","Nov 16, 2017"
WILLIAMSON CNTY TEX,Local Tax-Backed,Fixed Income,"22,318,092.00",0.33,"22,318,092.00","20,000,000.00",969888AC0,US969888AC09,-,109.84,United States,-,USD,2.01,0.34,1.0,"Feb 15, 2024",5.0,2.01,-,0.34,2.01,0.34,USD,"Aug 25, 2021","Aug 25, 2021"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"20,556,213.21",0.3,"20,556,213.21","19,195,000.00",91412GST3,US91412GST30,-,106.45,United States,-,USD,1.33,0.28,1.0,"May 15, 2023",5.0,1.34,-,0.28,1.34,0.28,USD,"Oct 02, 2013","Oct 02, 2013"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"20,506,768.36",0.3,"20,506,768.36","19,555,000.00",70914PP55,US70914PP557,-,102.56,United States,-,USD,0.53,0.24,1.0,"Jul 15, 2022",5.0,0.53,-,0.24,0.53,0.24,USD,"Jun 26, 2019","Jun 26, 2019"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"19,476,167.68",0.29,"19,476,167.68","17,095,000.00",5446465L2,US5446465L27,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"May 25, 2017","May 25, 2017"
NEW YORK N Y CITY MUN WTR FIN,Prerefund/Escrow,Fixed Income,"18,830,926.40",0.28,"18,830,926.40","18,390,000.00",64972GVQ4,US64972GVQ45,-,102.18,United States,-,USD,0.45,0.22,1.0,"Jun 15, 2022",5.0,0.46,-,0.22,0.46,0.22,USD,"Dec 12, 2019","Dec 12, 2019"
FLORIDA ST BRD OF EDU PUBLIC EDU,State Tax-Backed,Fixed Income,"18,511,593.79",0.27,"18,511,593.79","18,075,000.00",34153QPY6,US34153QPY60,-,102.0,United States,-,USD,0.42,0.2,1.0,"Jun 01, 2022",5.0,0.42,-,0.2,0.42,0.2,USD,"Apr 11, 2019","Apr 11, 2019"
