,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,TLH,2021-12-31,WORST,2022-01-06,0.0,2049828.889,2049828.889
1,TLH,2021-12-31,WORST,2022-02-15,578744.927,0.0,578744.927
2,TLH,2021-12-31,WORST,2022-05-16,1000459.612,0.0,1000459.612
3,TLH,2021-12-31,WORST,2022-08-15,578744.927,0.0,578744.927
4,TLH,2021-12-31,WORST,2022-11-15,1000459.612,0.0,1000459.612
5,TLH,2021-12-31,WORST,2023-02-15,578744.927,0.0,578744.927
6,TLH,2021-12-31,WORST,2023-05-15,1000459.612,0.0,1000459.612
7,TLH,2021-12-31,WORST,2023-08-15,578744.927,0.0,578744.927
8,TLH,2021-12-31,WORST,2023-11-15,1000459.612,0.0,1000459.612
9,TLH,2021-12-31,WORST,2024-02-15,578744.927,0.0,578744.927
10,TLH,2021-12-31,WORST,2024-05-15,1000459.612,0.0,1000459.612
11,TLH,2021-12-31,WORST,2024-08-15,578744.927,0.0,578744.927
12,TLH,2021-12-31,WORST,2024-11-15,1000459.612,0.0,1000459.612
13,TLH,2021-12-31,WORST,2025-02-18,578744.927,0.0,578744.927
14,TLH,2021-12-31,WORST,2025-05-15,1000459.612,0.0,1000459.612
15,TLH,2021-12-31,WORST,2025-08-15,578744.927,0.0,578744.927
16,TLH,2021-12-31,WORST,2025-11-17,1000459.612,0.0,1000459.612
17,TLH,2021-12-31,WORST,2026-02-17,578744.927,0.0,578744.927
18,TLH,2021-12-31,WORST,2026-05-15,1000459.612,0.0,1000459.612
19,TLH,2021-12-31,WORST,2026-08-17,578744.927,0.0,578744.927
20,TLH,2021-12-31,WORST,2026-11-16,1000459.612,0.0,1000459.612
21,TLH,2021-12-31,WORST,2027-02-16,578744.927,0.0,578744.927
22,TLH,2021-12-31,WORST,2027-05-17,1000459.612,0.0,1000459.612
23,TLH,2021-12-31,WORST,2027-08-16,578744.927,0.0,578744.927
24,TLH,2021-12-31,WORST,2027-11-15,1000459.612,0.0,1000459.612
25,TLH,2021-12-31,WORST,2028-02-15,578744.927,0.0,578744.927
26,TLH,2021-12-31,WORST,2028-05-15,1000459.612,0.0,1000459.612
27,TLH,2021-12-31,WORST,2028-08-15,578744.927,0.0,578744.927
28,TLH,2021-12-31,WORST,2028-11-15,1000459.612,0.0,1000459.612
29,TLH,2021-12-31,WORST,2029-02-15,578744.927,0.0,578744.927
30,TLH,2021-12-31,WORST,2029-05-15,1000459.612,0.0,1000459.612
31,TLH,2021-12-31,WORST,2029-08-15,578744.927,0.0,578744.927
32,TLH,2021-12-31,WORST,2029-11-15,1000459.612,0.0,1000459.612
33,TLH,2021-12-31,WORST,2030-02-15,578744.927,0.0,578744.927
34,TLH,2021-12-31,WORST,2030-05-15,1000459.612,0.0,1000459.612
35,TLH,2021-12-31,WORST,2030-08-15,578744.927,0.0,578744.927
36,TLH,2021-12-31,WORST,2030-11-15,1000459.612,0.0,1000459.612
37,TLH,2021-12-31,WORST,2031-02-18,578744.927,0.0,578744.927
38,TLH,2021-12-31,WORST,2031-05-15,1000459.612,0.0,1000459.612
39,TLH,2021-12-31,WORST,2031-08-15,578744.927,29223.301,607968.228
