,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 20+ Year Treasury Bond ETF
TREASURY BOND,Treasuries,Fixed Income,"2,210,742,797.26",11.24,"2,210,742,797.26","2,218,376,000.00",912810SU3,US912810SU34,BLH1TN8,98.94,United States,-,USD,22.01,1.92,1.0,"Feb 15, 2051",1.88,22.16,-,1.92,22.16,1.92,USD,"Feb 15, 2021","Feb 16, 2021"
TREASURY BOND,Treasuries,Fixed Income,"1,727,582,795.12",8.78,"1,727,582,795.12","1,392,148,100.00",912810SF6,US912810SF66,BJ7G9G2,122.95,United States,-,USD,19.15,1.91,1.0,"Feb 15, 2049",3.0,19.32,-,1.91,19.32,1.91,USD,"Feb 15, 2019","Feb 15, 2019"
TREASURY BOND,Treasuries,Fixed Income,"1,214,315,665.74",6.17,"1,214,315,665.74","983,150,000.00",912810SD1,US912810SD19,BFZLQN7,122.36,United States,-,USD,18.88,1.92,1.0,"Aug 15, 2048",3.0,19.04,-,1.92,19.04,1.92,USD,"Aug 15, 2018","Aug 15, 2018"
TREASURY BOND,Treasuries,Fixed Income,"1,136,602,536.64",5.78,"1,136,602,536.64","974,852,500.00",912810RB6,US912810RB61,B8W8CX4,116.2,United States,-,USD,16.24,1.94,1.0,"May 15, 2043",2.88,16.35,-,1.94,16.35,1.94,USD,"May 15, 2013","May 15, 2013"
TREASURY BOND,Treasuries,Fixed Income,"1,063,518,854.19",5.41,"1,063,518,854.19","863,216,700.00",912810SA7,US912810SA79,BG0D0F5,122.05,United States,-,USD,18.62,1.92,1.0,"Feb 15, 2048",3.0,18.78,-,1.92,18.78,1.92,USD,"Feb 15, 2018","Feb 15, 2018"
TREASURY BOND (OLD),Treasuries,Fixed Income,"1,013,077,720.76",5.15,"1,013,077,720.76","986,407,200.00",912810SZ2,US912810SZ21,BMWVP21,101.94,United States,-,USD,22.03,1.91,1.0,"Aug 15, 2051",2.0,22.2,-,1.91,22.2,1.91,USD,"Aug 15, 2021","Aug 16, 2021"
TREASURY BOND,Treasuries,Fixed Income,"948,233,875.19",4.82,"948,233,875.19","1,015,370,600.00",912810SS8,US912810SS87,BN7JWV5,93.17,United States,-,USD,22.5,1.93,1.0,"Nov 15, 2050",1.63,22.64,-,1.93,22.64,1.93,USD,"Nov 15, 2020","Nov 16, 2020"
TREASURY BOND,Treasuries,Fixed Income,"923,103,776.02",4.69,"923,103,776.02","901,992,600.00",912810SL3,US912810SL35,BK8ZZ34,101.57,United States,-,USD,21.19,1.93,1.0,"Feb 15, 2050",2.0,21.34,-,1.93,21.34,1.93,USD,"Feb 15, 2020","Feb 18, 2020"
TREASURY BOND,Treasuries,Fixed Income,"917,756,890.92",4.67,"917,756,890.92","731,865,900.00",912810SC3,US912810SC36,BD59D47,124.98,United States,-,USD,18.72,1.91,1.0,"May 15, 2048",3.13,18.89,-,1.91,18.89,1.91,USD,"May 15, 2018","May 15, 2018"
TREASURY BOND,Treasuries,Fixed Income,"873,065,226.15",4.44,"873,065,226.15","783,561,500.00",912810RQ3,US912810RQ31,BD2C0D7,110.46,United States,-,USD,18.13,1.95,1.0,"Feb 15, 2046",2.5,18.26,-,1.95,18.26,1.95,USD,"Feb 15, 2016","Feb 16, 2016"
TREASURY BOND,Treasuries,Fixed Income,"866,999,471.40",4.41,"866,999,471.40","706,998,900.00",912810RH3,US912810RH32,BPYD753,121.43,United States,-,USD,16.6,1.95,1.0,"Aug 15, 2044",3.13,16.72,-,1.95,16.72,1.95,USD,"Aug 15, 2014","Aug 15, 2014"
TREASURY BOND,Treasuries,Fixed Income,"822,571,809.64",4.18,"822,571,809.64","742,005,600.00",912810RS9,US912810RS96,BYZ2TS9,110.52,United States,-,USD,18.37,1.96,1.0,"May 15, 2046",2.5,18.51,-,1.96,18.51,1.96,USD,"May 15, 2016","May 16, 2016"
TREASURY BOND,Treasuries,Fixed Income,"678,513,907.29",3.45,"678,513,907.29","628,897,700.00",912810SJ8,US912810SJ88,BK9DLC8,107.03,United States,-,USD,20.47,1.92,1.0,"Aug 15, 2049",2.25,20.63,-,1.92,20.63,1.92,USD,"Aug 15, 2019","Aug 15, 2019"
TREASURY BOND (OTR),Treasuries,Fixed Income,"576,484,009.00",2.93,"576,484,009.00","579,632,000.00",912810TB4,US912810TB44,BMCNFZ0,99.2,United States,-,USD,22.54,1.91,1.0,"Nov 15, 2051",1.88,22.7,-,1.91,22.7,1.91,USD,"Nov 15, 2021","Nov 15, 2021"
TREASURY BOND,Treasuries,Fixed Income,"474,490,234.75",2.41,"474,490,234.75","389,806,200.00",912810QZ4,US912810QZ49,B89T3Q0,120.53,United States,-,USD,15.77,1.94,1.0,"Feb 15, 2043",3.13,15.88,-,1.94,15.88,1.94,USD,"Feb 15, 2013","Feb 15, 2013"
TREASURY BOND,Treasuries,Fixed Income,"462,834,694.22",2.35,"462,834,694.22","352,510,700.00",912810SE9,US912810SE91,BGRW851,130.84,United States,-,USD,18.71,1.9,1.0,"Nov 15, 2048",3.38,18.89,-,1.9,18.89,1.9,USD,"Nov 15, 2018","Nov 15, 2018"
TREASURY BOND,Treasuries,Fixed Income,"459,837,538.41",2.34,"459,837,538.41","350,732,600.00",912810RC4,US912810RC45,BCZQWC2,129.72,United States,-,USD,15.62,1.94,1.0,"Aug 15, 2043",3.63,15.74,-,1.94,15.74,1.94,USD,"Aug 15, 2013","Aug 15, 2013"
TREASURY BOND,Treasuries,Fixed Income,"422,770,328.70",2.15,"422,770,328.70","356,732,800.00",912810RN0,US912810RN00,BYSJ1Z8,117.41,United States,-,USD,17.4,1.95,1.0,"Aug 15, 2045",2.88,17.54,-,1.95,17.54,1.95,USD,"Aug 15, 2015","Aug 17, 2015"
TREASURY BOND,Treasuries,Fixed Income,"385,956,472.87",1.96,"385,956,472.87","335,640,100.00",912810QX9,US912810QX90,B75JF50,113.94,United States,-,USD,15.83,1.93,1.0,"Aug 15, 2042",2.75,15.93,-,1.93,15.93,1.93,USD,"Aug 15, 2012","Aug 15, 2012"
TREASURY BOND,Treasuries,Fixed Income,"383,667,807.56",1.95,"383,667,807.56","328,499,200.00",912810RZ3,US912810RZ30,BF92XY6,116.42,United States,-,USD,18.89,1.94,1.0,"Nov 15, 2047",2.75,19.04,-,1.94,19.04,1.94,USD,"Nov 15, 2017","Nov 15, 2017"
TREASURY BOND,Treasuries,Fixed Income,"367,989,097.50",1.87,"367,989,097.50","334,010,000.00",912810SK5,US912810SK51,BKVKB94,109.85,United States,-,USD,20.52,1.92,1.0,"Nov 15, 2049",2.38,20.68,-,1.92,20.68,1.92,USD,"Nov 15, 2019","Nov 15, 2019"
TREASURY BOND,Treasuries,Fixed Income,"315,897,704.41",1.61,"315,897,704.41","266,206,400.00",912810RU4,US912810RU43,BZ1BP67,118.28,United States,-,USD,18.2,1.94,1.0,"Nov 15, 2046",2.88,18.34,-,1.94,18.34,1.94,USD,"Nov 15, 2016","Nov 15, 2016"
TREASURY BOND,Treasuries,Fixed Income,"301,304,766.62",1.53,"301,304,766.62","256,602,400.00",912810RY6,US912810RY64,BF53YK6,116.37,United States,-,USD,18.65,1.94,1.0,"Aug 15, 2047",2.75,18.8,-,1.94,18.8,1.94,USD,"Aug 15, 2017","Aug 15, 2017"
TREASURY BOND,Treasuries,Fixed Income,"285,819,570.49",1.45,"285,819,570.49","236,507,600.00",912810SH2,US912810SH23,BK1WFY3,120.46,United States,-,USD,19.55,1.91,1.0,"May 15, 2049",2.88,19.72,-,1.91,19.72,1.91,USD,"May 15, 2019","May 15, 2019"
TREASURY BOND,Treasuries,Fixed Income,"203,743,265.77",1.04,"203,743,265.77","178,189,100.00",912810QY7,US912810QY73,B8JB195,113.97,United States,-,USD,16.07,1.93,1.0,"Nov 15, 2042",2.75,16.17,-,1.93,16.17,1.93,USD,"Nov 15, 2012","Nov 15, 2012"
TREASURY BOND,Treasuries,Fixed Income,"191,025,400.83",0.97,"191,025,400.83","143,894,600.00",912810RD2,US912810RD28,BGK9QZ5,132.25,United States,-,USD,15.77,1.93,1.0,"Nov 15, 2043",3.75,15.89,-,1.93,15.89,1.93,USD,"Nov 15, 2013","Nov 15, 2013"
TREASURY BOND,Treasuries,Fixed Income,"165,648,608.91",0.84,"165,648,608.91","135,594,100.00",912810RV2,US912810RV26,BDRJ2Q0,121.02,United States,-,USD,18.08,1.94,1.0,"Feb 15, 2047",3.0,18.23,-,1.94,18.23,1.94,USD,"Feb 15, 2017","Feb 15, 2017"
TREASURY BOND,Treasuries,Fixed Income,"92,980,923.11",0.47,"92,980,923.11","101,820,000.00",912810ST6,US912810ST60,BNG0BM3,91.13,United States,-,USD,16.31,1.94,1.0,"Nov 15, 2040",1.38,16.37,-,1.94,16.37,1.94,USD,"Nov 15, 2020","Nov 30, 2020"
TREASURY BOND,Treasuries,Fixed Income,"88,478,794.87",0.45,"88,478,794.87","100,402,000.00",912810SP4,US912810SP49,BL6JZR9,87.6,United States,-,USD,22.86,1.94,1.0,"Aug 15, 2050",1.38,22.99,-,1.94,22.99,1.94,USD,"Aug 15, 2020","Aug 17, 2020"
TREASURY BOND,Treasuries,Fixed Income,"52,520,083.31",0.27,"52,520,083.31","47,345,000.00",912810RK6,US912810RK60,BVVT273,109.97,United States,-,USD,17.55,1.96,1.0,"Feb 15, 2045",2.5,17.67,-,1.96,17.67,1.96,USD,"Feb 15, 2015","Feb 17, 2015"
TREASURY BOND,Treasuries,Fixed Income,"34,118,200.50",0.17,"34,118,200.50","38,884,000.00",912810SQ2,US912810SQ22,BKVKF47,87.31,United States,-,USD,16.41,1.94,1.0,"Aug 15, 2040",1.13,16.46,-,1.94,16.46,1.94,USD,"Aug 15, 2020","Aug 31, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"16,339,999.69",0.08,"16,339,999.69","16,340,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
