,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,USHY,2021-12-31,WORST,2022-01-06,28741.268,176204.579,204945.846
1,USHY,2021-12-31,WORST,2022-01-07,585.759,0.0,585.759
2,USHY,2021-12-31,WORST,2022-01-10,2203.668,22597.382,24801.05
3,USHY,2021-12-31,WORST,2022-01-14,589.331,0.0,589.331
4,USHY,2021-12-31,WORST,2022-01-15,244.348,27113.844,27358.191
5,USHY,2021-12-31,WORST,2022-01-18,126307.544,53596.693,179904.237
6,USHY,2021-12-31,WORST,2022-01-20,3111.518,0.0,3111.518
7,USHY,2021-12-31,WORST,2022-01-24,1951.451,0.0,1951.451
8,USHY,2021-12-31,WORST,2022-01-25,594.219,0.0,594.219
9,USHY,2021-12-31,WORST,2022-01-26,689.571,0.0,689.571
10,USHY,2021-12-31,WORST,2022-01-30,8113.035,634407.802,642520.837
11,USHY,2021-12-31,WORST,2022-01-31,14489.986,0.0,14489.986
12,USHY,2021-12-31,WORST,2022-02-01,83997.167,175348.009,259345.176
13,USHY,2021-12-31,WORST,2022-02-04,588.204,0.0,588.204
14,USHY,2021-12-31,WORST,2022-02-07,640.158,0.0,640.158
15,USHY,2021-12-31,WORST,2022-02-09,571.235,0.0,571.235
16,USHY,2021-12-31,WORST,2022-02-10,484.824,0.0,484.824
17,USHY,2021-12-31,WORST,2022-02-14,397.214,0.0,397.214
18,USHY,2021-12-31,WORST,2022-02-15,107881.023,310305.275,418186.299
19,USHY,2021-12-31,WORST,2022-02-16,774.315,0.0,774.315
20,USHY,2021-12-31,WORST,2022-02-17,438.687,0.0,438.687
21,USHY,2021-12-31,WORST,2022-02-22,501.471,0.0,501.471
22,USHY,2021-12-31,WORST,2022-02-28,2262.858,0.0,2262.858
23,USHY,2021-12-31,WORST,2022-03-01,68811.428,233926.323,302737.751
24,USHY,2021-12-31,WORST,2022-03-04,319.089,0.0,319.089
25,USHY,2021-12-31,WORST,2022-03-08,230.486,0.0,230.486
26,USHY,2021-12-31,WORST,2022-03-09,678.449,0.0,678.449
27,USHY,2021-12-31,WORST,2022-03-10,60.806,0.0,60.806
28,USHY,2021-12-31,WORST,2022-03-14,966.737,19050.174,20016.911
29,USHY,2021-12-31,WORST,2022-03-15,88871.6,350931.52,439803.12
30,USHY,2021-12-31,WORST,2022-03-18,682.475,0.0,682.475
31,USHY,2021-12-31,WORST,2022-03-21,889.495,0.0,889.495
32,USHY,2021-12-31,WORST,2022-03-22,180.628,0.0,180.628
33,USHY,2021-12-31,WORST,2022-03-25,1279.99,0.0,1279.99
34,USHY,2021-12-31,WORST,2022-03-28,917.655,0.0,917.655
35,USHY,2021-12-31,WORST,2022-03-30,4770.609,51565.518,56336.127
36,USHY,2021-12-31,WORST,2022-03-31,4349.295,11071.594,15420.889
37,USHY,2021-12-31,WORST,2022-04-01,75830.788,241007.4,316838.187
38,USHY,2021-12-31,WORST,2022-04-04,2953.953,0.0,2953.953
39,USHY,2021-12-31,WORST,2022-04-06,208.961,0.0,208.961
40,USHY,2021-12-31,WORST,2022-04-07,366.717,0.0,366.717
41,USHY,2021-12-31,WORST,2022-04-08,109.971,28987.952,29097.923
42,USHY,2021-12-31,WORST,2022-04-11,626.158,0.0,626.158
43,USHY,2021-12-31,WORST,2022-04-14,464.128,0.0,464.128
44,USHY,2021-12-31,WORST,2022-04-15,98513.034,486693.155,585206.189
45,USHY,2021-12-31,WORST,2022-04-18,1420.931,0.0,1420.931
46,USHY,2021-12-31,WORST,2022-04-19,2810.062,0.0,2810.062
47,USHY,2021-12-31,WORST,2022-04-20,3111.518,0.0,3111.518
48,USHY,2021-12-31,WORST,2022-04-22,2080.818,0.0,2080.818
49,USHY,2021-12-31,WORST,2022-04-25,304.64,0.0,304.64
50,USHY,2021-12-31,WORST,2022-04-27,445.308,0.0,445.308
51,USHY,2021-12-31,WORST,2022-04-28,977.012,0.0,977.012
52,USHY,2021-12-31,WORST,2022-04-29,878.137,0.0,878.137
53,USHY,2021-12-31,WORST,2022-05-01,991.335,40023.301,41014.636
54,USHY,2021-12-31,WORST,2022-05-02,79399.528,454214.104,533613.632
55,USHY,2021-12-31,WORST,2022-05-03,2230.349,0.0,2230.349
56,USHY,2021-12-31,WORST,2022-05-04,250.062,0.0,250.062
57,USHY,2021-12-31,WORST,2022-05-06,410.6,0.0,410.6
58,USHY,2021-12-31,WORST,2022-05-13,1379.026,0.0,1379.026
59,USHY,2021-12-31,WORST,2022-05-15,484.413,36824.942,37309.355
60,USHY,2021-12-31,WORST,2022-05-16,87207.39,449070.596,536277.985
61,USHY,2021-12-31,WORST,2022-05-17,655.663,0.0,655.663
62,USHY,2021-12-31,WORST,2022-05-20,2116.537,0.0,2116.537
63,USHY,2021-12-31,WORST,2022-05-23,980.827,0.0,980.827
64,USHY,2021-12-31,WORST,2022-05-24,1010.456,8097.39,9107.846
65,USHY,2021-12-31,WORST,2022-05-31,3566.776,21343.177,24909.952
66,USHY,2021-12-31,WORST,2022-06-01,72708.824,274138.234,346847.057
67,USHY,2021-12-31,WORST,2022-06-06,3301.199,0.0,3301.199
68,USHY,2021-12-31,WORST,2022-06-07,289.683,13910.145,14199.828
69,USHY,2021-12-31,WORST,2022-06-08,1170.706,0.0,1170.706
70,USHY,2021-12-31,WORST,2022-06-09,266.82,0.0,266.82
71,USHY,2021-12-31,WORST,2022-06-13,1037.433,0.0,1037.433
72,USHY,2021-12-31,WORST,2022-06-14,363.206,0.0,363.206
73,USHY,2021-12-31,WORST,2022-06-15,66009.082,232948.098,298957.18
74,USHY,2021-12-31,WORST,2022-06-16,1013.482,0.0,1013.482
75,USHY,2021-12-31,WORST,2022-06-17,762.207,9003.707,9765.915
76,USHY,2021-12-31,WORST,2022-06-18,221.279,9756.013,9977.292
77,USHY,2021-12-31,WORST,2022-06-21,936.25,0.0,936.25
78,USHY,2021-12-31,WORST,2022-06-27,1758.038,0.0,1758.038
79,USHY,2021-12-31,WORST,2022-06-30,9783.05,38.23,9821.28
80,USHY,2021-12-31,WORST,2022-07-01,27094.507,162883.863,189978.37
81,USHY,2021-12-31,WORST,2022-07-07,585.759,0.0,585.759
82,USHY,2021-12-31,WORST,2022-07-08,835.859,0.0,835.859
83,USHY,2021-12-31,WORST,2022-07-11,934.372,0.0,934.372
84,USHY,2021-12-31,WORST,2022-07-14,589.331,0.0,589.331
85,USHY,2021-12-31,WORST,2022-07-15,120168.718,407144.096,527312.814
86,USHY,2021-12-31,WORST,2022-07-18,1949.847,0.0,1949.847
87,USHY,2021-12-31,WORST,2022-07-20,3111.518,0.0,3111.518
88,USHY,2021-12-31,WORST,2022-07-22,1434.375,0.0,1434.375
89,USHY,2021-12-31,WORST,2022-07-25,1111.295,0.0,1111.295
90,USHY,2021-12-31,WORST,2022-07-26,689.571,0.0,689.571
91,USHY,2021-12-31,WORST,2022-07-29,1710.361,0.0,1710.361
92,USHY,2021-12-31,WORST,2022-08-01,92739.037,331372.55,424111.588
93,USHY,2021-12-31,WORST,2022-08-04,588.204,0.0,588.204
94,USHY,2021-12-31,WORST,2022-08-08,640.158,0.0,640.158
95,USHY,2021-12-31,WORST,2022-08-09,571.235,0.0,571.235
96,USHY,2021-12-31,WORST,2022-08-10,484.824,0.0,484.824
97,USHY,2021-12-31,WORST,2022-08-12,1187.442,6950.88,8138.323
98,USHY,2021-12-31,WORST,2022-08-15,98731.033,298000.192,396731.225
99,USHY,2021-12-31,WORST,2022-08-16,774.315,0.0,774.315
100,USHY,2021-12-31,WORST,2022-08-17,438.687,0.0,438.687
101,USHY,2021-12-31,WORST,2022-08-22,501.471,0.0,501.471
102,USHY,2021-12-31,WORST,2022-08-23,413.577,0.0,413.577
103,USHY,2021-12-31,WORST,2022-08-29,976.641,0.0,976.641
104,USHY,2021-12-31,WORST,2022-08-30,513.496,0.0,513.496
105,USHY,2021-12-31,WORST,2022-08-31,735.924,0.0,735.924
106,USHY,2021-12-31,WORST,2022-09-01,62304.797,164322.991,226627.788
107,USHY,2021-12-31,WORST,2022-09-06,212.726,0.0,212.726
108,USHY,2021-12-31,WORST,2022-09-07,728.863,38112.141,38841.004
109,USHY,2021-12-31,WORST,2022-09-08,230.486,0.0,230.486
110,USHY,2021-12-31,WORST,2022-09-09,678.449,0.0,678.449
111,USHY,2021-12-31,WORST,2022-09-12,60.806,0.0,60.806
112,USHY,2021-12-31,WORST,2022-09-14,311.785,0.0,311.785
113,USHY,2021-12-31,WORST,2022-09-15,78052.2,135773.359,213825.559
114,USHY,2021-12-31,WORST,2022-09-19,1571.97,0.0,1571.97
115,USHY,2021-12-31,WORST,2022-09-22,180.628,0.0,180.628
116,USHY,2021-12-31,WORST,2022-09-26,1279.99,0.0,1279.99
117,USHY,2021-12-31,WORST,2022-09-27,304.588,0.0,304.588
118,USHY,2021-12-31,WORST,2022-09-28,613.068,0.0,613.068
119,USHY,2021-12-31,WORST,2022-09-30,7381.418,62994.534,70375.952
120,USHY,2021-12-31,WORST,2022-10-03,67760.906,139514.198,207275.105
121,USHY,2021-12-31,WORST,2022-10-04,1753.73,0.0,1753.73
122,USHY,2021-12-31,WORST,2022-10-06,208.961,0.0,208.961
123,USHY,2021-12-31,WORST,2022-10-07,366.717,0.0,366.717
124,USHY,2021-12-31,WORST,2022-10-11,692.771,0.0,692.771
125,USHY,2021-12-31,WORST,2022-10-14,464.128,0.0,464.128
126,USHY,2021-12-31,WORST,2022-10-15,681.942,32042.644,32724.586
127,USHY,2021-12-31,WORST,2022-10-17,85441.621,198987.881,284429.503
128,USHY,2021-12-31,WORST,2022-10-19,504.31,0.0,504.31
129,USHY,2021-12-31,WORST,2022-10-20,3111.518,0.0,3111.518
130,USHY,2021-12-31,WORST,2022-10-24,2080.818,0.0,2080.818
131,USHY,2021-12-31,WORST,2022-10-25,304.64,0.0,304.64
132,USHY,2021-12-31,WORST,2022-10-27,445.308,0.0,445.308
133,USHY,2021-12-31,WORST,2022-10-28,977.012,0.0,977.012
134,USHY,2021-12-31,WORST,2022-10-31,7476.591,23936.399,31412.99
135,USHY,2021-12-31,WORST,2022-11-01,59132.562,140475.608,199608.17
136,USHY,2021-12-31,WORST,2022-11-02,456.677,0.0,456.677
137,USHY,2021-12-31,WORST,2022-11-03,1335.371,0.0,1335.371
138,USHY,2021-12-31,WORST,2022-11-04,250.062,0.0,250.062
139,USHY,2021-12-31,WORST,2022-11-07,410.6,0.0,410.6
140,USHY,2021-12-31,WORST,2022-11-14,2183.415,0.0,2183.415
141,USHY,2021-12-31,WORST,2022-11-15,70843.969,150841.877,221685.846
142,USHY,2021-12-31,WORST,2022-11-17,290.463,0.0,290.463
143,USHY,2021-12-31,WORST,2022-11-21,2603.134,0.0,2603.134
144,USHY,2021-12-31,WORST,2022-11-23,494.231,0.0,494.231
145,USHY,2021-12-31,WORST,2022-11-25,786.041,0.0,786.041
146,USHY,2021-12-31,WORST,2022-11-28,382.461,0.0,382.461
147,USHY,2021-12-31,WORST,2022-11-30,2216.486,8052.769,10269.255
148,USHY,2021-12-31,WORST,2022-12-01,63665.696,158291.687,221957.383
149,USHY,2021-12-31,WORST,2022-12-05,3146.476,0.0,3146.476
150,USHY,2021-12-31,WORST,2022-12-06,154.724,0.0,154.724
151,USHY,2021-12-31,WORST,2022-12-08,1170.706,0.0,1170.706
152,USHY,2021-12-31,WORST,2022-12-09,266.82,0.0,266.82
153,USHY,2021-12-31,WORST,2022-12-12,1037.433,0.0,1037.433
154,USHY,2021-12-31,WORST,2022-12-14,363.206,0.0,363.206
155,USHY,2021-12-31,WORST,2022-12-15,59048.016,356786.886,415834.902
156,USHY,2021-12-31,WORST,2022-12-16,1013.482,0.0,1013.482
157,USHY,2021-12-31,WORST,2022-12-19,1276.409,0.0,1276.409
158,USHY,2021-12-31,WORST,2022-12-27,2011.768,17505.219,19516.987
159,USHY,2021-12-31,WORST,2022-12-30,6752.881,0.0,6752.881
160,USHY,2021-12-31,WORST,2022-12-31,0.0,11094.916,11094.916
161,USHY,2021-12-31,WORST,2023-01-01,264.301,15666.963,15931.264
162,USHY,2021-12-31,WORST,2023-01-03,24973.205,38.23,25011.435
163,USHY,2021-12-31,WORST,2023-01-09,2355.99,21621.872,23977.862
164,USHY,2021-12-31,WORST,2023-01-15,408.258,28211.307,28619.565
165,USHY,2021-12-31,WORST,2023-01-17,106074.752,234060.232,340134.984
166,USHY,2021-12-31,WORST,2023-01-18,924.523,0.0,924.523
167,USHY,2021-12-31,WORST,2023-01-20,3111.518,0.0,3111.518
168,USHY,2021-12-31,WORST,2023-01-23,1951.451,0.0,1951.451
169,USHY,2021-12-31,WORST,2023-01-25,594.219,21607.97,22202.19
170,USHY,2021-12-31,WORST,2023-01-26,689.571,0.0,689.571
171,USHY,2021-12-31,WORST,2023-01-30,6437.287,75126.749,81564.037
172,USHY,2021-12-31,WORST,2023-01-31,6004.124,0.0,6004.124
173,USHY,2021-12-31,WORST,2023-02-01,70774.464,237604.794,308379.258
174,USHY,2021-12-31,WORST,2023-02-05,8.623,14498.32,14506.943
175,USHY,2021-12-31,WORST,2023-02-06,960.018,0.0,960.018
176,USHY,2021-12-31,WORST,2023-02-07,268.343,0.0,268.343
177,USHY,2021-12-31,WORST,2023-02-09,571.235,0.0,571.235
178,USHY,2021-12-31,WORST,2023-02-10,484.824,0.0,484.824
179,USHY,2021-12-31,WORST,2023-02-13,794.428,0.0,794.428
180,USHY,2021-12-31,WORST,2023-02-15,87738.065,202166.695,289904.76
181,USHY,2021-12-31,WORST,2023-02-16,774.315,0.0,774.315
182,USHY,2021-12-31,WORST,2023-02-17,438.687,0.0,438.687
183,USHY,2021-12-31,WORST,2023-02-21,501.471,0.0,501.471
184,USHY,2021-12-31,WORST,2023-02-23,275.718,0.0,275.718
185,USHY,2021-12-31,WORST,2023-02-28,2326.774,9694.161,12020.935
186,USHY,2021-12-31,WORST,2023-03-01,57702.629,85578.632,143281.261
187,USHY,2021-12-31,WORST,2023-03-04,709.665,23053.612,23763.276
188,USHY,2021-12-31,WORST,2023-03-06,212.726,0.0,212.726
189,USHY,2021-12-31,WORST,2023-03-08,230.486,0.0,230.486
190,USHY,2021-12-31,WORST,2023-03-09,678.449,0.0,678.449
191,USHY,2021-12-31,WORST,2023-03-10,60.806,0.0,60.806
192,USHY,2021-12-31,WORST,2023-03-14,311.785,0.0,311.785
193,USHY,2021-12-31,WORST,2023-03-15,71171.25,215458.253,286629.503
194,USHY,2021-12-31,WORST,2023-03-19,173.007,10926.784,11099.791
195,USHY,2021-12-31,WORST,2023-03-20,1571.97,0.0,1571.97
196,USHY,2021-12-31,WORST,2023-03-22,180.628,0.0,180.628
197,USHY,2021-12-31,WORST,2023-03-27,1584.578,0.0,1584.578
198,USHY,2021-12-31,WORST,2023-03-28,613.068,17516.219,18129.286
199,USHY,2021-12-31,WORST,2023-03-30,2158.92,0.0,2158.92
200,USHY,2021-12-31,WORST,2023-03-31,3746.982,310.816,4057.798
201,USHY,2021-12-31,WORST,2023-04-01,551.329,37933.214,38484.543
202,USHY,2021-12-31,WORST,2023-04-03,62229.528,52980.717,115210.245
203,USHY,2021-12-31,WORST,2023-04-04,1753.73,0.0,1753.73
204,USHY,2021-12-31,WORST,2023-04-06,208.961,0.0,208.961
205,USHY,2021-12-31,WORST,2023-04-07,366.717,0.0,366.717
206,USHY,2021-12-31,WORST,2023-04-10,66.613,0.0,66.613
207,USHY,2021-12-31,WORST,2023-04-11,626.158,0.0,626.158
208,USHY,2021-12-31,WORST,2023-04-14,464.128,0.0,464.128
209,USHY,2021-12-31,WORST,2023-04-17,78745.675,64151.885,142897.56
210,USHY,2021-12-31,WORST,2023-04-19,296.701,0.0,296.701
211,USHY,2021-12-31,WORST,2023-04-20,3111.518,0.0,3111.518
212,USHY,2021-12-31,WORST,2023-04-24,2080.818,0.0,2080.818
213,USHY,2021-12-31,WORST,2023-04-25,304.64,0.0,304.64
214,USHY,2021-12-31,WORST,2023-04-27,445.308,0.0,445.308
215,USHY,2021-12-31,WORST,2023-04-28,977.012,0.0,977.012
216,USHY,2021-12-31,WORST,2023-05-01,60392.653,71022.851,131415.504
217,USHY,2021-12-31,WORST,2023-05-02,456.677,0.0,456.677
218,USHY,2021-12-31,WORST,2023-05-03,1335.371,0.0,1335.371
219,USHY,2021-12-31,WORST,2023-05-04,250.062,16153.846,16403.908
220,USHY,2021-12-31,WORST,2023-05-08,410.6,0.0,410.6
221,USHY,2021-12-31,WORST,2023-05-15,68824.574,179774.619,248599.192
222,USHY,2021-12-31,WORST,2023-05-16,365.199,0.0,365.199
223,USHY,2021-12-31,WORST,2023-05-17,290.463,0.0,290.463
224,USHY,2021-12-31,WORST,2023-05-18,9.441,17350.521,17359.962
225,USHY,2021-12-31,WORST,2023-05-22,2603.134,0.0,2603.134
226,USHY,2021-12-31,WORST,2023-05-23,494.231,0.0,494.231
227,USHY,2021-12-31,WORST,2023-05-24,786.041,36594.069,37380.109
228,USHY,2021-12-31,WORST,2023-05-30,1122.243,0.0,1122.243
229,USHY,2021-12-31,WORST,2023-05-31,1013.173,0.0,1013.173
230,USHY,2021-12-31,WORST,2023-06-01,59367.806,153635.58,213003.386
231,USHY,2021-12-31,WORST,2023-06-05,3146.476,0.0,3146.476
232,USHY,2021-12-31,WORST,2023-06-06,154.724,0.0,154.724
233,USHY,2021-12-31,WORST,2023-06-08,1170.706,0.0,1170.706
234,USHY,2021-12-31,WORST,2023-06-09,266.82,0.0,266.82
235,USHY,2021-12-31,WORST,2023-06-12,1037.433,0.0,1037.433
236,USHY,2021-12-31,WORST,2023-06-14,363.206,0.0,363.206
237,USHY,2021-12-31,WORST,2023-06-15,49691.943,225046.479,274738.422
238,USHY,2021-12-31,WORST,2023-06-16,1013.482,0.0,1013.482
239,USHY,2021-12-31,WORST,2023-06-19,1042.908,0.0,1042.908
240,USHY,2021-12-31,WORST,2023-06-20,233.501,11886.006,12119.506
241,USHY,2021-12-31,WORST,2023-06-26,1758.038,0.0,1758.038
242,USHY,2021-12-31,WORST,2023-06-30,9729.76,20232.797,29962.557
243,USHY,2021-12-31,WORST,2023-07-03,21955.006,121167.78,143122.785
244,USHY,2021-12-31,WORST,2023-07-07,585.759,0.0,585.759
245,USHY,2021-12-31,WORST,2023-07-10,1436.497,0.0,1436.497
246,USHY,2021-12-31,WORST,2023-07-14,589.331,0.0,589.331
247,USHY,2021-12-31,WORST,2023-07-17,97856.428,141423.036,239279.463
248,USHY,2021-12-31,WORST,2023-07-18,924.523,0.0,924.523
249,USHY,2021-12-31,WORST,2023-07-20,3111.518,74.799,3186.317
250,USHY,2021-12-31,WORST,2023-07-24,1822.878,0.0,1822.878
251,USHY,2021-12-31,WORST,2023-07-26,689.571,0.0,689.571
252,USHY,2021-12-31,WORST,2023-07-28,381.21,17354.032,17735.242
253,USHY,2021-12-31,WORST,2023-07-31,10499.498,13437.79,23937.287
254,USHY,2021-12-31,WORST,2023-08-01,64143.193,135145.005,199288.197
255,USHY,2021-12-31,WORST,2023-08-04,588.204,0.0,588.204
256,USHY,2021-12-31,WORST,2023-08-07,640.158,16997.22,17637.377
257,USHY,2021-12-31,WORST,2023-08-09,571.235,0.0,571.235
258,USHY,2021-12-31,WORST,2023-08-10,484.824,0.0,484.824
259,USHY,2021-12-31,WORST,2023-08-14,1054.248,10180.723,11234.971
