STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
FALN,2021-12-31,WORST,2022-01-06,12063.342,21058.873,33122.215
FALN,2021-12-31,WORST,2022-01-10,2649.350,0.000,2649.350
FALN,2021-12-31,WORST,2022-01-18,95812.749,4322.411,100135.159
FALN,2021-12-31,WORST,2022-01-20,570.798,0.000,570.798
FALN,2021-12-31,WORST,2022-01-24,3917.642,0.000,3917.642
FALN,2021-12-31,WORST,2022-01-25,4361.513,0.000,4361.513
FALN,2021-12-31,WORST,2022-01-26,1602.179,0.000,1602.179
FALN,2021-12-31,WORST,2022-01-27,1245.359,0.000,1245.359
FALN,2021-12-31,WORST,2022-01-31,920.851,0.000,920.851
FALN,2021-12-31,WORST,2022-02-01,56569.397,0.000,56569.397
FALN,2021-12-31,WORST,2022-02-04,872.788,0.000,872.788
FALN,2021-12-31,WORST,2022-02-07,668.810,0.000,668.810
FALN,2021-12-31,WORST,2022-02-09,1327.990,0.000,1327.990
FALN,2021-12-31,WORST,2022-02-15,40611.946,598.086,41210.033
FALN,2021-12-31,WORST,2022-02-16,1918.025,0.000,1918.025
FALN,2021-12-31,WORST,2022-02-28,46.895,66.398,113.293
FALN,2021-12-31,WORST,2022-03-01,24130.677,0.000,24130.677
FALN,2021-12-31,WORST,2022-03-08,402.667,0.000,402.667
FALN,2021-12-31,WORST,2022-03-10,365.921,0.000,365.921
FALN,2021-12-31,WORST,2022-03-11,625.897,0.000,625.897
FALN,2021-12-31,WORST,2022-03-15,90121.711,13861.699,103983.410
FALN,2021-12-31,WORST,2022-03-18,1243.041,0.000,1243.041
FALN,2021-12-31,WORST,2022-03-21,7632.738,0.000,7632.738
FALN,2021-12-31,WORST,2022-03-22,1644.812,0.000,1644.812
FALN,2021-12-31,WORST,2022-03-30,5558.074,0.000,5558.074
FALN,2021-12-31,WORST,2022-03-31,4063.031,0.000,4063.031
FALN,2021-12-31,WORST,2022-04-01,73172.940,3132.254,76305.193
FALN,2021-12-31,WORST,2022-04-04,21243.644,0.000,21243.644
FALN,2021-12-31,WORST,2022-04-06,1296.632,0.000,1296.632
FALN,2021-12-31,WORST,2022-04-14,3407.760,0.000,3407.760
FALN,2021-12-31,WORST,2022-04-15,24307.772,0.000,24307.772
FALN,2021-12-31,WORST,2022-04-18,4412.007,0.000,4412.007
FALN,2021-12-31,WORST,2022-04-19,3810.535,0.000,3810.535
FALN,2021-12-31,WORST,2022-04-20,570.798,0.000,570.798
FALN,2021-12-31,WORST,2022-04-28,4530.661,0.000,4530.661
FALN,2021-12-31,WORST,2022-04-29,4794.318,0.000,4794.318
FALN,2021-12-31,WORST,2022-05-01,2162.787,0.000,2162.787
FALN,2021-12-31,WORST,2022-05-02,19786.122,4115.450,23901.573
FALN,2021-12-31,WORST,2022-05-03,7175.103,0.000,7175.103
FALN,2021-12-31,WORST,2022-05-04,451.809,0.000,451.809
FALN,2021-12-31,WORST,2022-05-15,125.819,11363.636,11489.455
FALN,2021-12-31,WORST,2022-05-16,54065.332,2765.058,56830.391
FALN,2021-12-31,WORST,2022-05-24,5967.252,0.000,5967.252
FALN,2021-12-31,WORST,2022-06-01,64210.767,242593.668,306804.435
FALN,2021-12-31,WORST,2022-06-03,347.305,726.199,1073.503
FALN,2021-12-31,WORST,2022-06-06,9386.915,0.000,9386.915
FALN,2021-12-31,WORST,2022-06-08,2320.307,0.000,2320.307
FALN,2021-12-31,WORST,2022-06-09,448.517,0.000,448.517
FALN,2021-12-31,WORST,2022-06-15,46890.613,930.682,47821.295
FALN,2021-12-31,WORST,2022-06-21,5413.538,0.000,5413.538
FALN,2021-12-31,WORST,2022-06-27,9325.109,0.000,9325.109
FALN,2021-12-31,WORST,2022-06-30,7379.287,0.000,7379.287
FALN,2021-12-31,WORST,2022-07-01,10179.218,0.000,10179.218
FALN,2021-12-31,WORST,2022-07-05,75.385,2272.016,2347.402
FALN,2021-12-31,WORST,2022-07-08,893.156,0.000,893.156
FALN,2021-12-31,WORST,2022-07-11,1756.193,0.000,1756.193
FALN,2021-12-31,WORST,2022-07-15,73935.190,5815.829,79751.019
FALN,2021-12-31,WORST,2022-07-18,8751.030,0.000,8751.030
FALN,2021-12-31,WORST,2022-07-20,570.798,0.000,570.798
FALN,2021-12-31,WORST,2022-07-25,8279.155,0.000,8279.155
FALN,2021-12-31,WORST,2022-07-26,1602.179,0.000,1602.179
FALN,2021-12-31,WORST,2022-07-27,1245.359,0.000,1245.359
FALN,2021-12-31,WORST,2022-08-01,57973.255,38857.656,96830.910
FALN,2021-12-31,WORST,2022-08-04,872.788,0.000,872.788
FALN,2021-12-31,WORST,2022-08-08,668.810,0.000,668.810
FALN,2021-12-31,WORST,2022-08-09,1327.990,0.000,1327.990
FALN,2021-12-31,WORST,2022-08-15,40989.617,56345.694,97335.311
FALN,2021-12-31,WORST,2022-08-16,1918.025,0.000,1918.025
FALN,2021-12-31,WORST,2022-08-31,44.609,65.083,109.692
FALN,2021-12-31,WORST,2022-09-01,24386.284,20448.565,44834.849
FALN,2021-12-31,WORST,2022-09-08,402.667,0.000,402.667
FALN,2021-12-31,WORST,2022-09-12,991.818,0.000,991.818
FALN,2021-12-31,WORST,2022-09-15,89902.033,703.804,90605.836
FALN,2021-12-31,WORST,2022-09-19,8875.779,0.000,8875.779
FALN,2021-12-31,WORST,2022-09-22,1644.812,0.000,1644.812
FALN,2021-12-31,WORST,2022-09-30,9621.105,5292.077,14913.182
FALN,2021-12-31,WORST,2022-10-03,81238.810,3068.212,84307.021
FALN,2021-12-31,WORST,2022-10-04,12813.098,0.000,12813.098
FALN,2021-12-31,WORST,2022-10-06,1296.632,0.000,1296.632
FALN,2021-12-31,WORST,2022-10-14,3407.760,0.000,3407.760
FALN,2021-12-31,WORST,2022-10-17,28719.778,0.000,28719.778
FALN,2021-12-31,WORST,2022-10-19,3810.535,0.000,3810.535
FALN,2021-12-31,WORST,2022-10-20,570.798,0.000,570.798
FALN,2021-12-31,WORST,2022-10-28,4530.661,0.000,4530.661
FALN,2021-12-31,WORST,2022-10-31,4794.318,0.000,4794.318
FALN,2021-12-31,WORST,2022-11-01,24640.891,4109.387,28750.278
FALN,2021-12-31,WORST,2022-11-02,483.834,0.000,483.834
FALN,2021-12-31,WORST,2022-11-03,2958.397,0.000,2958.397
FALN,2021-12-31,WORST,2022-11-04,451.809,0.000,451.809
FALN,2021-12-31,WORST,2022-11-14,6431.785,0.000,6431.785
FALN,2021-12-31,WORST,2022-11-15,47384.625,168309.781,215694.406
FALN,2021-12-31,WORST,2022-11-25,5967.252,0.000,5967.252
FALN,2021-12-31,WORST,2022-12-01,55742.415,114168.660,169911.075
FALN,2021-12-31,WORST,2022-12-05,9717.426,682.202,10399.628
FALN,2021-12-31,WORST,2022-12-08,2320.307,0.000,2320.307
FALN,2021-12-31,WORST,2022-12-09,448.517,0.000,448.517
FALN,2021-12-31,WORST,2022-12-15,50463.925,502001.256,552465.181
FALN,2021-12-31,WORST,2022-12-19,5413.538,0.000,5413.538
FALN,2021-12-31,WORST,2022-12-27,9325.109,0.000,9325.109
