STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
FIBR,2021-12-31,WORST,2022-01-06,23957.065,-24932470.774,-24908513.709
FIBR,2021-12-31,WORST,2022-01-10,5230.435,0.000,5230.435
FIBR,2021-12-31,WORST,2022-01-11,3433.391,0.000,3433.391
FIBR,2021-12-31,WORST,2022-01-15,5406.667,140339.204,145745.871
FIBR,2021-12-31,WORST,2022-01-18,79740.697,0.000,79740.697
FIBR,2021-12-31,WORST,2022-01-19,1071.320,0.000,1071.320
FIBR,2021-12-31,WORST,2022-01-20,21018.907,223722.420,244741.321
FIBR,2021-12-31,WORST,2022-01-21,9894.935,0.000,9894.935
FIBR,2021-12-31,WORST,2022-01-24,6988.043,0.000,6988.043
FIBR,2021-12-31,WORST,2022-01-25,61686.091,436957.197,498643.292
FIBR,2021-12-31,WORST,2022-01-26,2008.696,0.000,2008.696
FIBR,2021-12-31,WORST,2022-01-27,4524.457,0.000,4524.457
FIBR,2021-12-31,WORST,2022-01-28,1663.043,0.000,1663.043
FIBR,2021-12-31,WORST,2022-01-30,6648.832,560396.617,567045.449
FIBR,2021-12-31,WORST,2022-01-31,8421.432,0.000,8421.432
FIBR,2021-12-31,WORST,2022-02-01,51748.707,0.000,51748.707
FIBR,2021-12-31,WORST,2022-02-02,743.478,0.000,743.478
FIBR,2021-12-31,WORST,2022-02-04,1050.261,0.000,1050.261
FIBR,2021-12-31,WORST,2022-02-07,1504.348,0.000,1504.348
FIBR,2021-12-31,WORST,2022-02-09,565.217,0.000,565.217
FIBR,2021-12-31,WORST,2022-02-10,7134.783,104347.826,111482.609
FIBR,2021-12-31,WORST,2022-02-14,6247.717,0.000,6247.717
FIBR,2021-12-31,WORST,2022-02-15,73121.539,99476.985,172598.527
FIBR,2021-12-31,WORST,2022-02-17,283.478,0.000,283.478
FIBR,2021-12-31,WORST,2022-02-20,36607.878,233051.845,269659.716
FIBR,2021-12-31,WORST,2022-02-22,508.696,0.000,508.696
FIBR,2021-12-31,WORST,2022-02-23,1980.000,0.000,1980.000
FIBR,2021-12-31,WORST,2022-02-24,1206.522,0.000,1206.522
FIBR,2021-12-31,WORST,2022-02-25,121995.469,621579.671,743575.111
FIBR,2021-12-31,WORST,2022-03-01,37175.198,224347.826,261523.024
FIBR,2021-12-31,WORST,2022-03-02,1050.000,0.000,1050.000
FIBR,2021-12-31,WORST,2022-03-03,440.217,0.000,440.217
FIBR,2021-12-31,WORST,2022-03-08,4125.983,0.000,4125.983
FIBR,2021-12-31,WORST,2022-03-09,4675.348,0.000,4675.348
FIBR,2021-12-31,WORST,2022-03-10,3369.565,0.000,3369.565
FIBR,2021-12-31,WORST,2022-03-11,1152.609,0.000,1152.609
FIBR,2021-12-31,WORST,2022-03-14,16102.174,91685.217,107787.391
FIBR,2021-12-31,WORST,2022-03-15,103064.733,621715.410,724780.147
FIBR,2021-12-31,WORST,2022-03-20,35952.163,220277.408,256229.578
FIBR,2021-12-31,WORST,2022-03-21,1321.739,0.000,1321.739
FIBR,2021-12-31,WORST,2022-03-22,1206.522,0.000,1206.522
FIBR,2021-12-31,WORST,2022-03-24,339.674,0.000,339.674
FIBR,2021-12-31,WORST,2022-03-25,122695.443,606341.906,729037.382
FIBR,2021-12-31,WORST,2022-03-28,2973.913,0.000,2973.913
FIBR,2021-12-31,WORST,2022-03-29,1636.000,0.000,1636.000
