STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
GNMA,2021-12-31,WORST,2022-01-06,0.000,168586.658,168586.658
GNMA,2021-12-31,WORST,2022-01-15,3006.331,19962.923,22969.254
GNMA,2021-12-31,WORST,2022-01-20,91069.456,780370.366,871439.774
GNMA,2021-12-31,WORST,2022-02-15,3120.293,16072.418,19192.711
GNMA,2021-12-31,WORST,2022-02-20,108560.724,713695.861,822256.603
GNMA,2021-12-31,WORST,2022-03-15,3072.642,15686.753,18759.395
GNMA,2021-12-31,WORST,2022-03-20,106614.184,666095.228,772709.409
GNMA,2021-12-31,WORST,2022-04-15,3026.074,18008.343,21034.416
GNMA,2021-12-31,WORST,2022-04-20,104810.505,785994.631,890805.102
GNMA,2021-12-31,WORST,2022-05-15,2972.507,17139.236,20111.745
GNMA,2021-12-31,WORST,2022-05-20,102722.190,792630.030,895352.173
GNMA,2021-12-31,WORST,2022-06-15,2921.540,18007.112,20928.653
GNMA,2021-12-31,WORST,2022-06-20,100658.816,868675.742,969334.561
GNMA,2021-12-31,WORST,2022-07-15,2867.961,18844.344,21712.305
GNMA,2021-12-31,WORST,2022-07-20,98425.931,889428.425,987854.381
GNMA,2021-12-31,WORST,2022-08-15,2811.851,16829.765,19641.619
GNMA,2021-12-31,WORST,2022-08-20,96155.438,802751.659,898907.050
GNMA,2021-12-31,WORST,2022-09-15,2761.710,18256.701,21018.410
GNMA,2021-12-31,WORST,2022-09-20,94122.862,861478.066,955600.959
GNMA,2021-12-31,WORST,2022-10-15,2707.342,15958.408,18665.752
GNMA,2021-12-31,WORST,2022-10-20,91952.312,746279.202,838231.521
GNMA,2021-12-31,WORST,2022-11-15,2659.683,14843.057,17502.739
GNMA,2021-12-31,WORST,2022-11-20,90073.393,687364.472,777437.896
GNMA,2021-12-31,WORST,2022-12-15,2615.391,14499.738,17115.130
GNMA,2021-12-31,WORST,2022-12-20,88349.759,672534.304,760884.069
GNMA,2021-12-31,WORST,2023-01-15,2572.181,15113.638,17685.817
GNMA,2021-12-31,WORST,2023-01-20,86672.469,695530.730,782203.232
GNMA,2021-12-31,WORST,2023-02-15,2527.122,12915.873,15442.994
GNMA,2021-12-31,WORST,2023-02-20,84942.045,594781.917,679723.836
