STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
GOVZ,2021-12-31,WORST,2022-01-06,0.000,10357.688,10357.688
GOVZ,2021-12-31,WORST,2046-05-15,0.000,317287.749,317287.749
GOVZ,2021-12-31,WORST,2046-11-15,0.000,339487.179,339487.179
GOVZ,2021-12-31,WORST,2047-02-15,0.000,176695.157,176695.157
GOVZ,2021-12-31,WORST,2047-08-15,0.000,3214871.795,3214871.795
GOVZ,2021-12-31,WORST,2047-11-15,0.000,4696980.057,4696980.057
GOVZ,2021-12-31,WORST,2048-02-18,0.000,5698.006,5698.006
GOVZ,2021-12-31,WORST,2048-05-15,0.000,5698.006,5698.006
GOVZ,2021-12-31,WORST,2048-08-17,0.000,5698.006,5698.006
GOVZ,2021-12-31,WORST,2048-11-16,0.000,4374415.954,4374415.954
GOVZ,2021-12-31,WORST,2049-02-16,0.000,4441595.442,4441595.442
GOVZ,2021-12-31,WORST,2049-05-17,0.000,378005.698,378005.698
GOVZ,2021-12-31,WORST,2049-08-16,0.000,4722393.162,4722393.162
GOVZ,2021-12-31,WORST,2049-11-15,0.000,1521538.462,1521538.462
GOVZ,2021-12-31,WORST,2050-02-15,0.000,1376182.336,1376182.336
GOVZ,2021-12-31,WORST,2050-05-16,0.000,5698.006,5698.006
GOVZ,2021-12-31,WORST,2050-08-15,0.000,1523646.724,1523646.724
GOVZ,2021-12-31,WORST,2050-11-15,0.000,7142877.493,7142877.493
GOVZ,2021-12-31,WORST,2051-02-15,0.000,3290940.171,3290940.171
GOVZ,2021-12-31,MATURITY,2022-01-06,0.000,10357.688,10357.688
GOVZ,2021-12-31,MATURITY,2046-05-15,0.000,317287.749,317287.749
GOVZ,2021-12-31,MATURITY,2046-11-15,0.000,339487.179,339487.179
GOVZ,2021-12-31,MATURITY,2047-02-15,0.000,176695.157,176695.157
GOVZ,2021-12-31,MATURITY,2047-08-15,0.000,3214871.795,3214871.795
GOVZ,2021-12-31,MATURITY,2047-11-15,0.000,4696980.057,4696980.057
GOVZ,2021-12-31,MATURITY,2048-02-18,0.000,5698.006,5698.006
GOVZ,2021-12-31,MATURITY,2048-05-15,0.000,5698.006,5698.006
GOVZ,2021-12-31,MATURITY,2048-08-17,0.000,5698.006,5698.006
GOVZ,2021-12-31,MATURITY,2048-11-16,0.000,4374415.954,4374415.954
GOVZ,2021-12-31,MATURITY,2049-02-16,0.000,4441595.442,4441595.442
GOVZ,2021-12-31,MATURITY,2049-05-17,0.000,378005.698,378005.698
GOVZ,2021-12-31,MATURITY,2049-08-16,0.000,4722393.162,4722393.162
GOVZ,2021-12-31,MATURITY,2049-11-15,0.000,1521538.462,1521538.462
GOVZ,2021-12-31,MATURITY,2050-02-15,0.000,1376182.336,1376182.336
GOVZ,2021-12-31,MATURITY,2050-05-16,0.000,5698.006,5698.006
GOVZ,2021-12-31,MATURITY,2050-08-15,0.000,1523646.724,1523646.724
GOVZ,2021-12-31,MATURITY,2050-11-15,0.000,7142877.493,7142877.493
GOVZ,2021-12-31,MATURITY,2051-02-15,0.000,3290940.171,3290940.171
