STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
HYBB,2021-12-31,WORST,2022-01-06,30277.047,331298.737,361575.784
HYBB,2021-12-31,WORST,2022-01-07,764.803,0.000,764.803
HYBB,2021-12-31,WORST,2022-01-10,2359.298,67598.684,69957.982
HYBB,2021-12-31,WORST,2022-01-14,1471.974,0.000,1471.974
HYBB,2021-12-31,WORST,2022-01-15,259.320,40534.737,40794.057
HYBB,2021-12-31,WORST,2022-01-18,140535.913,136914.558,277450.471
HYBB,2021-12-31,WORST,2022-01-20,6362.632,0.000,6362.632
HYBB,2021-12-31,WORST,2022-01-24,4805.921,0.000,4805.921
HYBB,2021-12-31,WORST,2022-01-25,1809.211,0.000,1809.211
HYBB,2021-12-31,WORST,2022-01-26,1447.368,0.000,1447.368
HYBB,2021-12-31,WORST,2022-01-27,631.579,0.000,631.579
HYBB,2021-12-31,WORST,2022-01-30,4209.574,399516.042,403725.617
HYBB,2021-12-31,WORST,2022-01-31,18134.525,0.000,18134.525
HYBB,2021-12-31,WORST,2022-02-01,86528.373,107220.526,193748.899
HYBB,2021-12-31,WORST,2022-02-07,1174.013,0.000,1174.013
HYBB,2021-12-31,WORST,2022-02-09,1026.316,0.000,1026.316
HYBB,2021-12-31,WORST,2022-02-14,513.158,0.000,513.158
HYBB,2021-12-31,WORST,2022-02-15,122064.948,265096.700,387161.648
HYBB,2021-12-31,WORST,2022-02-16,1731.908,0.000,1731.908
HYBB,2021-12-31,WORST,2022-02-17,814.145,0.000,814.145
HYBB,2021-12-31,WORST,2022-02-22,1159.539,0.000,1159.539
HYBB,2021-12-31,WORST,2022-02-28,3191.842,0.000,3191.842
HYBB,2021-12-31,WORST,2022-03-01,82316.950,80863.421,163180.371
HYBB,2021-12-31,WORST,2022-03-04,641.447,0.000,641.447
HYBB,2021-12-31,WORST,2022-03-08,1928.421,0.000,1928.421
HYBB,2021-12-31,WORST,2022-03-09,1738.487,0.000,1738.487
HYBB,2021-12-31,WORST,2022-03-10,198.947,0.000,198.947
HYBB,2021-12-31,WORST,2022-03-14,2332.237,44394.947,46727.184
HYBB,2021-12-31,WORST,2022-03-15,118273.163,186862.289,305135.452
HYBB,2021-12-31,WORST,2022-03-21,2138.158,0.000,2138.158
HYBB,2021-12-31,WORST,2022-03-22,322.368,0.000,322.368
HYBB,2021-12-31,WORST,2022-03-24,674.342,0.000,674.342
HYBB,2021-12-31,WORST,2022-03-25,4678.618,0.000,4678.618
HYBB,2021-12-31,WORST,2022-03-28,2026.316,0.000,2026.316
HYBB,2021-12-31,WORST,2022-03-30,4917.434,0.000,4917.434
HYBB,2021-12-31,WORST,2022-03-31,6062.418,131.579,6193.997
HYBB,2021-12-31,WORST,2022-04-01,69331.941,104032.921,173364.862
HYBB,2021-12-31,WORST,2022-04-04,7208.947,0.000,7208.947
HYBB,2021-12-31,WORST,2022-04-06,2434.211,0.000,2434.211
HYBB,2021-12-31,WORST,2022-04-07,855.263,0.000,855.263
HYBB,2021-12-31,WORST,2022-04-08,151.316,0.000,151.316
HYBB,2021-12-31,WORST,2022-04-11,1700.658,0.000,1700.658
HYBB,2021-12-31,WORST,2022-04-14,953.947,0.000,953.947
HYBB,2021-12-31,WORST,2022-04-15,76009.777,427604.395,503614.172
HYBB,2021-12-31,WORST,2022-04-18,2598.684,0.000,2598.684
HYBB,2021-12-31,WORST,2022-04-19,4957.237,0.000,4957.237
HYBB,2021-12-31,WORST,2022-04-20,6362.632,0.000,6362.632
HYBB,2021-12-31,WORST,2022-04-25,1159.539,0.000,1159.539
HYBB,2021-12-31,WORST,2022-04-28,2342.105,0.000,2342.105
HYBB,2021-12-31,WORST,2022-04-29,2280.921,0.000,2280.921
HYBB,2021-12-31,WORST,2022-05-01,935.307,53103.053,54038.359
HYBB,2021-12-31,WORST,2022-05-02,57631.442,404059.579,461691.021
HYBB,2021-12-31,WORST,2022-05-03,1769.868,0.000,1769.868
HYBB,2021-12-31,WORST,2022-05-04,203.684,0.000,203.684
HYBB,2021-12-31,WORST,2022-05-13,3350.329,0.000,3350.329
HYBB,2021-12-31,WORST,2022-05-15,904.605,67598.684,68503.289
HYBB,2021-12-31,WORST,2022-05-16,93193.949,463474.663,556668.612
HYBB,2021-12-31,WORST,2022-05-20,5141.447,0.000,5141.447
HYBB,2021-12-31,WORST,2022-05-23,2039.803,0.000,2039.803
HYBB,2021-12-31,WORST,2022-05-24,2034.947,0.000,2034.947
HYBB,2021-12-31,WORST,2022-05-31,2442.171,0.000,2442.171
HYBB,2021-12-31,WORST,2022-06-01,76433.818,390984.605,467418.423
HYBB,2021-12-31,WORST,2022-06-06,7258.053,0.000,7258.053
HYBB,2021-12-31,WORST,2022-06-08,1807.553,0.000,1807.553
HYBB,2021-12-31,WORST,2022-06-13,690.789,0.000,690.789
HYBB,2021-12-31,WORST,2022-06-15,83396.071,194211.079,277607.150
HYBB,2021-12-31,WORST,2022-06-16,1011.513,0.000,1011.513
HYBB,2021-12-31,WORST,2022-06-17,238.487,0.000,238.487
HYBB,2021-12-31,WORST,2022-06-18,613.292,27039.474,27652.765
HYBB,2021-12-31,WORST,2022-06-21,2444.934,0.000,2444.934
HYBB,2021-12-31,WORST,2022-06-27,4782.934,0.000,4782.934
HYBB,2021-12-31,WORST,2022-06-30,10369.312,131.579,10500.891
HYBB,2021-12-31,WORST,2022-07-01,30827.303,81529.737,112357.039
HYBB,2021-12-31,WORST,2022-07-07,764.803,0.000,764.803
HYBB,2021-12-31,WORST,2022-07-08,1062.697,0.000,1062.697
HYBB,2021-12-31,WORST,2022-07-14,1471.974,0.000,1471.974
HYBB,2021-12-31,WORST,2022-07-15,124140.932,269790.974,393931.906
HYBB,2021-12-31,WORST,2022-07-18,4525.000,0.000,4525.000
HYBB,2021-12-31,WORST,2022-07-20,6362.632,0.000,6362.632
HYBB,2021-12-31,WORST,2022-07-22,3108.553,0.000,3108.553
HYBB,2021-12-31,WORST,2022-07-25,3506.579,0.000,3506.579
HYBB,2021-12-31,WORST,2022-07-26,1447.368,0.000,1447.368
HYBB,2021-12-31,WORST,2022-07-27,631.579,0.000,631.579
HYBB,2021-12-31,WORST,2022-07-29,4423.816,0.000,4423.816
HYBB,2021-12-31,WORST,2022-08-01,104371.226,352664.737,457035.963
HYBB,2021-12-31,WORST,2022-08-08,1174.013,0.000,1174.013
HYBB,2021-12-31,WORST,2022-08-09,1026.316,0.000,1026.316
HYBB,2021-12-31,WORST,2022-08-12,1026.316,0.000,1026.316
HYBB,2021-12-31,WORST,2022-08-15,115099.998,195659.763,310759.761
HYBB,2021-12-31,WORST,2022-08-16,1731.908,0.000,1731.908
HYBB,2021-12-31,WORST,2022-08-17,814.145,0.000,814.145
HYBB,2021-12-31,WORST,2022-08-22,1159.539,0.000,1159.539
HYBB,2021-12-31,WORST,2022-08-23,1006.579,0.000,1006.579
HYBB,2021-12-31,WORST,2022-08-29,2205.000,0.000,2205.000
HYBB,2021-12-31,WORST,2022-08-30,986.842,0.000,986.842
HYBB,2021-12-31,WORST,2022-09-01,77638.158,73203.947,150842.105
HYBB,2021-12-31,WORST,2022-09-06,427.632,0.000,427.632
HYBB,2021-12-31,WORST,2022-09-07,1650.717,86315.789,87966.507
HYBB,2021-12-31,WORST,2022-09-08,1928.421,0.000,1928.421
HYBB,2021-12-31,WORST,2022-09-09,1738.487,0.000,1738.487
HYBB,2021-12-31,WORST,2022-09-12,198.947,0.000,198.947
HYBB,2021-12-31,WORST,2022-09-14,805.921,0.000,805.921
