STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
HYDB,2021-12-31,WORST,2022-01-06,69865.754,906562.962,976428.715
HYDB,2021-12-31,WORST,2022-01-10,4103.652,213945.205,218048.858
HYDB,2021-12-31,WORST,2022-01-15,1286.890,201155.945,202442.836
HYDB,2021-12-31,WORST,2022-01-18,151151.380,0.000,151151.380
HYDB,2021-12-31,WORST,2022-01-26,4143.836,0.000,4143.836
HYDB,2021-12-31,WORST,2022-01-30,14147.565,920674.521,934822.086
HYDB,2021-12-31,WORST,2022-01-31,22462.329,0.000,22462.329
HYDB,2021-12-31,WORST,2022-02-01,118293.572,375770.548,494064.120
HYDB,2021-12-31,WORST,2022-02-15,103904.887,259154.507,363059.394
HYDB,2021-12-31,WORST,2022-02-22,925.514,0.000,925.514
HYDB,2021-12-31,WORST,2022-02-28,988.870,0.000,988.870
HYDB,2021-12-31,WORST,2022-03-01,90545.311,370631.849,461177.160
HYDB,2021-12-31,WORST,2022-03-15,183161.695,767296.671,950458.366
HYDB,2021-12-31,WORST,2022-03-18,1506.849,0.000,1506.849
HYDB,2021-12-31,WORST,2022-03-28,12313.356,0.000,12313.356
HYDB,2021-12-31,WORST,2022-03-29,2979.452,0.000,2979.452
HYDB,2021-12-31,WORST,2022-03-30,6518.836,0.000,6518.836
HYDB,2021-12-31,WORST,2022-03-31,2938.356,0.000,2938.356
HYDB,2021-12-31,WORST,2022-04-01,133105.736,901390.164,1034495.901
HYDB,2021-12-31,WORST,2022-04-08,117.200,78356.164,78473.364
HYDB,2021-12-31,WORST,2022-04-14,4897.260,0.000,4897.260
HYDB,2021-12-31,WORST,2022-04-15,103356.470,1011732.877,1115089.346
HYDB,2021-12-31,WORST,2022-04-18,5695.034,0.000,5695.034
HYDB,2021-12-31,WORST,2022-04-19,3789.212,0.000,3789.212
HYDB,2021-12-31,WORST,2022-04-22,9648.116,0.000,9648.116
HYDB,2021-12-31,WORST,2022-05-02,95501.428,766964.871,862466.299
HYDB,2021-12-31,WORST,2022-05-03,4380.993,0.000,4380.993
HYDB,2021-12-31,WORST,2022-05-16,101868.674,998327.671,1100196.345
HYDB,2021-12-31,WORST,2022-05-20,10128.596,0.000,10128.596
HYDB,2021-12-31,WORST,2022-05-31,13715.753,0.000,13715.753
HYDB,2021-12-31,WORST,2022-06-01,96101.043,667034.123,763135.167
HYDB,2021-12-31,WORST,2022-06-07,4458.118,214071.847,218529.965
HYDB,2021-12-31,WORST,2022-06-08,5617.158,0.000,5617.158
HYDB,2021-12-31,WORST,2022-06-13,9373.288,0.000,9373.288
HYDB,2021-12-31,WORST,2022-06-15,89193.493,686607.260,775800.753
HYDB,2021-12-31,WORST,2022-06-27,3436.301,0.000,3436.301
HYDB,2021-12-31,WORST,2022-07-01,69153.425,560351.027,629504.452
