STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
HYG,2021-12-31,WORST,2022-01-06,66433.467,324651.605,391085.072
HYG,2021-12-31,WORST,2022-01-10,7534.386,72785.022,80319.408
HYG,2021-12-31,WORST,2022-01-14,1828.584,0.000,1828.584
HYG,2021-12-31,WORST,2022-01-15,463.780,31149.379,31613.159
HYG,2021-12-31,WORST,2022-01-18,262997.496,145592.360,408589.856
HYG,2021-12-31,WORST,2022-01-20,7992.501,0.000,7992.501
HYG,2021-12-31,WORST,2022-01-21,3388.270,0.000,3388.270
HYG,2021-12-31,WORST,2022-01-24,6451.410,0.000,6451.410
HYG,2021-12-31,WORST,2022-01-25,1581.718,0.000,1581.718
HYG,2021-12-31,WORST,2022-01-30,19651.862,1465735.781,1485387.643
HYG,2021-12-31,WORST,2022-01-31,37997.054,0.000,37997.054
HYG,2021-12-31,WORST,2022-02-01,156782.378,450442.280,607224.658
HYG,2021-12-31,WORST,2022-02-04,1879.588,0.000,1879.588
HYG,2021-12-31,WORST,2022-02-07,1263.792,0.000,1263.792
HYG,2021-12-31,WORST,2022-02-10,1376.113,0.000,1376.113
HYG,2021-12-31,WORST,2022-02-14,571.321,0.000,571.321
HYG,2021-12-31,WORST,2022-02-15,232701.558,749656.882,982358.440
HYG,2021-12-31,WORST,2022-02-16,1551.849,0.000,1551.849
HYG,2021-12-31,WORST,2022-02-17,1719.961,0.000,1719.961
HYG,2021-12-31,WORST,2022-02-22,1363.344,0.000,1363.344
HYG,2021-12-31,WORST,2022-02-28,6767.268,0.000,6767.268
HYG,2021-12-31,WORST,2022-03-01,135939.752,532799.129,668738.881
HYG,2021-12-31,WORST,2022-03-04,885.973,0.000,885.973
HYG,2021-12-31,WORST,2022-03-08,697.216,0.000,697.216
HYG,2021-12-31,WORST,2022-03-09,2183.102,0.000,2183.102
HYG,2021-12-31,WORST,2022-03-14,1880.587,54699.393,56579.980
HYG,2021-12-31,WORST,2022-03-15,180052.015,825154.125,1005206.141
HYG,2021-12-31,WORST,2022-03-18,2723.682,0.000,2723.682
HYG,2021-12-31,WORST,2022-03-21,3140.181,0.000,3140.181
HYG,2021-12-31,WORST,2022-03-25,2450.698,0.000,2450.698
HYG,2021-12-31,WORST,2022-03-28,1292.211,0.000,1292.211
HYG,2021-12-31,WORST,2022-03-30,13209.319,155678.760,168888.078
HYG,2021-12-31,WORST,2022-03-31,7731.768,0.000,7731.768
HYG,2021-12-31,WORST,2022-04-01,157737.257,615942.919,773680.176
HYG,2021-12-31,WORST,2022-04-04,8300.099,0.000,8300.099
HYG,2021-12-31,WORST,2022-04-06,960.142,0.000,960.142
HYG,2021-12-31,WORST,2022-04-08,109.550,73241.490,73351.039
HYG,2021-12-31,WORST,2022-04-11,1677.681,0.000,1677.681
HYG,2021-12-31,WORST,2022-04-14,1191.662,0.000,1191.662
HYG,2021-12-31,WORST,2022-04-15,190358.731,1125848.453,1316207.184
HYG,2021-12-31,WORST,2022-04-18,3982.264,0.000,3982.264
HYG,2021-12-31,WORST,2022-04-19,8031.979,0.000,8031.979
HYG,2021-12-31,WORST,2022-04-20,7992.501,0.000,7992.501
HYG,2021-12-31,WORST,2022-04-22,5812.810,0.000,5812.810
HYG,2021-12-31,WORST,2022-04-25,1002.420,0.000,1002.420
HYG,2021-12-31,WORST,2022-04-26,831.232,0.000,831.232
HYG,2021-12-31,WORST,2022-04-28,2953.301,0.000,2953.301
HYG,2021-12-31,WORST,2022-04-29,2176.972,0.000,2176.972
HYG,2021-12-31,WORST,2022-05-01,1479.423,116179.871,117659.295
HYG,2021-12-31,WORST,2022-05-02,134865.427,992588.876,1127454.302
HYG,2021-12-31,WORST,2022-05-03,4564.327,0.000,4564.327
HYG,2021-12-31,WORST,2022-05-04,773.566,0.000,773.566
HYG,2021-12-31,WORST,2022-05-09,3555.379,0.000,3555.379
HYG,2021-12-31,WORST,2022-05-13,4652.153,0.000,4652.153
HYG,2021-12-31,WORST,2022-05-15,1240.584,94122.337,95362.921
HYG,2021-12-31,WORST,2022-05-16,166720.222,1066411.800,1233132.022
HYG,2021-12-31,WORST,2022-05-17,999.123,0.000,999.123
HYG,2021-12-31,WORST,2022-05-20,5939.765,0.000,5939.765
HYG,2021-12-31,WORST,2022-05-23,1166.252,0.000,1166.252
HYG,2021-12-31,WORST,2022-05-24,2601.084,0.000,2601.084
HYG,2021-12-31,WORST,2022-05-31,7561.156,51078.734,58639.891
HYG,2021-12-31,WORST,2022-06-01,144207.322,454376.100,598583.422
HYG,2021-12-31,WORST,2022-06-06,4966.800,0.000,4966.800
HYG,2021-12-31,WORST,2022-06-07,811.499,38966.910,39778.409
HYG,2021-12-31,WORST,2022-06-08,2186.228,0.000,2186.228
HYG,2021-12-31,WORST,2022-06-09,809.010,0.000,809.010
HYG,2021-12-31,WORST,2022-06-13,823.488,0.000,823.488
HYG,2021-12-31,WORST,2022-06-15,131960.945,486238.762,618199.707
HYG,2021-12-31,WORST,2022-06-16,3062.480,0.000,3062.480
HYG,2021-12-31,WORST,2022-06-17,1228.972,0.000,1228.972
HYG,2021-12-31,WORST,2022-06-18,788.845,34779.455,35568.300
HYG,2021-12-31,WORST,2022-06-21,3426.704,0.000,3426.704
HYG,2021-12-31,WORST,2022-06-27,4757.824,0.000,4757.824
HYG,2021-12-31,WORST,2022-06-30,21639.124,0.000,21639.124
HYG,2021-12-31,WORST,2022-07-01,61083.119,439575.517,500658.636
HYG,2021-12-31,WORST,2022-07-08,3087.242,0.000,3087.242
HYG,2021-12-31,WORST,2022-07-11,3051.066,0.000,3051.066
