STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
HYMU,2021-12-31,WORST,2022-01-06,69107.919,1242513.050,1311620.969
HYMU,2021-12-31,WORST,2022-01-15,1069.444,857924.000,858993.444
HYMU,2021-12-31,WORST,2022-01-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-01-30,0.000,100400.850,100400.850
HYMU,2021-12-31,WORST,2022-02-01,9404.165,0.000,9404.165
HYMU,2021-12-31,WORST,2022-02-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2022-02-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-03-01,29687.500,0.000,29687.500
HYMU,2021-12-31,WORST,2022-03-15,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2022-03-21,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-04-01,35334.722,0.000,35334.722
HYMU,2021-12-31,WORST,2022-04-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-05-02,68174.250,572356.828,640531.078
HYMU,2021-12-31,WORST,2022-05-16,24145.139,0.000,24145.139
HYMU,2021-12-31,WORST,2022-05-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-06-01,121567.361,0.000,121567.361
HYMU,2021-12-31,WORST,2022-06-15,44202.084,0.000,44202.084
HYMU,2021-12-31,WORST,2022-06-21,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-07-01,70712.083,0.000,70712.083
HYMU,2021-12-31,WORST,2022-07-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-08-01,10572.917,0.000,10572.917
HYMU,2021-12-31,WORST,2022-08-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2022-08-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-09-01,30010.417,0.000,30010.417
HYMU,2021-12-31,WORST,2022-09-15,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2022-09-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-10-03,35635.417,0.000,35635.417
HYMU,2021-12-31,WORST,2022-10-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-10-31,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2022-11-01,45428.885,0.000,45428.885
HYMU,2021-12-31,WORST,2022-11-15,24756.250,205000.000,229756.250
HYMU,2021-12-31,WORST,2022-11-21,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2022-12-01,146916.667,1497.797,148414.464
HYMU,2021-12-31,WORST,2022-12-15,44875.000,0.000,44875.000
HYMU,2021-12-31,WORST,2022-12-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-01-03,66282.917,0.000,66282.917
HYMU,2021-12-31,WORST,2023-01-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-02-01,10572.917,0.000,10572.917
HYMU,2021-12-31,WORST,2023-02-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2023-02-21,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-03-01,30010.417,0.000,30010.417
HYMU,2021-12-31,WORST,2023-03-15,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2023-03-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-04-03,35635.417,0.000,35635.417
HYMU,2021-12-31,WORST,2023-04-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-05-01,55428.885,48458.150,103887.035
HYMU,2021-12-31,WORST,2023-05-15,20656.250,250000.000,270656.250
HYMU,2021-12-31,WORST,2023-05-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-06-01,122507.967,0.000,122507.967
HYMU,2021-12-31,WORST,2023-06-15,44875.000,0.000,44875.000
HYMU,2021-12-31,WORST,2023-06-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-07-03,66282.917,0.000,66282.917
HYMU,2021-12-31,WORST,2023-07-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-08-01,10572.917,0.000,10572.917
HYMU,2021-12-31,WORST,2023-08-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2023-08-21,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-09-01,30010.417,0.000,30010.417
HYMU,2021-12-31,WORST,2023-09-15,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2023-09-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-10-02,35635.417,0.000,35635.417
HYMU,2021-12-31,WORST,2023-10-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-10-31,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2023-11-01,44847.387,0.000,44847.387
HYMU,2021-12-31,WORST,2023-11-15,18000.000,0.000,18000.000
HYMU,2021-12-31,WORST,2023-11-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2023-12-01,146882.967,1563.877,148446.843
HYMU,2021-12-31,WORST,2023-12-15,44875.000,0.000,44875.000
HYMU,2021-12-31,WORST,2023-12-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-01-02,66282.917,0.000,66282.917
HYMU,2021-12-31,WORST,2024-01-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-02-01,10572.917,0.000,10572.917
HYMU,2021-12-31,WORST,2024-02-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2024-02-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-03-01,30010.417,0.000,30010.417
HYMU,2021-12-31,WORST,2024-03-15,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2024-03-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-04-01,35635.417,0.000,35635.417
HYMU,2021-12-31,WORST,2024-04-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-04-30,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2024-05-01,44847.387,49559.473,94406.859
HYMU,2021-12-31,WORST,2024-05-15,18000.000,0.000,18000.000
HYMU,2021-12-31,WORST,2024-05-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-06-03,122472.779,0.000,122472.779
HYMU,2021-12-31,WORST,2024-06-17,44875.000,0.000,44875.000
HYMU,2021-12-31,WORST,2024-06-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-07-01,66282.917,0.000,66282.917
HYMU,2021-12-31,WORST,2024-07-22,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-08-01,10572.917,0.000,10572.917
HYMU,2021-12-31,WORST,2024-08-15,22975.000,0.000,22975.000
HYMU,2021-12-31,WORST,2024-08-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-09-03,30010.417,0.000,30010.417
HYMU,2021-12-31,WORST,2024-09-16,10000.000,0.000,10000.000
HYMU,2021-12-31,WORST,2024-09-20,1442.684,0.000,1442.684
HYMU,2021-12-31,WORST,2024-10-01,35635.417,0.000,35635.417
