ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|ADVANCED TECHNOLOGY ACADEMY PU|ADVEDU|US00766SAE28|00766SAE2|United States|200000|227|227|USD|BR_HYMU|12/23/2019|
12/30/2021|ANGELINA & NECHES RIV AUTH TEX|ANGDEV|US03469KAB98|03469KAB9|United States|100000|101|101|USD|BR_HYMU|6/11/2021|
12/30/2021|ARKANSAS ST DEV FIN AUTH INDL|ARSDEV|US04108WCC47|04108WCC4|United States|250000|280|280|USD|BR_HYMU|5/31/2019|
12/30/2021|ARLINGTON TEX HIGHER ED FIN CO|ARLEDU|US041806F965|041806F96|United States|250000|264|264|USD|BR_HYMU|3/31/2021|
12/30/2021|ARLINGTON TEX HIGHER ED FIN CO|ARLEDU|US041806L732|041806L73|United States|255000|280|280|USD|BR_HYMU|6/1/2021|
12/30/2021|ATLANTA GA URBAN REDEV AGY REV|AGURA|US047851BQ26|047851BQ2|United States|100000|103|103|USD|BR_HYMU|12/9/2021|
12/30/2021|BERKS CNTY PA MUN AUTH UNIV RE|BERHGR|US08454AAB70|08454AAB7|United States|390000|437|437|USD|BR_HYMU|2/27/2020|
12/30/2021|BREVARD CNTY FLA HEALTH FACS A 144A|BREMED|US107416PA10|107416PA1|United States|205000|210|210|USD|BR_HYMU|7/1/2021|
12/30/2021|BREVARD CNTY FLA HEALTH FACS A 144A|BREMED|US107416PL74|107416PL7|United States|150000|168|168|USD|BR_HYMU|7/1/2021|
12/30/2021|BUCKEYE OHIO TOB SETTLEMENT FI|BUCGEN|US118217CZ97|118217CZ9|United States|150000|175|175|USD|BR_HYMU|3/4/2020|
12/30/2021|CMFA SPL FIN AGY I CALIF ESSEN|CMFHSG|US12574TAB35|12574TAB3|United States|250000|270|270|USD|BR_HYMU|3/30/2021|
12/30/2021|CMFA SPL FIN AGY VIII CALIF ES|CMFHSG|US12574VAA08|12574VAA0|United States|350000|314|314|USD|BR_HYMU|8/31/2021|
12/30/2021|CSCDA CMNTY IMPT AUTH CALIF ES|CDAHSG|US126292AM38|126292AM3|United States|250000|264|264|USD|BR_HYMU|4/21/2021|
12/30/2021|CSCDA CMNTY IMPT AUTH CALIF ES|CDAHSG|US126292BX83|126292BX8|United States|100000|90|90|USD|BR_HYMU|12/9/2021|
12/30/2021|CALIFORNIA CMNTY HSG AGY ESSEN|CCHFA|US13013FAM68|13013FAM6|United States|250000|256|256|USD|BR_HYMU|3/31/2021|
12/30/2021|CALIFORNIA HSG FIN AGY MUN CTF|CASHSG|US13033DAE58|13033DAE5|United States|494634|571|571|USD|BR_HYMU|3/1/2021|
12/30/2021|CALIFORNIA PUB FIN AUTH SR LIV|CASMED|US13057GAG47|13057GAG4|United States|250000|253|253|USD|BR_HYMU|6/9/2021|
12/30/2021|CALIFORNIA SCH FIN AUTH CHARTE|CASSCD|US13058TKR04|13058TKR0|United States|500000|555|555|USD|BR_HYMU|4/29/2021|
12/30/2021|CAPITAL TR AGY FLA REV|CPTGEN|US14052WDN48|14052WDN4|United States|250000|302|302|USD|BR_HYMU|4/27/2021|
12/30/2021|CAPITAL TR AGY FLA EDL FACS RE|CPTEDU|US14054CDV81|14054CDV8|United States|230000|232|232|USD|BR_HYMU|6/25/2021|
12/30/2021|CAPITAL TR AGY FLA EDL FACS RE|CPTEDU|US14054CEH88|14054CEH8|United States|100000|104|104|USD|BR_HYMU|9/2/2021|
12/30/2021|CFM CMNTY DEV DIST FLA REV|CFMDEV|US15721RAF38|15721RAF3|United States|250000|251|251|USD|BR_HYMU|5/27/2021|
12/30/2021|CLEAR CREEK TRANSIT MET DIST #2 CO|TRSFAC|US184542AC29|184542AC2|United States|500000|545|545|USD|BR_HYMU|4/27/2021|
12/30/2021|CLEVELAND-CUYAHOGA CNTY OHIO P|CLETRN|US18611HAA32|18611HAA3|United States|100000|110|110|USD|BR_HYMU|9/16/2021|
12/30/2021|COLORADO HEALTH FACS AUTH REV|COSMED|US19648FTJ39|19648FTJ3|United States|100000|104|104|USD|BR_HYMU|12/29/2021|
12/30/2021|EAST CENT VT TELECOMMUNICATION||US271524AY61|271524AY6|United States|100000|101|101|USD|BR_HYMU|12/14/2021|
12/30/2021|ESCAMBIA CNTY FLA HEALTH FACS|ESCMED|US296110GD59|296110GD5|United States|500000|569|569|USD|BR_HYMU|2/12/2020|
12/30/2021|FLORIDA DEV FIN CORP EDL FACS|FLSDEV|US34061UGX00|34061UGX0|United States|500000|524|524|USD|BR_HYMU|3/22/2021|
12/30/2021|FLORIDA DEV FIN CORP EDL FACS|FLSDEV|US34061UHT88|34061UHT8|United States|100000|109|109|USD|BR_HYMU|8/25/2021|
12/30/2021|FLORIDA DEV FIN CORP SR LIVING|FLSHSG|US34061WAY03|34061WAY0|United States|100000|115|115|USD|BR_HYMU|6/2/2021|
12/30/2021|FLORIDA DEV FIN CORP SOLID WAS|FLSDEV|US34061XAB82|34061XAB8|United States|500000|534|534|USD|BR_HYMU|5/23/2019|
12/30/2021|FOREST LAKE MINN CHARTER SCH L|FLVEDU|US345856AY46|345856AY4|United States|260000|295|295|USD|BR_HYMU|5/20/2021|
12/30/2021|GOLDEN ST TOB SECURITIZATION C|GLDGEN|US38122NYR78|38122NYR7|United States|50000|55|55|USD|BR_HYMU|4/7/2015|
12/30/2021|GOLDEN ST TOB SECURITIZATION C|GLDGEN|US38122NZC90|38122NZC9|United States|500000|615|615|USD|BR_HYMU|4/13/2017|
12/30/2021|GUAM GOVT HOTEL OCCUPANCY TAX|GMSGEN|US40065KAV52|40065KAV5|United States|250000|312|312|USD|BR_HYMU|3/31/2021|
12/30/2021|GUAM GOVT BUSINESS PRIVILEGE T|GMSGEN|US40065NCQ88|40065NCQ8|United States|250000|290|290|USD|BR_HYMU|10/7/2021|
12/30/2021|HARDEEVILLE S C ASSMT REV|HRDGEN|US411716AF07|411716AF0|United States|250000|253|253|USD|BR_HYMU|6/10/2021|
12/30/2021|ILLINOIS FIN AUTH REV|ILSGEN|US45204FHU21|45204FHU2|United States|500000|571|571|USD|BR_HYMU|4/22/2021|
12/30/2021|ILLINOIS ST|ILS|US452153AV19|452153AV1|United States|750000|882|882|USD|BR_HYMU|3/24/2021|
12/30/2021|LAKES OF SARASOTA CMNTY DEV DI|LSADEV|US51206YAD22|51206YAD2|United States|265000|275|275|USD|BR_HYMU|4/16/2021|
12/30/2021|LAKES OF SARASOTA CMNTY DEV DI|LSADEV|US51206YAJ91|51206YAJ9|United States|220000|231|231|USD|BR_HYMU|4/16/2021|
12/30/2021|LORETTO HEIGHTS CMNTY AUTH COL|LOHDEV|US544084AA46|544084AA4|United States|500000|512|512|USD|BR_HYMU|6/23/2021|
12/30/2021|FINANCE AUTHORITY OF MAINE|FAMEN|US56042BBU08|56042BBU0|United States|100000|100|100|USD|BR_HYMU|12/23/2021|
12/30/2021|MASSACHUSETTS ST DEV FIN AGY R|MASDEV|US57584YN214|57584YN21|United States|250000|291|291|USD|BR_HYMU|6/9/2021|
12/30/2021|MEMPHIS-SHELBY CNTY TENN ARPT|MEMAPT|US586111PN00|586111PN0|United States|500000|647|647|USD|BR_HYMU|4/6/2021|
12/30/2021|MET GOVT NASHVILLE & DAVIDSON|METHGR|US592041YQ41|592041YQ4|United States|250000|306|306|USD|BR_HYMU|4/3/2019|
12/30/2021|METROPOLITAN PIER & EXPOSITION|MPNFAC|US592250EX83|592250EX8|United States|75000|85|85|USD|BR_HYMU|3/17/2022|
12/30/2021|MICHIGAN ST STRATEGIC FD LTD O|MISGEN|US594698SR40|594698SR4|United States|100000|113|113|USD|BR_HYMU|9/29/2021|
12/30/2021|NEW HOPE HIGHER ED FIN CORP TE 144A|NHEEDU|US645438AA02|645438AA0|United States|250000|253|253|USD|BR_HYMU|7/7/2021|
12/30/2021|NEW JERSEY ST HIGHER ED ASSIST|NJSHGR|US646080VX66|646080VX6|United States|300000|305|305|USD|BR_HYMU|5/26/2021|
12/30/2021|NEW YORK ST DORM AUTH ST PERS|NYSHGR|US64990FA384|64990FA38|United States|500000|594|594|USD|BR_HYMU|3/25/2021|
12/30/2021|NEW YORK TRANSN DEV CORP EXEMP|NYTTRN|US650110AE94|650110AE9|United States|500000|575|575|USD|BR_HYMU|3/30/2021|
12/30/2021|NEW YORK TRANSN DEV CORP SPL F|NYTTRN|US650116EP75|650116EP7|United States|500000|639|639|USD|BR_HYMU|12/15/2020|
12/30/2021|NEXUS NORTH AT DIA MET DIST CO|NNDDEV|US65344KAB98|65344KAB9|United States|565000|610|610|USD|BR_HYMU|4/1/2021|
12/30/2021|OKLAHOMA DEV FIN AUTH REV|OKSDEV|US6789083W28|6789083W2|United States|250000|304|304|USD|BR_HYMU|2/24/2021|
12/30/2021|PLAZA AT NOAHS ARK CMNTY IMPT|NOADEV|US72813LAM19|72813LAM1|United States|250000|256|256|USD|BR_HYMU|6/9/2021|
12/30/2021|PORT BEAUMONT TEX NAV DIST DOC|PTBTRN|US73360CAL81|73360CAL8|United States|100000|101|101|USD|BR_HYMU|8/18/2021|
12/30/2021|PORT GTR CINCINNATI DEV AUTH O|PGCDAO|US734195BQ24|734195BQ2|United States|240000|251|251|USD|BR_HYMU|3/31/2021|
12/30/2021|PORT GTR CINCINNATI DEV AUTH O|PRTDEV|US734195BR07|734195BR0|United States|260000|265|265|USD|BR_HYMU|3/31/2021|
12/30/2021|PUBLIC FIN AUTH WIS CHARTER SC|PUBEDU|US744396GZ99|744396GZ9|United States|25000|26|26|USD|BR_HYMU|11/18/2021|
12/30/2021|PUBLIC FIN AUTH WIS ED REV|PUBEDU|US74442EFW57|74442EFW5|United States|500000|516|516|USD|BR_HYMU|3/30/2021|
12/30/2021|PUBLIC FIN AUTH WIS MENTAL HEA|PUBDEV|US74443XAC11|74443XAC1|United States|65000|60|60|USD|BR_HYMU|8/13/2021|
12/30/2021|PUEBLO COLO URBAN RENEWAL AUTH|PCURA|US744826AW80|744826AW8|United States|600000|679|679|USD|BR_HYMU|3/30/2021|
12/30/2021|PUERTO RICO COMWLTH AQUEDUCT &|PRCUTL|US745160SJ13|745160SJ1|United States|250000|305|305|USD|BR_HYMU|12/17/2020|
12/30/2021|PUERTO RICO SALES TAX FING COR|PRCGEN|US74529JRL16|74529JRL1|United States|500000|582|582|USD|BR_HYMU|8/1/2019|
12/30/2021|SAWYERS LANDING CMNTY DEV DIST|SLADEV|US805517AA71|805517AA7|United States|205000|212|212|USD|BR_HYMU|8/12/2021|
12/30/2021|TEMPE ARIZ INDL DEV AUTH REV|TEMDEV|US87972MBU53|87972MBU5|United States|100000|108|108|USD|BR_HYMU|10/5/2021|
