STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
HYXF,2021-12-31,WORST,2022-01-06,27550.627,222089.246,249639.873
HYXF,2021-12-31,WORST,2022-01-07,1037.946,0.000,1037.946
HYXF,2021-12-31,WORST,2022-01-18,166077.421,162565.179,328642.600
HYXF,2021-12-31,WORST,2022-01-20,2510.045,0.000,2510.045
HYXF,2021-12-31,WORST,2022-01-26,1534.598,0.000,1534.598
HYXF,2021-12-31,WORST,2022-01-30,4477.524,528432.379,532909.902
HYXF,2021-12-31,WORST,2022-01-31,7091.295,0.000,7091.295
HYXF,2021-12-31,WORST,2022-02-01,71890.669,34352.679,106243.347
HYXF,2021-12-31,WORST,2022-02-15,137199.790,450176.214,587376.004
HYXF,2021-12-31,WORST,2022-02-16,1654.018,0.000,1654.018
HYXF,2021-12-31,WORST,2022-02-28,6506.464,0.000,6506.464
HYXF,2021-12-31,WORST,2022-03-01,84284.954,347564.732,431849.686
HYXF,2021-12-31,WORST,2022-03-04,1001.116,0.000,1001.116
HYXF,2021-12-31,WORST,2022-03-09,2265.625,0.000,2265.625
HYXF,2021-12-31,WORST,2022-03-15,116763.908,525310.161,642074.069
HYXF,2021-12-31,WORST,2022-03-21,3627.232,0.000,3627.232
HYXF,2021-12-31,WORST,2022-03-28,1375.000,0.000,1375.000
HYXF,2021-12-31,WORST,2022-03-30,8696.429,193375.000,202071.429
HYXF,2021-12-31,WORST,2022-03-31,2681.920,0.000,2681.920
HYXF,2021-12-31,WORST,2022-04-01,78588.274,378247.929,456836.202
HYXF,2021-12-31,WORST,2022-04-04,6125.000,0.000,6125.000
HYXF,2021-12-31,WORST,2022-04-07,2321.429,0.000,2321.429
HYXF,2021-12-31,WORST,2022-04-08,161.112,107714.286,107875.397
HYXF,2021-12-31,WORST,2022-04-11,2488.839,0.000,2488.839
HYXF,2021-12-31,WORST,2022-04-15,98398.555,890740.518,989139.073
HYXF,2021-12-31,WORST,2022-04-18,2168.973,0.000,2168.973
HYXF,2021-12-31,WORST,2022-04-19,4860.491,0.000,4860.491
HYXF,2021-12-31,WORST,2022-04-20,2510.045,0.000,2510.045
HYXF,2021-12-31,WORST,2022-04-22,4112.723,0.000,4112.723
HYXF,2021-12-31,WORST,2022-04-26,2589.286,0.000,2589.286
HYXF,2021-12-31,WORST,2022-04-29,1125.000,0.000,1125.000
HYXF,2021-12-31,WORST,2022-05-01,882.254,57121.652,58003.906
HYXF,2021-12-31,WORST,2022-05-02,78023.183,494565.152,572588.335
HYXF,2021-12-31,WORST,2022-05-03,3440.848,0.000,3440.848
HYXF,2021-12-31,WORST,2022-05-13,785.714,0.000,785.714
HYXF,2021-12-31,WORST,2022-05-15,1080.357,80732.143,81812.500
HYXF,2021-12-31,WORST,2022-05-16,91715.364,530533.839,622249.203
HYXF,2021-12-31,WORST,2022-05-20,2977.679,0.000,2977.679
HYXF,2021-12-31,WORST,2022-05-23,1088.170,0.000,1088.170
HYXF,2021-12-31,WORST,2022-05-25,1958.705,0.000,1958.705
HYXF,2021-12-31,WORST,2022-05-31,3077.634,0.000,3077.634
HYXF,2021-12-31,WORST,2022-06-01,99772.446,604791.714,704564.161
HYXF,2021-12-31,WORST,2022-06-06,9765.812,0.000,9765.812
HYXF,2021-12-31,WORST,2022-06-13,859.375,0.000,859.375
HYXF,2021-12-31,WORST,2022-06-15,101124.423,476377.286,577501.709
HYXF,2021-12-31,WORST,2022-06-16,1767.857,0.000,1767.857
HYXF,2021-12-31,WORST,2022-06-17,1674.107,35714.286,37388.393
HYXF,2021-12-31,WORST,2022-06-18,790.708,34861.607,35652.315
HYXF,2021-12-31,WORST,2022-06-21,1368.134,0.000,1368.134
