ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|SOUTHERN PACIFIC RESOURCE CORP 144A|STPCN|CA84359YAD81||Canada|50000|0|0|CAD|ISHHYXU|1/25/2013|
12/30/2021|FORD CREDIT CANADA CO|F|CA34527ACA66||United States|75000|60|77|CAD|ISHHYXU|5/8/2018|
12/30/2021|FORD CREDIT CANADA CO|F|CA34527ACH10||United States|100000|80|102|CAD|ISHHYXU|11/30/2020|
12/30/2021|FORD CREDIT CANADA CO|F|CA34527ACG37|34527ACG3|United States|100000|82|104|CAD|ISHHYXU|11/5/2019|
12/30/2021|VIDEOTRON LTD|QBRCN|CA92660FAF14||Canada|50000|42|54|CAD|ISHHYXU|6/17/2013|
12/30/2021|BROOKFIELD PROPERTY FINANCE ULC MTN|BPYUCN|CA11286ZAE49||Canada|100000|80|102|CAD|ISHHYXU|8/24/2020|
12/30/2021|VIDEOTRON LTD              RegS|QBRCN|CA92660FAJ36||Canada|50000|41|52|CAD|ISHHYXU|9/15/2015|
12/30/2021|PARKLAND CORP              144A|PKICN|CA70137WAK41||Canada|100000|77|99|CAD|ISHHYXU|6/16/2021|
12/30/2021|FORD CREDIT CANADA CO|F|CA34527ACJ75||United States|100000|77|99|CAD|ISHHYXU|9/16/2021|
12/30/2021|MATTAMY GROUP CORP         RegS|MATHOM|CA57701RAL65||Canada|50000|40|51|CAD|ISHHYXU|3/5/2020|
12/30/2021|VIDEOTRON LTD              144A|QBRCN|CA92660FAP95||Canada|150000|115|147|CAD|ISHHYXU|6/17/2021|
12/30/2021|PARKLAND CORP|PKICN|CA70137WAF55||Canada|100000|78|100|CAD|ISHHYXU|3/25/2021|
12/30/2021|AIR CANADA 144A|ACACN|CA008911BJ76||Canada|325000|257|329|CAD|ISHHYXU|8/11/2021|
12/30/2021|RITCHIE BROS HOLDINGS LTD  144A|RBACN|CA76774RAB02||Canada|25000|20|25|CAD|ISHHYXU|12/21/2021|
12/30/2021|VIDEOTRON LTD|QBRCN|CA92660FAL81|92660FAL8|Canada|150000|120|154|CAD|ISHHYXU|10/8/2019|
12/30/2021|VIDEOTRON LTD|QBRCN|CA92660FAM64||Canada|50000|36|46|CAD|ISHHYXU|1/22/2021|
12/30/2021|CAD CASH|CAD|||Canada|492549|385|493|CAD|ISHHYXU|1/1/1989|
12/30/2021|TELECOM ITALIA SPA MTN RegS|TITIM|XS0486101024||Italy|100000|119|105|EUR|ISHHYXU|2/10/2010|
12/30/2021|UNICREDIT SPA MTN RegS|UCGIM|XS0849517650||Italy|100000|121|107|EUR|ISHHYXU|10/31/2012|
12/30/2021|VALEO SA MTN RegS|FRFP|FR0013230943||France|100000|115|101|EUR|ISHHYXU|1/11/2017|
12/30/2021|TELECOM ITALIA SPA MTN RegS|TITIM|XS1169832810||Italy|150000|180|159|EUR|ISHHYXU|1/16/2015|
12/30/2021|CROWN EUROPEAN HOLDINGS SA RegS|CCK|XS1758716085||United States|100000|116|102|EUR|ISHHYXU|1/26/2018|
12/30/2021|CROWN EUROPEAN HOLDINGS SA RegS|CCK|XS2071622216||United States|100000|114|100|EUR|ISHHYXU|10/31/2019|
12/30/2021|FORD MOTOR CREDIT COMPANY LLC|F|XS2013574202||United States|100000|116|102|EUR|ISHHYXU|6/17/2019|
12/30/2021|THYSSENKRUPP AG MTN RegS|TKAGR|DE000A2YN6V1||Germany|150000|175|154|EUR|ISHHYXU|9/6/2019|
