STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBCE,2021-12-31,WORST,2022-01-06,3045.000,1477761.944,1480806.944
IBCE,2021-12-31,WORST,2022-01-10,5462.371,52000.000,57462.371
IBCE,2021-12-31,WORST,2022-01-11,810.000,0.000,810.000
IBCE,2021-12-31,WORST,2022-01-13,1406.400,0.000,1406.400
IBCE,2021-12-31,WORST,2022-01-18,12755.780,0.000,12755.780
IBCE,2021-12-31,WORST,2022-01-20,1162.000,0.000,1162.000
IBCE,2021-12-31,WORST,2022-01-25,2816.800,0.000,2816.800
IBCE,2021-12-31,WORST,2022-01-30,1397.597,143200.000,144597.597
IBCE,2021-12-31,WORST,2022-01-31,6108.000,0.000,6108.000
IBCE,2021-12-31,WORST,2022-02-01,9032.934,56000.000,65032.934
IBCE,2021-12-31,WORST,2022-02-02,800.000,0.000,800.000
IBCE,2021-12-31,WORST,2022-02-03,726.000,0.000,726.000
IBCE,2021-12-31,WORST,2022-02-07,190.000,0.000,190.000
IBCE,2021-12-31,WORST,2022-02-08,2580.000,0.000,2580.000
IBCE,2021-12-31,WORST,2022-02-09,342.000,0.000,342.000
IBCE,2021-12-31,WORST,2022-02-10,1978.000,72000.000,73978.000
IBCE,2021-12-31,WORST,2022-02-11,3027.200,0.000,3027.200
IBCE,2021-12-31,WORST,2022-02-14,727.972,0.000,727.972
IBCE,2021-12-31,WORST,2022-02-15,16332.152,212000.000,228332.152
IBCE,2021-12-31,WORST,2022-02-16,867.312,0.000,867.312
IBCE,2021-12-31,WORST,2022-02-17,3182.500,0.000,3182.500
IBCE,2021-12-31,WORST,2022-02-22,10263.000,0.000,10263.000
IBCE,2021-12-31,WORST,2022-02-23,3021.000,0.000,3021.000
IBCE,2021-12-31,WORST,2022-02-28,1508.000,0.000,1508.000
IBCE,2021-12-31,WORST,2022-03-01,18440.075,156000.000,174440.075
IBCE,2021-12-31,WORST,2022-03-07,7484.500,0.000,7484.500
IBCE,2021-12-31,WORST,2022-03-08,4010.400,262400.000,266410.400
IBCE,2021-12-31,WORST,2022-03-10,410.100,0.000,410.100
IBCE,2021-12-31,WORST,2022-03-11,156.400,0.000,156.400
IBCE,2021-12-31,WORST,2022-03-14,176.400,0.000,176.400
IBCE,2021-12-31,WORST,2022-03-15,34932.866,284000.000,318932.866
IBCE,2021-12-31,WORST,2022-03-16,1400.000,0.000,1400.000
IBCE,2021-12-31,WORST,2022-03-18,2576.000,0.000,2576.000
IBCE,2021-12-31,WORST,2022-03-21,3285.200,0.000,3285.200
IBCE,2021-12-31,WORST,2022-03-22,2500.000,0.000,2500.000
IBCE,2021-12-31,WORST,2022-03-23,46.200,0.000,46.200
IBCE,2021-12-31,WORST,2022-03-25,1400.000,140000.000,141400.000
IBCE,2021-12-31,WORST,2022-03-28,378.400,0.000,378.400
IBCE,2021-12-31,WORST,2022-03-31,278.400,0.000,278.400
IBCE,2021-12-31,WORST,2022-04-01,9513.600,145600.000,155113.600
IBCE,2021-12-31,WORST,2022-04-02,1462.500,156000.000,157462.500
IBCE,2021-12-31,WORST,2022-04-05,2383.334,260000.000,262383.334
IBCE,2021-12-31,WORST,2022-04-11,2167.500,224000.000,226167.500
IBCE,2021-12-31,WORST,2022-04-12,374.400,0.000,374.400
IBCE,2021-12-31,WORST,2022-04-15,9119.498,234400.000,243519.498
IBCE,2021-12-31,WORST,2022-04-16,156.667,16000.000,16156.667
IBCE,2021-12-31,WORST,2022-04-17,2200.000,220000.000,222200.000
IBCE,2021-12-31,WORST,2022-04-21,168.000,0.000,168.000
IBCE,2021-12-31,WORST,2022-04-25,713.400,69600.000,70313.400
IBCE,2021-12-31,WORST,2022-04-30,480.000,48000.000,48480.000
IBCE,2021-12-31,WORST,2022-05-01,3422.000,328800.000,332222.000
IBCE,2021-12-31,WORST,2022-05-02,2665.200,62400.000,65065.200
IBCE,2021-12-31,WORST,2022-05-03,1939.800,0.000,1939.800
IBCE,2021-12-31,WORST,2022-05-06,6055.200,0.000,6055.200
IBCE,2021-12-31,WORST,2022-05-09,9818.300,501600.000,511418.300
IBCE,2021-12-31,WORST,2022-05-10,795.000,60000.000,60795.000
IBCE,2021-12-31,WORST,2022-05-11,2415.000,168000.000,170415.000
IBCE,2021-12-31,WORST,2022-05-12,300.833,30400.000,30700.833
IBCE,2021-12-31,WORST,2022-05-13,2754.000,204000.000,206754.000
IBCE,2021-12-31,WORST,2022-05-15,2208.551,264800.000,267008.551
