iShares® iBonds® Mar 2023 Term Corporate ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jul 09, 2013"
Shares Outstanding,"2,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","3,473,999.99","5.19","3,473,999.99","3,474,000.00","066922477","US0669224778","6922477","1.00","United States","-","USD","0.07","0.07","1.00","-","0.10","0.10","-","0.07","0.10","0.07","USD","-","Feb 04, 2009"
"ISHRBD MAR 2023 TRM CRP XFIN ETF","ETFs","Fixed Income","3,163,080.00","4.73","3,163,080.00","129,000.00","46432FAN7","US46432FAN78","BBHX569","24.52","United States","NYSE Arca","USD","0.65","0.83","1.00","-","0.00","0.73","-","0.58","0.65","0.58","USD","-","Apr 17, 2013"
"BANK OF AMERICA CORP MTN","Financial Institutions","Fixed Income","703,845.00","1.05","703,845.00","675,000.00","06051GEU9","US06051GEU94","B799RR2","102.72","United States","-","USD","1.00","0.65","1.00","Jan 11, 2023","3.30","1.00","-","0.65","1.00","0.65","USD","Jan 11, 2013","Jan 11, 2013"
"MORGAN STANLEY","Financial Institutions","Fixed Income","497,655.12","0.74","497,655.12","475,000.00","61746BDJ2","US61746BDJ26","B98DXJ3","103.46","United States","-","USD","1.13","0.73","1.00","Feb 25, 2023","3.75","1.12","-","0.73","1.12","0.73","USD","Feb 25, 2013","Feb 25, 2013"
"ABBVIE INC","Industrial","Fixed Income","485,920.51","0.73","485,920.51","475,000.00","00287YAL3","US00287YAL39","BD035B5","101.86","United States","-","USD","0.84","0.70","1.00","Nov 06, 2022","2.90","0.84","-","0.70","0.84","0.70","USD","May 06, 2013","Aug 05, 2013"
"CHARTER COMMUNICATIONS OPERATING L","Industrial","Fixed Income","470,721.16","0.70","470,721.16","455,000.00","161175BB9","US161175BB96","BDFF420","101.50","United States","-","USD","0.38","1.77","1.00","Jul 23, 2022","4.46","0.55","-","0.66","0.38","0.66","USD","Jul 23, 2016","Dec 01, 2016"
"MORGAN STANLEY","Financial Institutions","Fixed Income","469,506.91","0.70","469,506.91","464,000.00","61744YAH1","US61744YAH18","BZ08VN8","100.87","United States","-","USD","0.38","0.49","1.00","May 19, 2022","2.75","0.38","-","0.49","0.38","0.49","USD","May 19, 2017","May 19, 2017"
"MORGAN STANLEY","Financial Institutions","Fixed Income","465,142.84","0.70","465,142.84","448,000.00","61744YAN8","US61744YAN85","BZ1CRQ4","102.46","United States","-","USD","1.04","0.80","1.00","Jan 23, 2023","3.13","1.03","-","0.80","1.03","0.80","USD","Jan 23, 2018","Jan 23, 2018"
"ABBVIE INC","Industrial","Fixed Income","423,995.41","0.63","423,995.41","417,000.00","00287YBM0","US00287YBM03","BK76XL2","101.42","United States","-","USD","0.88","0.69","1.00","Nov 21, 2022","2.30","0.88","-","0.69","0.88","0.69","USD","May 21, 2020","Nov 19, 2020"
"AMERICAN EXPRESS CO","Financial Institutions","Fixed Income","418,301.13","0.63","418,301.13","410,000.00","025816BM0","US025816BM04","BD9MLW6","100.98","United States","-","USD","0.49","0.81","1.00","Aug 01, 2022","2.50","0.57","-","0.53","0.49","0.53","USD","Aug 01, 2017","Aug 01, 2017"
