ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|AMERICAN CAMPUS COMMUNITIES OPERAT|ACC|US024836AA65|024836AA6|United States|1665000|1725|1725|USD|ISHIBDO|4/2/2013|
12/30/2021|ASSURANT INC|AIZ|US04621XAH17||United States|1019000|1082|1082|USD|ISHIBDO|3/27/2018|
12/30/2021|AIR LEASE CORPORATION|AL|US00914AAD46||United States|2284000|2336|2336|USD|ISHIBDO|9/16/2019|
12/30/2021|AIR LEASE CORPORATION|AL|US00912XAX21||United States|1247000|1283|1283|USD|ISHIBDO|11/20/2017|
12/30/2021|AIR LEASE CORPORATION|AL|US00912XBC74|00912XBC7|United States|2191000|2271|2271|USD|ISHIBDO|6/18/2018|
12/30/2021|AIR LEASE CORPORATION|AL|US00912XAT19|00912XAT1|United States|2947000|3052|3052|USD|ISHIBDO|8/15/2016|
12/30/2021|ALLSTATE CORP|ALL|US020002AZ47|020002AZ4|United States|2349000|2433|2433|USD|ISHIBDO|6/7/2013|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBK54|02005NBK5|United States|3141000|3229|3229|USD|ISHIBDO|6/3/2020|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBL38||United States|4525000|4557|4557|USD|ISHIBDO|9/18/2020|
12/30/2021|AMERIPRISE FINANCIAL INC|AMP|US03076CAF32|03076CAF3|United States|2861000|3039|3039|USD|ISHIBDO|9/6/2013|
12/30/2021|ANTHEM INC|ANTM|US94973VBA44||United States|4093000|4264|4264|USD|ISHIBDO|9/10/2012|
12/30/2021|ANTHEM INC|ANTM|US036752AQ61||United States|1840000|1837|1837|USD|ISHIBDO|3/17/2021|
12/30/2021|ARES CAPITAL CORPORATION|ARCC|US04010LAU70|04010LAU7|United States|3079000|3193|3193|USD|ISHIBDO|8/10/2017|
12/30/2021|AVALONBAY COMMUNITIES INC|AVB|US05348EAT64||United States|1144000|1209|1209|USD|ISHIBDO|12/16/2013|
12/30/2021|AMERICAN EXPRESS COMPANY|AXP|US025816BS73|025816BS7|United States|6358000|6615|6615|USD|ISHIBDO|2/27/2018|
12/30/2021|AMERICAN EXPRESS COMPANY|AXP|US025816BW85|025816BW8|United States|6871000|7267|7267|USD|ISHIBDO|8/3/2018|
12/30/2021|BANK OF AMERICA CORP MTN|BAC|US06051GEU94||United States|13385000|13960|13960|USD|ISHIBDO|1/11/2013|
12/30/2021|BANK OF AMERICA CORP|BAC|US06053FAA75||United States|7925000|8472|8472|USD|ISHIBDO|7/23/2013|
12/30/2021|BRANDYWINE OPERATING PARTNERSHIP L|BDN|US105340AM59|105340AM5|United States|1070000|1112|1112|USD|ISHIBDO|12/18/2012|
12/30/2021|BANK OF NEW YORK MELLON/THE MTN|BK|US06406RAM97|06406RAM9|United States|1797000|1833|1833|USD|ISHIBDO|1/28/2020|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAE71||United States|3256000|3369|3369|USD|ISHIBDO|1/29/2018|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAG20||United States|2382000|2484|2484|USD|ISHIBDO|4/30/2018|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAJ68|06406RAJ6|United States|1838000|1941|1941|USD|ISHIBDO|8/13/2018|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406FAD50||United States|4465000|4602|4602|USD|ISHIBDO|8/16/2016|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAP29|06406RAP2|United States|2663000|2644|2644|USD|ISHIBDO|12/7/2020|
