STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDP,2021-12-31,WORST,2022-01-06,7014.711,518125.022,525139.733
IBDP,2021-12-31,WORST,2022-01-10,5531.941,0.000,5531.941
IBDP,2021-12-31,WORST,2022-01-11,351.804,0.000,351.804
IBDP,2021-12-31,WORST,2022-01-12,1180.780,0.000,1180.780
IBDP,2021-12-31,WORST,2022-01-18,20214.242,0.000,20214.242
IBDP,2021-12-31,WORST,2022-01-19,78.297,0.000,78.297
IBDP,2021-12-31,WORST,2022-01-24,9467.952,0.000,9467.952
IBDP,2021-12-31,WORST,2022-01-25,3553.268,0.000,3553.268
IBDP,2021-12-31,WORST,2022-01-26,1605.417,0.000,1605.417
IBDP,2021-12-31,WORST,2022-01-31,5632.741,0.000,5632.741
IBDP,2021-12-31,WORST,2022-02-01,13226.365,0.000,13226.365
IBDP,2021-12-31,WORST,2022-02-02,188.000,0.000,188.000
IBDP,2021-12-31,WORST,2022-02-04,1425.926,0.000,1425.926
IBDP,2021-12-31,WORST,2022-02-07,8852.049,0.000,8852.049
IBDP,2021-12-31,WORST,2022-02-08,1528.567,0.000,1528.567
IBDP,2021-12-31,WORST,2022-02-09,1339.853,0.000,1339.853
IBDP,2021-12-31,WORST,2022-02-10,1242.148,0.000,1242.148
IBDP,2021-12-31,WORST,2022-02-11,1297.110,0.000,1297.110
IBDP,2021-12-31,WORST,2022-02-14,4514.851,0.000,4514.851
IBDP,2021-12-31,WORST,2022-02-15,24196.895,0.000,24196.895
IBDP,2021-12-31,WORST,2022-02-16,1224.832,0.000,1224.832
IBDP,2021-12-31,WORST,2022-02-18,45.231,0.000,45.231
IBDP,2021-12-31,WORST,2022-02-22,4534.083,0.000,4534.083
IBDP,2021-12-31,WORST,2022-02-23,27.366,0.000,27.366
IBDP,2021-12-31,WORST,2022-02-25,1196.996,0.000,1196.996
IBDP,2021-12-31,WORST,2022-02-28,6333.955,0.000,6333.955
IBDP,2021-12-31,WORST,2022-03-01,14011.711,0.000,14011.711
IBDP,2021-12-31,WORST,2022-03-03,4174.518,0.000,4174.518
IBDP,2021-12-31,WORST,2022-03-04,2948.860,0.000,2948.860
IBDP,2021-12-31,WORST,2022-03-07,4595.968,0.000,4595.968
IBDP,2021-12-31,WORST,2022-03-08,858.216,0.000,858.216
IBDP,2021-12-31,WORST,2022-03-09,5092.789,0.000,5092.789
IBDP,2021-12-31,WORST,2022-03-10,3819.203,0.000,3819.203
IBDP,2021-12-31,WORST,2022-03-11,5467.168,0.000,5467.168
IBDP,2021-12-31,WORST,2022-03-14,6984.557,0.000,6984.557
IBDP,2021-12-31,WORST,2022-03-15,23728.615,0.000,23728.615
IBDP,2021-12-31,WORST,2022-03-17,157.618,0.000,157.618
IBDP,2021-12-31,WORST,2022-03-18,744.653,0.000,744.653
IBDP,2021-12-31,WORST,2022-03-21,1738.026,0.000,1738.026
IBDP,2021-12-31,WORST,2022-03-22,312.758,0.000,312.758
IBDP,2021-12-31,WORST,2022-03-25,512.028,0.000,512.028
IBDP,2021-12-31,WORST,2022-03-28,750.572,0.000,750.572
IBDP,2021-12-31,WORST,2022-03-29,424.286,0.000,424.286
IBDP,2021-12-31,WORST,2022-03-30,1093.136,0.000,1093.136
IBDP,2021-12-31,WORST,2022-04-01,20274.927,0.000,20274.927
IBDP,2021-12-31,WORST,2022-04-04,908.497,0.000,908.497
IBDP,2021-12-31,WORST,2022-04-07,484.641,0.000,484.641
IBDP,2021-12-31,WORST,2022-04-11,3764.294,436.913,4201.206
IBDP,2021-12-31,WORST,2022-04-12,224.608,0.000,224.608
IBDP,2021-12-31,WORST,2022-04-13,1314.166,0.000,1314.166
IBDP,2021-12-31,WORST,2022-04-15,13178.850,0.000,13178.850
IBDP,2021-12-31,WORST,2022-04-18,1611.410,0.000,1611.410
IBDP,2021-12-31,WORST,2022-04-19,2974.443,0.000,2974.443
IBDP,2021-12-31,WORST,2022-04-22,1420.281,0.000,1420.281
IBDP,2021-12-31,WORST,2022-04-25,4976.216,0.000,4976.216
IBDP,2021-12-31,WORST,2022-04-26,938.918,0.000,938.918
IBDP,2021-12-31,WORST,2022-04-29,6167.568,370.388,6537.956
IBDP,2021-12-31,WORST,2022-05-02,17588.712,0.000,17588.712
IBDP,2021-12-31,WORST,2022-05-04,2314.742,0.000,2314.742
IBDP,2021-12-31,WORST,2022-05-05,761.965,0.000,761.965
IBDP,2021-12-31,WORST,2022-05-06,4775.999,0.000,4775.999
IBDP,2021-12-31,WORST,2022-05-09,3240.908,0.000,3240.908
IBDP,2021-12-31,WORST,2022-05-10,683.278,0.000,683.278
IBDP,2021-12-31,WORST,2022-05-11,2573.163,0.000,2573.163
IBDP,2021-12-31,WORST,2022-05-12,296.346,0.000,296.346
IBDP,2021-12-31,WORST,2022-05-13,1914.874,0.000,1914.874
IBDP,2021-12-31,WORST,2022-05-16,26694.926,0.000,26694.926
IBDP,2021-12-31,WORST,2022-05-17,351.540,0.000,351.540
IBDP,2021-12-31,WORST,2022-05-18,2024.814,0.000,2024.814
IBDP,2021-12-31,WORST,2022-05-19,497.192,0.000,497.192
IBDP,2021-12-31,WORST,2022-05-20,1081.932,0.000,1081.932
IBDP,2021-12-31,WORST,2022-05-23,6029.256,0.000,6029.256
IBDP,2021-12-31,WORST,2022-05-31,7005.470,0.000,7005.470
IBDP,2021-12-31,WORST,2022-06-01,17030.669,0.000,17030.669
IBDP,2021-12-31,WORST,2022-06-02,11.148,0.000,11.148
IBDP,2021-12-31,WORST,2022-06-03,795.603,0.000,795.603
IBDP,2021-12-31,WORST,2022-06-06,4129.101,0.000,4129.101
IBDP,2021-12-31,WORST,2022-06-07,1222.213,0.000,1222.213
IBDP,2021-12-31,WORST,2022-06-09,292.122,0.000,292.122
IBDP,2021-12-31,WORST,2022-06-10,2674.397,0.000,2674.397
IBDP,2021-12-31,WORST,2022-06-13,1876.697,0.000,1876.697
IBDP,2021-12-31,WORST,2022-06-14,1268.021,0.000,1268.021
IBDP,2021-12-31,WORST,2022-06-15,9730.809,0.000,9730.809
IBDP,2021-12-31,WORST,2022-06-16,706.338,0.000,706.338
IBDP,2021-12-31,WORST,2022-06-21,333.041,0.000,333.041
IBDP,2021-12-31,WORST,2022-06-23,869.942,0.000,869.942
IBDP,2021-12-31,WORST,2022-06-24,2114.017,0.000,2114.017
IBDP,2021-12-31,WORST,2022-06-27,1609.992,0.000,1609.992
IBDP,2021-12-31,WORST,2022-06-28,735.326,0.000,735.326
IBDP,2021-12-31,WORST,2022-06-30,2476.879,0.000,2476.879
IBDP,2021-12-31,WORST,2022-07-01,5303.147,0.000,5303.147
IBDP,2021-12-31,WORST,2022-07-05,1711.564,0.000,1711.564
IBDP,2021-12-31,WORST,2022-07-08,4814.422,0.000,4814.422
IBDP,2021-12-31,WORST,2022-07-11,1069.323,0.000,1069.323
IBDP,2021-12-31,WORST,2022-07-12,1180.780,0.000,1180.780
IBDP,2021-12-31,WORST,2022-07-15,10369.948,0.000,10369.948
IBDP,2021-12-31,WORST,2022-07-18,6956.934,0.000,6956.934
IBDP,2021-12-31,WORST,2022-07-19,2965.299,0.000,2965.299
IBDP,2021-12-31,WORST,2022-07-22,2620.789,0.000,2620.789
IBDP,2021-12-31,WORST,2022-07-25,10400.431,0.000,10400.431
IBDP,2021-12-31,WORST,2022-07-26,1605.417,0.000,1605.417
IBDP,2021-12-31,WORST,2022-07-29,1574.224,0.000,1574.224
IBDP,2021-12-31,WORST,2022-08-01,17289.614,0.000,17289.614
IBDP,2021-12-31,WORST,2022-08-02,188.000,0.000,188.000
IBDP,2021-12-31,WORST,2022-08-04,1425.926,0.000,1425.926
IBDP,2021-12-31,WORST,2022-08-05,3900.091,0.000,3900.091
IBDP,2021-12-31,WORST,2022-08-08,6480.525,0.000,6480.525
IBDP,2021-12-31,WORST,2022-08-09,1342.898,0.000,1342.898
IBDP,2021-12-31,WORST,2022-08-10,1242.148,0.000,1242.148
IBDP,2021-12-31,WORST,2022-08-11,1297.110,0.000,1297.110
IBDP,2021-12-31,WORST,2022-08-12,2721.131,0.000,2721.131
IBDP,2021-12-31,WORST,2022-08-15,25989.088,0.000,25989.088
IBDP,2021-12-31,WORST,2022-08-16,1224.832,0.000,1224.832
IBDP,2021-12-31,WORST,2022-08-18,45.231,0.000,45.231
IBDP,2021-12-31,WORST,2022-08-22,4534.083,0.000,4534.083
IBDP,2021-12-31,WORST,2022-08-23,27.830,0.000,27.830
IBDP,2021-12-31,WORST,2022-08-25,1196.996,0.000,1196.996
IBDP,2021-12-31,WORST,2022-08-26,5029.992,0.000,5029.992
IBDP,2021-12-31,WORST,2022-08-29,488.646,0.000,488.646
IBDP,2021-12-31,WORST,2022-08-30,815.318,0.000,815.318
IBDP,2021-12-31,WORST,2022-09-01,14011.711,0.000,14011.711
IBDP,2021-12-31,WORST,2022-09-06,8612.746,0.000,8612.746
IBDP,2021-12-31,WORST,2022-09-07,3106.600,0.000,3106.600
IBDP,2021-12-31,WORST,2022-09-08,858.216,0.000,858.216
IBDP,2021-12-31,WORST,2022-09-09,5092.789,0.000,5092.789
IBDP,2021-12-31,WORST,2022-09-12,11030.805,0.000,11030.805
IBDP,2021-12-31,WORST,2022-09-13,2788.384,0.000,2788.384
IBDP,2021-12-31,WORST,2022-09-14,2452.436,0.000,2452.436
IBDP,2021-12-31,WORST,2022-09-15,23728.391,0.000,23728.391
IBDP,2021-12-31,WORST,2022-09-19,2640.297,0.000,2640.297
IBDP,2021-12-31,WORST,2022-09-22,312.758,0.000,312.758
IBDP,2021-12-31,WORST,2022-09-26,512.028,0.000,512.028
IBDP,2021-12-31,WORST,2022-09-27,750.572,0.000,750.572
IBDP,2021-12-31,WORST,2022-09-29,424.286,0.000,424.286
IBDP,2021-12-31,WORST,2022-09-30,1093.136,0.000,1093.136
IBDP,2021-12-31,WORST,2022-10-03,21183.041,36994.220,58177.260
IBDP,2021-12-31,WORST,2022-10-07,484.641,0.000,484.641
IBDP,2021-12-31,WORST,2022-10-11,3755.228,436.913,4192.140
IBDP,2021-12-31,WORST,2022-10-12,224.608,0.000,224.608
IBDP,2021-12-31,WORST,2022-10-13,1314.166,0.000,1314.166
IBDP,2021-12-31,WORST,2022-10-17,16781.905,0.000,16781.905
IBDP,2021-12-31,WORST,2022-10-18,990.663,0.000,990.663
IBDP,2021-12-31,WORST,2022-10-24,6321.393,0.000,6321.393
IBDP,2021-12-31,WORST,2022-10-25,75.103,0.000,75.103
IBDP,2021-12-31,WORST,2022-10-26,938.918,0.000,938.918
IBDP,2021-12-31,WORST,2022-10-31,10705.528,360.558,11066.086
IBDP,2021-12-31,WORST,2022-11-01,13043.344,0.000,13043.344
IBDP,2021-12-31,WORST,2022-11-04,2314.742,0.000,2314.742
IBDP,2021-12-31,WORST,2022-11-07,7433.464,0.000,7433.464
IBDP,2021-12-31,WORST,2022-11-08,1345.409,0.000,1345.409
IBDP,2021-12-31,WORST,2022-11-10,683.278,0.000,683.278
IBDP,2021-12-31,WORST,2022-11-14,5723.689,0.000,5723.689
IBDP,2021-12-31,WORST,2022-11-15,25755.619,0.000,25755.619
IBDP,2021-12-31,WORST,2022-11-17,351.540,0.000,351.540
IBDP,2021-12-31,WORST,2022-11-18,2024.814,0.000,2024.814
IBDP,2021-12-31,WORST,2022-11-21,6013.278,0.000,6013.278
IBDP,2021-12-31,WORST,2022-11-22,1595.169,0.000,1595.169
IBDP,2021-12-31,WORST,2022-11-28,4959.774,0.000,4959.774
IBDP,2021-12-31,WORST,2022-11-29,443.214,0.000,443.214
IBDP,2021-12-31,WORST,2022-11-30,1607.407,0.000,1607.407
IBDP,2021-12-31,WORST,2022-12-01,17030.669,0.000,17030.669
IBDP,2021-12-31,WORST,2022-12-02,11.148,1651.528,1662.675
IBDP,2021-12-31,WORST,2022-12-05,3336.573,0.000,3336.573
IBDP,2021-12-31,WORST,2022-12-06,1588.131,0.000,1588.131
IBDP,2021-12-31,WORST,2022-12-07,1222.213,0.000,1222.213
IBDP,2021-12-31,WORST,2022-12-09,292.122,0.000,292.122
IBDP,2021-12-31,WORST,2022-12-12,4241.433,0.000,4241.433
IBDP,2021-12-31,WORST,2022-12-13,309.661,0.000,309.661
IBDP,2021-12-31,WORST,2022-12-14,1268.021,0.000,1268.021
IBDP,2021-12-31,WORST,2022-12-15,9730.809,0.000,9730.809
IBDP,2021-12-31,WORST,2022-12-16,706.338,0.000,706.338
IBDP,2021-12-31,WORST,2022-12-19,333.041,0.000,333.041
IBDP,2021-12-31,WORST,2022-12-23,869.942,0.000,869.942
IBDP,2021-12-31,WORST,2022-12-27,2114.017,0.000,2114.017
IBDP,2021-12-31,WORST,2022-12-28,2345.318,0.000,2345.318
IBDP,2021-12-31,WORST,2023-01-03,8518.455,0.000,8518.455
IBDP,2021-12-31,WORST,2023-01-04,295.967,0.000,295.967
IBDP,2021-12-31,WORST,2023-01-05,677.168,0.000,677.168
IBDP,2021-12-31,WORST,2023-01-09,5027.572,0.000,5027.572
IBDP,2021-12-31,WORST,2023-01-10,504.368,0.000,504.368
IBDP,2021-12-31,WORST,2023-01-11,351.804,0.000,351.804
IBDP,2021-12-31,WORST,2023-01-12,1180.780,0.000,1180.780
IBDP,2021-12-31,WORST,2023-01-17,18770.648,0.000,18770.648
IBDP,2021-12-31,WORST,2023-01-18,1443.237,0.000,1443.237
IBDP,2021-12-31,WORST,2023-01-19,78.297,0.000,78.297
IBDP,2021-12-31,WORST,2023-01-23,6302.593,0.000,6302.593
IBDP,2021-12-31,WORST,2023-01-24,3165.359,0.000,3165.359
IBDP,2021-12-31,WORST,2023-01-25,3553.268,0.000,3553.268
IBDP,2021-12-31,WORST,2023-01-26,1605.417,0.000,1605.417
IBDP,2021-12-31,WORST,2023-01-30,4805.462,0.000,4805.462
IBDP,2021-12-31,WORST,2023-01-31,829.253,0.000,829.253
IBDP,2021-12-31,WORST,2023-02-01,13229.123,0.000,13229.123
IBDP,2021-12-31,WORST,2023-02-02,188.000,0.000,188.000
IBDP,2021-12-31,WORST,2023-02-06,9914.036,0.000,9914.036
IBDP,2021-12-31,WORST,2023-02-07,363.939,0.000,363.939
IBDP,2021-12-31,WORST,2023-02-08,1528.567,0.000,1528.567
IBDP,2021-12-31,WORST,2023-02-09,1342.898,0.000,1342.898
IBDP,2021-12-31,WORST,2023-02-10,1242.148,0.000,1242.148
IBDP,2021-12-31,WORST,2023-02-13,4018.241,0.000,4018.241
IBDP,2021-12-31,WORST,2023-02-14,1793.720,0.000,1793.720
IBDP,2021-12-31,WORST,2023-02-15,24195.368,0.000,24195.368
IBDP,2021-12-31,WORST,2023-02-16,1224.832,0.000,1224.832
IBDP,2021-12-31,WORST,2023-02-21,1708.960,0.000,1708.960
IBDP,2021-12-31,WORST,2023-02-22,2870.355,0.000,2870.355
IBDP,2021-12-31,WORST,2023-02-23,27.830,0.000,27.830
IBDP,2021-12-31,WORST,2023-02-27,6715.634,0.000,6715.634
IBDP,2021-12-31,WORST,2023-02-28,815.318,0.000,815.318
IBDP,2021-12-31,WORST,2023-03-01,14011.711,0.000,14011.711
IBDP,2021-12-31,WORST,2023-03-03,4174.518,0.000,4174.518
IBDP,2021-12-31,WORST,2023-03-06,4438.228,0.000,4438.228
IBDP,2021-12-31,WORST,2023-03-07,3106.600,0.000,3106.600
IBDP,2021-12-31,WORST,2023-03-08,858.216,0.000,858.216
IBDP,2021-12-31,WORST,2023-03-09,5092.789,0.000,5092.789
IBDP,2021-12-31,WORST,2023-03-10,3819.203,0.000,3819.203
IBDP,2021-12-31,WORST,2023-03-13,9720.217,0.000,9720.217
IBDP,2021-12-31,WORST,2023-03-14,2452.436,0.000,2452.436
IBDP,2021-12-31,WORST,2023-03-15,23728.391,0.000,23728.391
IBDP,2021-12-31,WORST,2023-03-17,157.618,0.000,157.618
IBDP,2021-12-31,WORST,2023-03-20,2482.680,0.000,2482.680
IBDP,2021-12-31,WORST,2023-03-22,312.758,0.000,312.758
IBDP,2021-12-31,WORST,2023-03-27,1262.599,0.000,1262.599
IBDP,2021-12-31,WORST,2023-03-29,424.286,0.000,424.286
IBDP,2021-12-31,WORST,2023-03-30,1093.136,0.000,1093.136
IBDP,2021-12-31,WORST,2023-04-03,20850.093,0.000,20850.093
IBDP,2021-12-31,WORST,2023-04-07,484.641,0.000,484.641
IBDP,2021-12-31,WORST,2023-04-10,3550.021,0.000,3550.021
IBDP,2021-12-31,WORST,2023-04-11,196.141,436.913,633.054
IBDP,2021-12-31,WORST,2023-04-12,224.608,0.000,224.608
IBDP,2021-12-31,WORST,2023-04-13,1314.166,0.000,1314.166
IBDP,2021-12-31,WORST,2023-04-17,16781.905,0.000,16781.905
IBDP,2021-12-31,WORST,2023-04-18,990.663,0.000,990.663
IBDP,2021-12-31,WORST,2023-04-24,6321.393,0.000,6321.393
IBDP,2021-12-31,WORST,2023-04-25,75.103,0.000,75.103
IBDP,2021-12-31,WORST,2023-04-26,938.918,0.000,938.918
IBDP,2021-12-31,WORST,2023-05-01,23741.661,370.510,24112.171
IBDP,2021-12-31,WORST,2023-05-04,2314.742,0.000,2314.742
IBDP,2021-12-31,WORST,2023-05-05,761.965,0.000,761.965
IBDP,2021-12-31,WORST,2023-05-08,8016.908,0.000,8016.908
IBDP,2021-12-31,WORST,2023-05-10,683.278,0.000,683.278
IBDP,2021-12-31,WORST,2023-05-11,2573.163,0.000,2573.163
IBDP,2021-12-31,WORST,2023-05-12,296.346,0.000,296.346
IBDP,2021-12-31,WORST,2023-05-15,28609.800,0.000,28609.800
IBDP,2021-12-31,WORST,2023-05-17,351.540,0.000,351.540
IBDP,2021-12-31,WORST,2023-05-18,2024.814,0.000,2024.814
IBDP,2021-12-31,WORST,2023-05-19,497.192,0.000,497.192
IBDP,2021-12-31,WORST,2023-05-22,7111.255,0.000,7111.255
IBDP,2021-12-31,WORST,2023-05-30,7010.395,0.000,7010.395
IBDP,2021-12-31,WORST,2023-06-01,17030.669,0.000,17030.669
IBDP,2021-12-31,WORST,2023-06-05,3336.573,0.000,3336.573
IBDP,2021-12-31,WORST,2023-06-06,1588.131,0.000,1588.131
IBDP,2021-12-31,WORST,2023-06-07,1222.213,0.000,1222.213
IBDP,2021-12-31,WORST,2023-06-09,292.122,0.000,292.122
