iShares® iBonds® Dec 2024 Term Corporate ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Mar 11, 2015"
Shares Outstanding,"60,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","31,735,000.03","2.02","31,735,000.03","31,735,000.00","066922477","US0669224778","6922477","1.00","United States","-","USD","0.07","0.07","1.00","-","0.10","0.10","-","0.07","0.10","0.07","USD","-","Feb 04, 2009"
"ABBVIE INC","Corporates","Fixed Income","12,469,424.76","0.79","12,469,424.76","11,988,000.00","00287YBZ1","US00287YBZ16","BK7BXL7","103.73","United States","-","USD","2.73","1.28","1.00","Nov 21, 2024","2.60","2.78","-","1.24","2.70","1.24","USD","May 21, 2020","Nov 17, 2020"
"MORGAN STANLEY MTN","Corporates","Fixed Income","11,171,047.52","0.71","11,171,047.52","10,462,000.00","61746BDQ6","US61746BDQ68","BLWP5G0","106.11","United States","-","USD","2.23","1.20","1.00","Apr 29, 2024","3.88","2.22","-","1.20","2.22","1.20","USD","Apr 28, 2014","Apr 28, 2014"
"MORGAN STANLEY MTN","Corporates","Fixed Income","11,064,558.36","0.71","11,064,558.36","10,317,000.00","61761JVL0","US61761JVL06","BRJZZY3","106.55","United States","-","USD","2.67","1.32","1.00","Oct 23, 2024","3.70","2.67","-","1.32","2.67","1.32","USD","Oct 23, 2014","Oct 23, 2014"
"WELLS FARGO & COMPANY MTN","Corporates","Fixed Income","10,908,449.89","0.70","10,908,449.89","10,222,000.00","95000U2C6","US95000U2C66","BJ2KZ94","105.08","United States","-","USD","1.90","1.25","1.00","Jan 24, 2024","3.75","1.96","-","1.15","1.89","1.15","USD","Jan 24, 2019","Jan 24, 2019"
"CREDIT SUISSE NEW YORK NY MTN","Corporates","Fixed Income","10,833,222.39","0.69","10,833,222.39","10,103,000.00","22546QAP2","US22546QAP28","BQR7XJ5","106.10","Switzerland","-","USD","2.55","1.31","1.00","Sep 09, 2024","3.63","2.55","-","1.31","2.55","1.31","USD","Sep 09, 2014","Sep 09, 2014"
"BANK OF AMERICA CORP MTN","Corporates","Fixed Income","10,701,174.14","0.68","10,701,174.14","9,851,000.00","06051GFH7","US06051GFH74","BQ8NSJ7","107.17","United States","-","USD","2.50","1.43","1.00","Aug 26, 2024","4.20","2.49","-","1.43","2.49","1.43","USD","Aug 26, 2014","Aug 26, 2014"
"JPMORGAN CHASE & CO","Corporates","Fixed Income","10,572,085.68","0.67","10,572,085.68","9,822,000.00","46625HJY7","US46625HJY71","BR17VT4","106.44","United States","-","USD","2.55","1.43","1.00","Sep 10, 2024","3.88","2.54","-","1.43","2.54","1.43","USD","Sep 10, 2014","Sep 10, 2014"
"GOLDMAN SACHS GROUP INC MTN","Corporates","Fixed Income","10,333,757.21","0.66","10,333,757.21","9,629,000.00","38141GVM3","US38141GVM31","BK573H3","106.01","United States","-","USD","2.07","1.19","1.00","Mar 03, 2024","4.00","2.07","-","1.19","2.07","1.19","USD","Mar 03, 2014","Mar 03, 2014"
"INTERNATIONAL BUSINESS MACHINES CO","Corporates","Fixed Income","10,007,968.34","0.64","10,007,968.34","9,541,000.00","459200JY8","US459200JY80","BK59294","104.51","United States","-","USD","2.29","1.07","1.00","May 15, 2024","3.00","2.29","-","1.07","2.29","1.07","USD","May 15, 2019","May 15, 2019"
"AERCAP IRELAND CAPITAL DAC","Corporates","Fixed Income","9,710,043.41","0.62","9,710,043.41","9,695,000.00","00774MAU9","US00774MAU99","-","99.87","Ireland","-","USD","2.73","1.70","1.00","Oct 29, 2024","1.65","2.74","-","1.70","2.74","1.70","USD","Oct 29, 2021","Oct 29, 2021"
"COMCAST CORPORATION","Corporates","Fixed Income","9,033,651.99","0.58","9,033,651.99","8,441,000.00","20030NCR0","US20030NCR08","BGGFKG6","106.24","United States","-","USD","2.12","0.94","1.00","Apr 15, 2024","3.70","2.19","-","0.84","2.11","0.84","USD","Oct 05, 2018","Oct 05, 2018"
"BAT CAPITAL CORP","Corporates","Fixed Income","8,784,816.84","0.56","8,784,816.84","8,347,000.00","05526DAZ8","US05526DAZ87","BG5QS88","104.03","United Kingdom","-","USD","2.38","1.65","1.00","Aug 15, 2024","3.22","2.49","-","1.54","2.34","1.54","USD","Aug 15, 2018","Nov 20, 2018"
"MICROSOFT CORPORATION","Corporates","Fixed Income","8,400,565.75","0.54","8,400,565.75","7,987,000.00","594918BX1","US594918BX11","BYP2NV0","104.02","United States","-","USD","1.88","0.93","1.00","Feb 06, 2024","2.88","2.02","-","0.77","1.86","0.77","USD","Feb 06, 2017","Feb 06, 2017"
