STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDQ,2021-12-31,WORST,2022-01-06,1601.464,446149.237,447750.701
IBDQ,2021-12-31,WORST,2022-01-10,3833.794,0.000,3833.794
IBDQ,2021-12-31,WORST,2022-01-11,959.001,0.000,959.001
IBDQ,2021-12-31,WORST,2022-01-13,1819.745,0.000,1819.745
IBDQ,2021-12-31,WORST,2022-01-14,331.976,0.000,331.976
IBDQ,2021-12-31,WORST,2022-01-18,29330.163,0.000,29330.163
IBDQ,2021-12-31,WORST,2022-01-20,2543.610,0.000,2543.610
IBDQ,2021-12-31,WORST,2022-01-21,539.847,0.000,539.847
IBDQ,2021-12-31,WORST,2022-01-24,16729.886,0.000,16729.886
IBDQ,2021-12-31,WORST,2022-01-27,1015.056,0.000,1015.056
IBDQ,2021-12-31,WORST,2022-01-28,2121.067,0.000,2121.067
IBDQ,2021-12-31,WORST,2022-01-31,2823.534,0.000,2823.534
IBDQ,2021-12-31,WORST,2022-02-01,14005.346,0.000,14005.346
IBDQ,2021-12-31,WORST,2022-02-03,813.014,0.000,813.014
IBDQ,2021-12-31,WORST,2022-02-04,1710.349,0.000,1710.349
IBDQ,2021-12-31,WORST,2022-02-07,2358.518,0.000,2358.518
IBDQ,2021-12-31,WORST,2022-02-08,2035.909,0.000,2035.909
IBDQ,2021-12-31,WORST,2022-02-09,820.774,0.000,820.774
IBDQ,2021-12-31,WORST,2022-02-10,2169.501,0.000,2169.501
IBDQ,2021-12-31,WORST,2022-02-11,750.267,0.000,750.267
IBDQ,2021-12-31,WORST,2022-02-14,2437.721,0.000,2437.721
IBDQ,2021-12-31,WORST,2022-02-15,14150.775,472.101,14622.876
IBDQ,2021-12-31,WORST,2022-02-16,1733.656,0.000,1733.656
IBDQ,2021-12-31,WORST,2022-02-17,267.240,0.000,267.240
IBDQ,2021-12-31,WORST,2022-02-18,3198.569,0.000,3198.569
IBDQ,2021-12-31,WORST,2022-02-22,3301.721,0.000,3301.721
IBDQ,2021-12-31,WORST,2022-02-23,533.824,0.000,533.824
IBDQ,2021-12-31,WORST,2022-02-24,568.534,0.000,568.534
IBDQ,2021-12-31,WORST,2022-02-25,1747.841,0.000,1747.841
IBDQ,2021-12-31,WORST,2022-02-28,819.796,0.000,819.796
IBDQ,2021-12-31,WORST,2022-03-01,12559.901,0.000,12559.901
IBDQ,2021-12-31,WORST,2022-03-02,908.981,0.000,908.981
IBDQ,2021-12-31,WORST,2022-03-03,517.133,0.000,517.133
IBDQ,2021-12-31,WORST,2022-03-04,448.320,0.000,448.320
IBDQ,2021-12-31,WORST,2022-03-07,2218.787,0.000,2218.787
IBDQ,2021-12-31,WORST,2022-03-09,146.690,0.000,146.690
IBDQ,2021-12-31,WORST,2022-03-10,1477.546,0.000,1477.546
IBDQ,2021-12-31,WORST,2022-03-11,1129.847,0.000,1129.847
IBDQ,2021-12-31,WORST,2022-03-14,3535.232,0.000,3535.232
IBDQ,2021-12-31,WORST,2022-03-15,24961.115,0.000,24961.115
IBDQ,2021-12-31,WORST,2022-03-16,2874.901,0.000,2874.901
IBDQ,2021-12-31,WORST,2022-03-17,1692.270,0.000,1692.270
IBDQ,2021-12-31,WORST,2022-03-18,812.500,0.000,812.500
IBDQ,2021-12-31,WORST,2022-03-21,2600.980,0.000,2600.980
IBDQ,2021-12-31,WORST,2022-03-22,377.368,0.000,377.368
IBDQ,2021-12-31,WORST,2022-03-24,2153.895,0.000,2153.895
IBDQ,2021-12-31,WORST,2022-03-25,2507.088,0.000,2507.088
IBDQ,2021-12-31,WORST,2022-03-28,4016.774,0.000,4016.774
IBDQ,2021-12-31,WORST,2022-03-29,2517.105,0.000,2517.105
IBDQ,2021-12-31,WORST,2022-03-30,2065.400,0.000,2065.400
IBDQ,2021-12-31,WORST,2022-03-31,874.857,0.000,874.857
IBDQ,2021-12-31,WORST,2022-04-01,23218.947,0.000,23218.947
IBDQ,2021-12-31,WORST,2022-04-04,314.969,0.000,314.969
IBDQ,2021-12-31,WORST,2022-04-05,728.184,0.000,728.184
IBDQ,2021-12-31,WORST,2022-04-06,501.868,0.000,501.868
IBDQ,2021-12-31,WORST,2022-04-07,1005.463,0.000,1005.463
IBDQ,2021-12-31,WORST,2022-04-11,3868.200,0.000,3868.200
IBDQ,2021-12-31,WORST,2022-04-14,555.703,0.000,555.703
IBDQ,2021-12-31,WORST,2022-04-15,25292.804,0.000,25292.804
IBDQ,2021-12-31,WORST,2022-04-18,1268.187,0.000,1268.187
IBDQ,2021-12-31,WORST,2022-04-21,4747.872,0.000,4747.872
IBDQ,2021-12-31,WORST,2022-04-25,2101.492,0.000,2101.492
IBDQ,2021-12-31,WORST,2022-04-27,1763.116,0.000,1763.116
IBDQ,2021-12-31,WORST,2022-04-28,488.264,0.000,488.264
IBDQ,2021-12-31,WORST,2022-04-29,2761.981,0.000,2761.981
IBDQ,2021-12-31,WORST,2022-05-02,23187.705,20433.387,43621.092
IBDQ,2021-12-31,WORST,2022-05-03,2238.518,0.000,2238.518
IBDQ,2021-12-31,WORST,2022-05-04,2432.841,0.000,2432.841
IBDQ,2021-12-31,WORST,2022-05-06,1758.585,0.000,1758.585
IBDQ,2021-12-31,WORST,2022-05-09,1879.695,0.000,1879.695
IBDQ,2021-12-31,WORST,2022-05-11,3579.517,0.000,3579.517
IBDQ,2021-12-31,WORST,2022-05-12,511.930,0.000,511.930
IBDQ,2021-12-31,WORST,2022-05-13,3154.521,0.000,3154.521
IBDQ,2021-12-31,WORST,2022-05-16,31988.802,0.000,31988.802
IBDQ,2021-12-31,WORST,2022-05-17,2395.615,0.000,2395.615
IBDQ,2021-12-31,WORST,2022-05-18,1033.829,0.000,1033.829
IBDQ,2021-12-31,WORST,2022-05-19,2006.203,0.000,2006.203
IBDQ,2021-12-31,WORST,2022-05-20,3113.834,0.000,3113.834
IBDQ,2021-12-31,WORST,2022-05-23,3638.047,0.000,3638.047
IBDQ,2021-12-31,WORST,2022-05-24,3075.866,0.000,3075.866
IBDQ,2021-12-31,WORST,2022-05-25,1514.803,0.000,1514.803
IBDQ,2021-12-31,WORST,2022-05-26,1253.424,0.000,1253.424
IBDQ,2021-12-31,WORST,2022-05-31,5050.235,0.000,5050.235
IBDQ,2021-12-31,WORST,2022-06-01,20062.004,0.000,20062.004
