ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|AFLAC INCORPORATED|AFL|US001055AP78||United States|1375000|1467|1467|USD|ISHIBDQ|3/12/2015|
12/30/2021|AMERICAN INTERNATIONAL GROUP INC|AIG|US026874DQ70|026874DQ7|United States|2921000|3015|3015|USD|ISHIBDQ|5/11/2020|
12/30/2021|AMERICAN INTERNATIONAL GROUP INC|AIG|US026874DD67|026874DD6|United States|3256000|3548|3548|USD|ISHIBDQ|7/10/2015|
12/30/2021|AIR LEASE CORPORATION MTN|AL|US00914AAF93||United States|1024000|1050|1050|USD|ISHIBDQ|1/14/2020|
12/30/2021|AIR LEASE CORPORATION|AL|US00912XBA19||United States|2319000|2436|2436|USD|ISHIBDQ|1/16/2018|
12/30/2021|AIR LEASE CORPORATION MTN|AL|US00914AAH59|00914AAH5|United States|2165000|2302|2302|USD|ISHIBDQ|6/24/2020|
12/30/2021|ALLSTATE CORPORATION (THE)|ALL|US020002BH30||United States|871000|849|849|USD|ISHIBDQ|11/24/2020|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBA72|02005NBA7|United States|1499000|1649|1649|USD|ISHIBDQ|3/30/2015|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBJ81|02005NBJ8|United States|2173000|2473|2473|USD|ISHIBDQ|4/8/2020|
12/30/2021|AFFILIATED MANAGERS GROUP INC.|AMG|US008252AN84||United States|955000|1031|1031|USD|ISHIBDQ|2/13/2015|
12/30/2021|AMERIPRISE FINANCIAL INC|AMP|US03076CAK27|03076CAK2|United States|1031000|1085|1085|USD|ISHIBDQ|4/2/2020|
12/30/2021|ANTHEM INC|ANTM|US036752AJ29|036752AJ2|United States|3641000|3791|3791|USD|ISHIBDQ|9/9/2019|
12/30/2021|AUSTRALIA AND NEW ZEALAND BANKING MTN|ANZ|US05253JAL52||Australia|2297000|2505|2505|USD|ISHIBDQ|11/16/2015|
12/30/2021|ALEXANDRIA REAL ESTATE EQUITIES IN|ARE|US015271AL39|015271AL3|United States|1831000|1957|1957|USD|ISHIBDQ|11/20/2017|
12/30/2021|ARES CAPITAL CORPORATION|ARCC|US04010LAV53||United States|1950000|2094|2094|USD|ISHIBDQ|1/11/2018|
12/30/2021|ARES CAPITAL CORPORATION|ARCC|US04010LAY92|04010LAY9|United States|2778000|2923|2923|USD|ISHIBDQ|1/15/2020|
12/30/2021|AVALONBAY COMMUNITIES MTN|AVB|US05348EAV11||United States|1024000|1090|1090|USD|ISHIBDQ|5/13/2015|
12/30/2021|AVALONBAY COMMUNITIES INC MTN|AVB|US05348EAW93||United States|846000|911|911|USD|ISHIBDQ|11/16/2015|
12/30/2021|AMERICAN EXPRESS COMPANY|AXP|US025816CA56|025816CA5|United States|2723000|3015|3015|USD|ISHIBDQ|11/6/2018|
12/30/2021|BANK OF AMERICA CORP MTN|BAC|US06051GFM69||United States|6274000|6817|6817|USD|ISHIBDQ|1/22/2015|
12/30/2021|BANK OF AMERICA CORP MTN|BAC|US06051GFP90|06051GFP9|United States|6398000|6889|6889|USD|ISHIBDQ|4/21/2015|
12/30/2021|BANK OF AMERICA CORP MTN|BAC|US06051GFS30||United States|3837000|4225|4225|USD|ISHIBDQ|7/30/2015|
