STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDR,2021-12-31,WORST,2022-01-06,6693.708,124266.677,130960.385
IBDR,2021-12-31,WORST,2022-01-10,991.004,0.000,991.004
IBDR,2021-12-31,WORST,2022-01-12,4563.852,0.000,4563.852
IBDR,2021-12-31,WORST,2022-01-13,1234.796,0.000,1234.796
IBDR,2021-12-31,WORST,2022-01-14,3406.152,0.000,3406.152
IBDR,2021-12-31,WORST,2022-01-18,28887.740,521.303,29409.043
IBDR,2021-12-31,WORST,2022-01-21,1834.888,0.000,1834.888
IBDR,2021-12-31,WORST,2022-01-24,2322.271,0.000,2322.271
IBDR,2021-12-31,WORST,2022-01-27,7974.216,0.000,7974.216
IBDR,2021-12-31,WORST,2022-01-28,2139.756,0.000,2139.756
IBDR,2021-12-31,WORST,2022-01-30,189.959,31153.324,31343.284
IBDR,2021-12-31,WORST,2022-01-31,4468.874,0.000,4468.874
IBDR,2021-12-31,WORST,2022-02-01,12535.147,0.000,12535.147
IBDR,2021-12-31,WORST,2022-02-02,366.350,0.000,366.350
IBDR,2021-12-31,WORST,2022-02-03,956.906,0.000,956.906
IBDR,2021-12-31,WORST,2022-02-04,3656.528,0.000,3656.528
IBDR,2021-12-31,WORST,2022-02-07,1448.931,0.000,1448.931
IBDR,2021-12-31,WORST,2022-02-08,2461.859,0.000,2461.859
IBDR,2021-12-31,WORST,2022-02-09,1687.517,0.000,1687.517
IBDR,2021-12-31,WORST,2022-02-10,2626.357,0.000,2626.357
IBDR,2021-12-31,WORST,2022-02-11,1707.440,0.000,1707.440
IBDR,2021-12-31,WORST,2022-02-14,3354.037,0.000,3354.037
IBDR,2021-12-31,WORST,2022-02-15,17038.298,0.000,17038.298
IBDR,2021-12-31,WORST,2022-02-16,766.153,0.000,766.153
IBDR,2021-12-31,WORST,2022-02-17,2613.501,0.000,2613.501
IBDR,2021-12-31,WORST,2022-02-18,1567.775,0.000,1567.775
IBDR,2021-12-31,WORST,2022-02-22,3284.722,0.000,3284.722
IBDR,2021-12-31,WORST,2022-02-23,2014.824,0.000,2014.824
IBDR,2021-12-31,WORST,2022-02-24,993.195,0.000,993.195
IBDR,2021-12-31,WORST,2022-02-25,4132.564,0.000,4132.564
IBDR,2021-12-31,WORST,2022-02-28,1287.120,0.000,1287.120
IBDR,2021-12-31,WORST,2022-03-01,25614.819,0.000,25614.819
IBDR,2021-12-31,WORST,2022-03-02,329.980,0.000,329.980
IBDR,2021-12-31,WORST,2022-03-03,2544.919,615.817,3160.736
IBDR,2021-12-31,WORST,2022-03-04,1193.758,0.000,1193.758
IBDR,2021-12-31,WORST,2022-03-07,1032.115,0.000,1032.115
IBDR,2021-12-31,WORST,2022-03-08,5107.687,0.000,5107.687
IBDR,2021-12-31,WORST,2022-03-09,3531.342,0.000,3531.342
IBDR,2021-12-31,WORST,2022-03-10,1063.942,0.000,1063.942
IBDR,2021-12-31,WORST,2022-03-11,3300.000,0.000,3300.000
IBDR,2021-12-31,WORST,2022-03-14,4971.816,0.000,4971.816
IBDR,2021-12-31,WORST,2022-03-15,21711.599,0.000,21711.599
IBDR,2021-12-31,WORST,2022-03-16,2058.853,0.000,2058.853
IBDR,2021-12-31,WORST,2022-03-17,575.888,0.000,575.888
IBDR,2021-12-31,WORST,2022-03-21,3007.377,0.000,3007.377
IBDR,2021-12-31,WORST,2022-03-22,251.201,0.000,251.201
IBDR,2021-12-31,WORST,2022-03-23,2167.490,0.000,2167.490
IBDR,2021-12-31,WORST,2022-03-24,2131.934,0.000,2131.934
IBDR,2021-12-31,WORST,2022-03-25,3207.572,0.000,3207.572
IBDR,2021-12-31,WORST,2022-04-01,22153.136,0.000,22153.136
IBDR,2021-12-31,WORST,2022-04-04,1744.189,0.000,1744.189
IBDR,2021-12-31,WORST,2022-04-05,3273.197,0.000,3273.197
IBDR,2021-12-31,WORST,2022-04-06,1885.499,0.000,1885.499
IBDR,2021-12-31,WORST,2022-04-08,205.346,0.000,205.346
