iShares® iBonds® Dec 2030 Term Corporate ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jun 23, 2020"
Shares Outstanding,"5,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"T-MOBILE USA INC","Corporates","Fixed Income","2,512,306.44","1.77","2,512,306.44","2,277,000.00","87264ABF1","US87264ABF12","BN0ZLW4","109.52","United States","-","USD","6.99","2.59","1.00","Apr 15, 2030","3.88","7.08","-","2.56","6.90","2.56","USD","Apr 15, 2021","May 21, 2021"
"DEUTSCHE TELEKOM INTERNATIONAL FIN","Corporates","Fixed Income","1,777,069.10","1.25","1,777,069.10","1,218,000.00","25156PAC7","US25156PAC77","4081788","145.54","Germany","-","USD","6.51","2.69","1.00","Jun 15, 2030","8.75","6.48","-","2.69","6.48","2.69","USD","Jul 06, 2000","Jul 06, 2000"
"BOEING CO","Corporates","Fixed Income","1,664,879.57","1.17","1,664,879.57","1,415,000.00","097023CY9","US097023CY98","-","116.80","United States","-","USD","6.76","2.87","1.00","May 01, 2030","5.15","6.86","-","2.81","6.69","2.81","USD","May 04, 2020","May 04, 2020"
"AT&T INC","Corporates","Fixed Income","1,378,344.61","0.97","1,378,344.61","1,205,000.00","00206RGQ9","US00206RGQ92","BG6F4D1","112.76","United States","-","USD","6.73","2.55","1.00","Feb 15, 2030","4.30","6.84","-","2.50","6.66","2.50","USD","Aug 15, 2018","Nov 23, 2018"
"BRITISH TELECOMMUNICATIONS PLC","Corporates","Fixed Income","1,283,572.26","0.91","1,283,572.26","870,000.00","111021AE1","US111021AE12","B23XQ67","147.14","United Kingdom","-","USD","6.65","3.46","1.00","Dec 15, 2030","9.63","6.60","-","3.46","6.60","3.46","USD","Dec 12, 2000","Dec 12, 2000"
"HSBC HOLDINGS PLC","Corporates","Fixed Income","1,091,814.60","0.77","1,091,814.60","920,000.00","404280CF4","US404280CF48","-","117.44","United Kingdom","-","USD","6.87","2.59","1.00","Mar 31, 2030","4.95","6.84","-","2.59","6.84","2.59","USD","Mar 31, 2020","Mar 31, 2020"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,030,000.00","0.73","1,030,000.00","1,030,000.00","066922477","US0669224778","6922477","1.00","United States","-","USD","0.07","0.07","1.00","-","0.10","0.10","-","0.07","0.10","0.07","USD","-","Feb 04, 2009"
"PACIFIC GAS AND ELECTRIC COMPANY","Corporates","Fixed Income","1,028,780.80","0.73","1,028,780.80","928,000.00","694308JM0","US694308JM04","-","108.58","United States","-","USD","6.76","3.38","1.00","Jul 01, 2030","4.55","6.95","-","3.32","6.61","3.32","USD","Jul 02, 2020","Jul 01, 2020"
"GOLDMAN SACHS GROUP INC/THE","Corporates","Fixed Income","939,455.46","0.66","939,455.46","844,000.00","38141GXH2","US38141GXH28","BLNNX58","110.19","United States","-","USD","6.92","2.42","1.00","Mar 15, 2030","3.80","7.03","-","2.39","6.84","2.39","USD","Mar 19, 2020","Mar 19, 2020"
"BROADCOM INC","Corporates","Fixed Income","836,874.58","0.59","836,874.58","750,000.00","11135FAQ4","US11135FAQ46","-","111.05","United States","-","USD","7.37","2.74","1.00","Nov 15, 2030","4.15","7.46","-","2.70","7.28","2.70","USD","May 08, 2020","Aug 07, 2020"
