STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBHC,2021-12-31,WORST,2022-01-06,7237.847,806176.219,813414.067
IBHC,2021-12-31,WORST,2022-01-10,1071.875,0.000,1071.875
IBHC,2021-12-31,WORST,2022-01-14,506.944,0.000,506.944
IBHC,2021-12-31,WORST,2022-01-15,2171.296,145833.333,148004.630
IBHC,2021-12-31,WORST,2022-01-18,36213.989,3710.937,39924.925
IBHC,2021-12-31,WORST,2022-01-24,373.264,0.000,373.264
IBHC,2021-12-31,WORST,2022-01-25,10045.139,0.000,10045.139
IBHC,2021-12-31,WORST,2022-01-30,7899.364,310277.778,318177.142
IBHC,2021-12-31,WORST,2022-01-31,3834.375,0.000,3834.375
IBHC,2021-12-31,WORST,2022-02-01,13505.208,0.000,13505.208
IBHC,2021-12-31,WORST,2022-02-03,180.556,0.000,180.556
IBHC,2021-12-31,WORST,2022-02-07,3159.722,0.000,3159.722
IBHC,2021-12-31,WORST,2022-02-08,1487.500,0.000,1487.500
IBHC,2021-12-31,WORST,2022-02-11,69.059,0.000,69.059
IBHC,2021-12-31,WORST,2022-02-15,37444.039,0.000,37444.039
IBHC,2021-12-31,WORST,2022-02-18,661.111,0.000,661.111
IBHC,2021-12-31,WORST,2022-02-28,8786.667,0.000,8786.667
IBHC,2021-12-31,WORST,2022-03-01,13950.608,0.000,13950.608
IBHC,2021-12-31,WORST,2022-03-02,156.250,0.000,156.250
IBHC,2021-12-31,WORST,2022-03-10,94.931,0.000,94.931
IBHC,2021-12-31,WORST,2022-03-14,1646.875,0.000,1646.875
IBHC,2021-12-31,WORST,2022-03-15,111898.611,0.000,111898.611
IBHC,2021-12-31,WORST,2022-03-21,18051.215,0.000,18051.215
IBHC,2021-12-31,WORST,2022-03-23,818.576,0.000,818.576
IBHC,2021-12-31,WORST,2022-03-25,6550.347,0.000,6550.347
IBHC,2021-12-31,WORST,2022-03-28,358.333,0.000,358.333
IBHC,2021-12-31,WORST,2022-03-29,116.667,0.000,116.667
IBHC,2021-12-31,WORST,2022-03-31,4861.111,138888.889,143750.000
IBHC,2021-12-31,WORST,2022-04-01,36320.139,150000.000,186320.139
IBHC,2021-12-31,WORST,2022-04-04,5135.417,0.000,5135.417
IBHC,2021-12-31,WORST,2022-04-15,16743.333,0.000,16743.333
IBHC,2021-12-31,WORST,2022-04-18,446.885,0.000,446.885
IBHC,2021-12-31,WORST,2022-04-19,4082.986,0.000,4082.986
IBHC,2021-12-31,WORST,2022-04-26,8055.556,0.000,8055.556
IBHC,2021-12-31,WORST,2022-04-29,359.375,0.000,359.375
IBHC,2021-12-31,WORST,2022-05-02,103367.917,276388.889,379756.806
IBHC,2021-12-31,WORST,2022-05-04,1932.347,0.000,1932.347
IBHC,2021-12-31,WORST,2022-05-16,49981.190,7731.966,57713.157
IBHC,2021-12-31,WORST,2022-05-17,8540.000,0.000,8540.000
IBHC,2021-12-31,WORST,2022-05-23,1828.385,0.000,1828.385
IBHC,2021-12-31,WORST,2022-05-26,1222.222,0.000,1222.222
IBHC,2021-12-31,WORST,2022-05-31,4364.583,0.000,4364.583
IBHC,2021-12-31,WORST,2022-06-01,22425.660,0.000,22425.660
IBHC,2021-12-31,WORST,2022-06-06,2312.500,0.000,2312.500
IBHC,2021-12-31,WORST,2022-06-10,1609.722,0.000,1609.722
IBHC,2021-12-31,WORST,2022-06-15,55164.792,0.000,55164.792
IBHC,2021-12-31,WORST,2022-06-17,7942.708,169444.444,177387.153
IBHC,2021-12-31,WORST,2022-06-30,5590.278,0.000,5590.278
IBHC,2021-12-31,WORST,2022-07-01,921.875,0.000,921.875
IBHC,2021-12-31,WORST,2022-07-05,1128.472,0.000,1128.472
IBHC,2021-12-31,WORST,2022-07-11,1071.875,0.000,1071.875
IBHC,2021-12-31,WORST,2022-07-14,253.472,0.000,253.472
IBHC,2021-12-31,WORST,2022-07-15,51296.865,3820.412,55117.277
IBHC,2021-12-31,WORST,2022-07-18,944.444,0.000,944.444
IBHC,2021-12-31,WORST,2022-07-25,10418.403,0.000,10418.403
IBHC,2021-12-31,WORST,2022-08-01,17339.583,0.000,17339.583
IBHC,2021-12-31,WORST,2022-08-03,180.556,0.000,180.556
IBHC,2021-12-31,WORST,2022-08-08,4647.222,0.000,4647.222
IBHC,2021-12-31,WORST,2022-08-11,69.444,0.000,69.444
IBHC,2021-12-31,WORST,2022-08-15,37438.021,251388.889,288826.910
IBHC,2021-12-31,WORST,2022-08-18,661.111,0.000,661.111
IBHC,2021-12-31,WORST,2022-08-29,8786.667,0.000,8786.667
IBHC,2021-12-31,WORST,2022-09-01,13952.326,0.000,13952.326
IBHC,2021-12-31,WORST,2022-09-02,156.250,0.000,156.250
IBHC,2021-12-31,WORST,2022-09-12,1741.806,0.000,1741.806
IBHC,2021-12-31,WORST,2022-09-15,111898.611,0.000,111898.611
IBHC,2021-12-31,WORST,2022-09-19,17773.438,0.000,17773.438
IBHC,2021-12-31,WORST,2022-09-21,277.778,0.000,277.778
IBHC,2021-12-31,WORST,2022-09-23,818.576,0.000,818.576
IBHC,2021-12-31,WORST,2022-09-26,6550.347,0.000,6550.347
IBHC,2021-12-31,WORST,2022-09-27,87.500,0.000,87.500
IBHC,2021-12-31,WORST,2022-09-28,270.833,0.000,270.833
IBHC,2021-12-31,WORST,2022-09-29,116.667,0.000,116.667
IBHC,2021-12-31,WORST,2022-10-03,33111.806,55555.556,88667.361
IBHC,2021-12-31,WORST,2022-10-17,17290.208,0.000,17290.208
IBHC,2021-12-31,WORST,2022-10-18,448.361,0.000,448.361
IBHC,2021-12-31,WORST,2022-10-19,3536.111,0.000,3536.111
IBHC,2021-12-31,WORST,2022-10-26,8055.556,0.000,8055.556
IBHC,2021-12-31,WORST,2022-10-31,5056.424,170833.333,175889.757
IBHC,2021-12-31,WORST,2022-11-01,87327.986,38888.889,126216.875
IBHC,2021-12-31,WORST,2022-11-04,1932.347,0.000,1932.347
IBHC,2021-12-31,WORST,2022-11-14,1562.500,0.000,1562.500
IBHC,2021-12-31,WORST,2022-11-15,54668.359,345231.966,399900.325
IBHC,2021-12-31,WORST,2022-11-17,3529.583,0.000,3529.583
IBHC,2021-12-31,WORST,2022-11-22,1530.208,0.000,1530.208
IBHC,2021-12-31,WORST,2022-11-23,298.611,0.000,298.611
IBHC,2021-12-31,WORST,2022-11-28,1222.222,0.000,1222.222
IBHC,2021-12-31,WORST,2022-11-29,291.667,0.000,291.667
IBHC,2021-12-31,WORST,2022-11-30,4072.917,0.000,4072.917
IBHC,2021-12-31,WORST,2022-12-01,25162.986,265277.778,290440.764
IBHC,2021-12-31,WORST,2022-12-05,2312.500,0.000,2312.500
IBHC,2021-12-31,WORST,2022-12-12,1609.722,0.000,1609.722
IBHC,2021-12-31,WORST,2022-12-15,70171.708,1593055.556,1663227.264
IBHC,2021-12-31,WORST,2022-12-18,787.037,55555.556,56342.593
IBHC,2021-12-31,WORST,2022-12-30,5590.278,0.000,5590.278
IBHC,2021-12-31,WORST,2023-01-01,2108.849,162500.000,164608.849
IBHC,2021-12-31,WORST,2023-01-03,2050.347,0.000,2050.347
IBHC,2021-12-31,WORST,2023-01-09,1071.875,69444.444,70516.319
IBHC,2021-12-31,WORST,2023-01-15,6316.812,494444.444,500761.256
IBHC,2021-12-31,WORST,2023-01-17,50206.755,357371.670,407578.425
IBHC,2021-12-31,WORST,2023-01-18,190.972,13888.889,14079.861
IBHC,2021-12-31,WORST,2023-01-24,373.264,0.000,373.264
IBHC,2021-12-31,WORST,2023-01-25,10045.139,365277.778,375322.917
IBHC,2021-12-31,WORST,2023-01-26,4027.778,222222.222,226250.000
IBHC,2021-12-31,WORST,2023-01-30,1645.139,115277.778,116922.917
IBHC,2021-12-31,WORST,2023-02-01,18734.611,408333.333,427067.945
IBHC,2021-12-31,WORST,2023-02-03,180.556,0.000,180.556
