STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBHG,2021-12-31,WORST,2022-01-06,15350.000,28704.560,44054.560
IBHG,2021-12-31,WORST,2022-01-10,2135.500,0.000,2135.500
IBHG,2021-12-31,WORST,2022-01-18,89052.294,205500.000,294552.294
IBHG,2021-12-31,WORST,2022-01-30,531.599,258091.300,258622.899
IBHG,2021-12-31,WORST,2022-01-31,22750.000,0.000,22750.000
IBHG,2021-12-31,WORST,2022-02-01,51270.070,454113.300,505383.370
IBHG,2021-12-31,WORST,2022-02-15,50794.098,306219.500,357013.598
IBHG,2021-12-31,WORST,2022-02-17,2475.000,0.000,2475.000
IBHG,2021-12-31,WORST,2022-03-01,41268.750,330050.200,371318.950
IBHG,2021-12-31,WORST,2022-03-14,2537.500,73806.600,76344.100
IBHG,2021-12-31,WORST,2022-03-15,50626.389,279432.000,330058.389
IBHG,2021-12-31,WORST,2022-03-30,9812.500,260312.500,270125.000
IBHG,2021-12-31,WORST,2022-03-31,1000.000,0.000,1000.000
IBHG,2021-12-31,WORST,2022-04-01,41601.250,269799.500,311400.750
IBHG,2021-12-31,WORST,2022-04-15,87477.639,545869.300,633346.939
IBHG,2021-12-31,WORST,2022-04-19,4250.000,0.000,4250.000
IBHG,2021-12-31,WORST,2022-04-28,1687.500,0.000,1687.500
IBHG,2021-12-31,WORST,2022-05-02,44342.904,644235.593,688578.497
IBHG,2021-12-31,WORST,2022-05-15,1650.000,123300.000,124950.000
IBHG,2021-12-31,WORST,2022-05-16,79793.889,583162.500,662956.389
IBHG,2021-12-31,WORST,2022-05-20,1725.000,0.000,1725.000
IBHG,2021-12-31,WORST,2022-05-25,2193.750,0.000,2193.750
IBHG,2021-12-31,WORST,2022-06-01,37954.028,403043.200,440997.228
IBHG,2021-12-31,WORST,2022-06-06,768.750,0.000,768.750
IBHG,2021-12-31,WORST,2022-06-13,1312.500,0.000,1312.500
IBHG,2021-12-31,WORST,2022-06-15,51071.264,92456.400,143527.664
IBHG,2021-12-31,WORST,2022-06-30,3900.000,0.000,3900.000
IBHG,2021-12-31,WORST,2022-07-01,14150.000,41125.200,55275.200
IBHG,2021-12-31,WORST,2022-07-11,2135.500,0.000,2135.500
IBHG,2021-12-31,WORST,2022-07-15,76797.433,943619.700,1020417.133
IBHG,2021-12-31,WORST,2022-07-18,1968.750,0.000,1968.750
IBHG,2021-12-31,WORST,2022-08-01,57680.625,657612.700,715293.325
IBHG,2021-12-31,WORST,2022-08-15,39192.500,380906.250,420098.750
IBHG,2021-12-31,WORST,2022-08-17,2475.000,0.000,2475.000
IBHG,2021-12-31,WORST,2022-09-01,31218.750,133475.000,164693.750
IBHG,2021-12-31,WORST,2022-09-07,3332.386,174250.000,177582.386
IBHG,2021-12-31,WORST,2022-09-15,42206.250,372957.100,415163.350
IBHG,2021-12-31,WORST,2022-09-30,3937.500,143938.000,147875.500
IBHG,2021-12-31,WORST,2022-10-03,33187.500,196312.800,229500.300
IBHG,2021-12-31,WORST,2022-10-15,1921.597,72581.600,74503.197
IBHG,2021-12-31,WORST,2022-10-17,70747.500,471616.800,542364.300
IBHG,2021-12-31,WORST,2022-10-28,1687.500,0.000,1687.500
IBHG,2021-12-31,WORST,2022-11-01,22418.411,312327.069,334745.480
IBHG,2021-12-31,WORST,2022-11-02,2098.250,0.000,2098.250
IBHG,2021-12-31,WORST,2022-11-15,58162.500,163925.800,222088.300
IBHG,2021-12-31,WORST,2022-11-21,1725.000,0.000,1725.000
IBHG,2021-12-31,WORST,2022-11-25,2193.750,0.000,2193.750
IBHG,2021-12-31,WORST,2022-12-01,24087.500,226500.800,250588.300
IBHG,2021-12-31,WORST,2022-12-06,768.750,0.000,768.750
IBHG,2021-12-31,WORST,2022-12-12,1312.500,0.000,1312.500
IBHG,2021-12-31,WORST,2022-12-15,48531.250,720326.000,768857.250
IBHG,2021-12-31,WORST,2023-01-03,16925.000,0.000,16925.000
IBHG,2021-12-31,WORST,2023-01-09,2135.500,0.000,2135.500
