iShares® iBonds® 2027 Term High Yield and Income ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jul 07, 2021"
Shares Outstanding,"500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"CARNIVAL CORP 144A","Corporates","Fixed Income","203,761.39","1.65","203,761.39","200,000.00","143658BN1","US143658BN13","-","99.98","United States","-","USD","4.36","5.75","1.00","Mar 01, 2027","5.75","4.34","-","5.75","4.34","5.75","USD","Feb 16, 2021","Feb 16, 2021"
"CCO HOLDINGS LLC 144A","Corporates","Fixed Income","182,647.79","1.48","182,647.79","175,000.00","1248EPBT9","US1248EPBT92","BYM4WW3","103.52","United States","-","USD","0.63","4.38","1.00","May 01, 2027","5.13","4.61","-","2.17","0.33","2.17","USD","Feb 06, 2017","Feb 06, 2017"
"TRANSDIGM INC","Corporates","Fixed Income","155,623.17","1.26","155,623.17","150,000.00","893647BL0","US893647BL01","-","103.05","United States","-","USD","2.87","4.90","1.00","Nov 15, 2027","5.50","4.96","-","4.36","2.62","4.36","USD","May 15, 2020","Jun 12, 2020"
"CENTENE CORPORATION","Corporates","Fixed Income","146,852.84","1.19","146,852.84","140,000.00","15135BAR2","US15135BAR24","BMCTMH9","104.71","United States","-","USD","1.53","3.37","1.00","Dec 15, 2027","4.25","5.24","-","1.49","0.94","1.49","USD","Dec 06, 2019","May 06, 2020"
"DIRECTV FINANCING LLC 144A","Corporates","Fixed Income","136,108.18","1.10","136,108.18","130,000.00","25461LAA0","US25461LAA08","-","102.27","United States","-","USD","4.12","5.40","1.00","Aug 15, 2027","5.88","4.64","-","5.31","3.92","5.31","USD","Aug 02, 2021","Aug 02, 2021"
"SS&C TECHNOLOGIES INC 144A","Corporates","Fixed Income","132,645.00","1.07","132,645.00","125,000.00","78466CAC0","US78466CAC01","BJQ1YJ6","104.74","United States","-","USD","0.94","4.55","1.00","Sep 30, 2027","5.50","4.85","-","2.86","0.25","2.86","USD","Mar 28, 2019","Mar 28, 2019"
"PAR PHARMACEUTICAL INC 144A","Corporates","Fixed Income","130,041.25","1.05","130,041.25","125,000.00","69888XAA7","US69888XAA72","BJQ1Y85","102.16","United States","-","USD","3.48","7.00","1.00","Apr 01, 2027","7.50","4.22","-","6.74","2.80","6.74","USD","Mar 28, 2019","Mar 28, 2019"
"CLARIOS GLOBAL LP 144A","Corporates","Fixed Income","123,139.12","1.00","123,139.12","115,000.00","69867DAC2","US69867DAC20","BJ0M440","106.02","United States","-","USD","0.37","7.13","1.00","May 15, 2027","8.50","4.26","-","3.54","0.37","3.54","USD","Apr 01, 2019","Apr 01, 2019"
"BOMBARDIER INC 144A","Corporates","Fixed Income","121,255.43","0.98","121,255.43","115,000.00","097751BT7","US097751BT78","BHL3S24","103.78","Canada","-","USD","2.12","7.00","1.00","Apr 15, 2027","7.88","4.23","-","6.08","2.05","6.08","USD","Mar 07, 2019","Mar 07, 2019"
"CAESARS ENTERTAINMENT INC 144A","Corporates","Fixed Income","114,756.50","0.93","114,756.50","100,000.00","28470RAK8","US28470RAK86","BLFBXK5","110.69","United States","-","USD","1.56","5.82","1.00","Jul 01, 2027","8.13","4.31","-","3.41","1.37","3.41","USD","Jul 06, 2020","Jul 06, 2020"
"ALTICE FRANCE SA (FRANCE) 144A","Corporates","Fixed Income","109,991.85","0.89","109,991.85","100,000.00","02156LAA9","US02156LAA98","BYVW0D5","106.63","France","-","USD","0.09","6.57","1.00","Feb 01, 2027","8.13","4.03","-","1.74","0.09","1.74","USD","Jul 31, 2018","Jul 31, 2018"
"BAUSCH HEALTH COMPANIES INC (DELAW 144A","Corporates","Fixed Income","109,281.67","0.88","109,281.67","100,000.00","91911XAW4","US91911XAW48","BFY2Z12","105.74","United States","-","USD","1.41","7.13","1.00","Jan 31, 2027","8.50","3.98","-","5.61","0.55","5.61","USD","Jun 01, 2018","Jun 01, 2018"
"NEXSTAR ESCROW INC 144A","Corporates","Fixed Income","107,725.75","0.87","107,725.75","100,000.00","65343HAA9","US65343HAA95","BJXR8L7","105.13","United States","-","USD","1.84","4.57","1.00","Jul 15, 2027","5.63","4.63","-","3.74","0.52","3.74","USD","Jul 03, 2019","Jul 03, 2019"
"CHS/COMMUNITY HEALTH SYSTEMS INC 144A","Corporates","Fixed Income","107,398.25","0.87","107,398.25","100,000.00","12543DBG4","US12543DBG43","BNNTB78","105.74","United States","-","USD","3.08","4.38","1.00","Mar 15, 2027","5.63","4.44","-","3.94","1.82","3.94","USD","Dec 28, 2020","Dec 28, 2020"
"ZIGGO BV 144A","Corporates","Fixed Income","105,503.83","0.85","105,503.83","100,000.00","98954NAA7","US98954NAA72","BZCR8C1","102.98","Netherlands","-","USD","0.04","4.83","1.00","Jan 15, 2027","5.50","4.27","-","-0.09","0.04","-0.09","USD","Sep 23, 2016","Sep 23, 2016"
"VERTICAL US NEWCO INC 144A","Corporates","Fixed Income","102,093.49","0.83","102,093.49","95,000.00","92537RAA7","US92537RAA77","-","105.05","Germany","-","USD","2.76","4.22","1.00","Jul 15, 2027","5.25","4.69","-","3.53","1.44","3.53","USD","Jul 15, 2020","Jul 15, 2020"
"FIRSTENERGY CORPORATION","Corporates","Fixed Income","99,296.00","0.80","99,296.00","90,000.00","337932AH0","US337932AH00","BDC3P91","108.30","United States","-","USD","4.74","2.77","1.00","Jul 15, 2027","4.40","4.84","-","2.70","4.65","2.70","USD","Jun 21, 2017","Jun 21, 2017"
"UNIVISION COMMUNICATIONS INC 144A","Corporates","Fixed Income","97,388.18","0.79","97,388.18","90,000.00","914906AU6","US914906AU68","-","107.66","United States","-","USD","1.94","4.99","1.00","Jun 01, 2027","6.63","4.54","-","3.35","1.35","3.35","USD","Jun 18, 2020","Jun 18, 2020"
"ICAHN ENTERPRISES LP","Corporates","Fixed Income","93,218.25","0.75","93,218.25","90,000.00","451102BZ9","US451102BZ91","-","102.91","United States","-","USD","4.52","4.63","1.00","May 15, 2027","5.25","4.62","-","4.58","4.25","4.58","USD","Dec 12, 2019","Mar 09, 2020"
