iShares® iBonds® Dec 2022 Term Muni Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Sep 01, 2015"
Shares Outstanding,"14,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"GUILFORD CNTY N C","Prerefund/Escrow","Fixed Income","3,544,348.46","0.93","3,544,348.46","3,460,000.00","401784ZM8","US401784ZM80","-","100.77","United States","-","USD","0.16","0.37","1.00","Mar 01, 2022","5.00","0.17","-","0.37","0.17","0.37","USD","Mar 14, 2012","Mar 14, 2012"
"WISCONSIN ST TRANSN REV","Prerefund/Escrow","Fixed Income","2,926,305.45","0.77","2,926,305.45","2,790,000.00","977123A40","US977123A402","-","102.39","United States","-","USD","0.49","0.22","1.00","Jul 01, 2022","5.00","0.49","-","0.22","0.49","0.22","USD","Apr 25, 2012","Apr 25, 2012"
"NEW JERSEY ST TPK AUTH TPK REV","Prerefund/Escrow","Fixed Income","2,884,710.95","0.76","2,884,710.95","2,750,000.00","646140CU5","US646140CU52","-","102.40","United States","-","USD","0.49","0.20","1.00","Jul 01, 2022","5.00","0.49","-","0.20","0.49","0.20","USD","Apr 04, 2013","Apr 04, 2013"
"METROPOLITAN ATLANTA RAPID TRA","Prerefund/Escrow","Fixed Income","2,113,442.83","0.55","2,113,442.83","2,015,000.00","591745M27","US591745M270","-","102.39","United States","-","USD","0.49","0.22","1.00","Jul 01, 2022","5.00","0.49","-","0.22","0.49","0.22","USD","May 24, 2012","May 24, 2012"
"WISCONSIN ST TRANSN REV","Prerefund/Escrow","Fixed Income","2,097,710.00","0.55","2,097,710.00","2,000,000.00","977123A57","US977123A576","-","102.39","United States","-","USD","0.49","0.22","1.00","Jul 01, 2022","5.00","0.49","-","0.22","0.49","0.22","USD","Apr 25, 2012","Apr 25, 2012"
"HONOLULU HAWAII CITY & CNTY","Prerefund/Escrow","Fixed Income","2,096,285.47","0.55","2,096,285.47","2,000,000.00","438670E98","US438670E985","-","103.98","United States","-","USD","0.82","0.22","1.00","Nov 01, 2022","5.00","0.82","-","0.22","0.82","0.22","USD","Nov 20, 2012","Nov 20, 2012"
"MARYLAND ST","State Tax-Backed","Fixed Income","2,029,334.41","0.53","2,029,334.41","1,935,000.00","574193QK7","US574193QK74","-","102.79","United States","-","USD","0.57","0.21","1.00","Aug 01, 2022","5.00","0.57","-","0.21","0.57","0.21","USD","Aug 15, 2018","Aug 15, 2018"
"SOUTH-WESTERN CITY SCH DIST OH","Prerefund/Escrow","Fixed Income","1,843,342.86","0.48","1,843,342.86","1,800,000.00","840658NB0","US840658NB06","-","101.99","United States","-","USD","0.42","0.22","1.00","Jun 01, 2022","5.00","0.42","-","0.22","0.42","0.22","USD","Aug 29, 2012","Aug 29, 2012"
"WASHINGTON ST","Prerefund/Escrow","Fixed Income","1,835,211.93","0.48","1,835,211.93","1,750,000.00","93974CY87","US93974CY877","-","102.79","United States","-","USD","0.57","0.22","1.00","Aug 01, 2022","5.00","0.57","-","0.22","0.57","0.22","USD","Aug 02, 2012","Aug 02, 2012"
"NEW YORK ST URBAN DEV CORP REV","State Tax-Backed","Fixed Income","1,577,552.93","0.41","1,577,552.93","1,540,000.00","650035W53","US650035W539","-","100.97","United States","-","USD","0.20","0.29","1.00","Mar 15, 2022","5.00","0.21","-","0.29","0.21","0.29","USD","Mar 17, 2016","Mar 17, 2016"
"MASSACHUSETTS ST","Prerefund/Escrow","Fixed Income","1,347,433.10","0.35","1,347,433.10","1,285,000.00","57582P6Q8","US57582P6Q85","-","103.19","United States","-","USD","0.66","0.21","1.00","Sep 01, 2022","5.00","0.65","-","0.21","0.65","0.21","USD","Sep 24, 2014","Sep 24, 2014"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","1,342,075.34","0.35","1,342,075.34","1,310,000.00","64990E5K9","US64990E5K90","-","100.56","United States","-","USD","0.13","0.41","1.00","Feb 15, 2022","5.00","0.12","-","0.41","0.12","0.41","USD","Oct 20, 2016","Oct 20, 2016"
"MARYLAND ST","Prerefund/Escrow","Fixed Income","1,331,691.62","0.35","1,331,691.62","1,300,000.00","574193JQ2","US574193JQ28","-","100.77","United States","-","USD","0.16","0.37","1.00","Mar 01, 2022","5.00","0.17","-","0.37","0.17","0.37","USD","Mar 18, 2014","Mar 18, 2014"
