STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBML,2021-12-31,WORST,2022-01-06,114097.948,27536.574,141634.522
IBML,2021-12-31,WORST,2022-01-18,6303.638,0.000,6303.638
IBML,2021-12-31,WORST,2022-02-01,90842.195,0.000,90842.195
IBML,2021-12-31,WORST,2022-02-15,44464.552,0.000,44464.552
IBML,2021-12-31,WORST,2022-03-01,46378.887,0.000,46378.887
IBML,2021-12-31,WORST,2022-03-15,23345.149,0.000,23345.149
IBML,2021-12-31,WORST,2022-04-01,58033.997,0.000,58033.997
IBML,2021-12-31,WORST,2022-04-15,11016.791,0.000,11016.791
IBML,2021-12-31,WORST,2022-05-02,54932.603,0.000,54932.603
IBML,2021-12-31,WORST,2022-05-16,35153.918,0.000,35153.918
IBML,2021-12-31,WORST,2022-06-01,82928.638,0.000,82928.638
IBML,2021-12-31,WORST,2022-06-15,16969.113,0.000,16969.113
IBML,2021-12-31,WORST,2022-07-01,114354.478,3272.260,117626.738
IBML,2021-12-31,WORST,2022-07-15,6303.638,0.000,6303.638
IBML,2021-12-31,WORST,2022-08-01,90792.444,0.000,90792.444
IBML,2021-12-31,WORST,2022-08-15,44464.552,0.000,44464.552
IBML,2021-12-31,WORST,2022-09-01,46423.974,0.000,46423.974
IBML,2021-12-31,WORST,2022-09-15,23345.149,0.000,23345.149
IBML,2021-12-31,WORST,2022-10-03,58523.321,0.000,58523.321
IBML,2021-12-31,WORST,2022-10-17,11016.791,0.000,11016.791
IBML,2021-12-31,WORST,2022-11-01,54951.259,0.000,54951.259
IBML,2021-12-31,WORST,2022-11-15,35153.918,0.000,35153.918
IBML,2021-12-31,WORST,2022-12-01,82928.638,0.000,82928.638
IBML,2021-12-31,WORST,2022-12-15,16811.567,0.000,16811.567
IBML,2021-12-31,WORST,2023-01-03,114264.490,813059.701,927324.192
IBML,2021-12-31,WORST,2023-01-17,6303.638,31343.284,37646.922
IBML,2021-12-31,WORST,2023-02-01,91091.366,951865.672,1042957.038
IBML,2021-12-31,WORST,2023-02-07,38.765,37313.433,37352.197
IBML,2021-12-31,WORST,2023-02-15,44464.552,977985.075,1022449.627
IBML,2021-12-31,WORST,2023-03-01,46423.974,679477.612,725901.586
IBML,2021-12-31,WORST,2023-03-15,23345.149,809701.493,833046.642
IBML,2021-12-31,WORST,2023-04-03,58523.321,697388.060,755911.381
IBML,2021-12-31,WORST,2023-04-17,11016.791,207089.552,218106.343
IBML,2021-12-31,WORST,2023-05-01,54951.259,932089.552,987040.812
IBML,2021-12-31,WORST,2023-05-15,35153.918,702238.806,737392.724
IBML,2021-12-31,WORST,2023-06-01,82928.638,1871641.791,1954570.429
IBML,2021-12-31,WORST,2023-06-15,16811.567,689552.239,706363.806
IBML,2021-12-31,WORST,2023-07-03,92093.315,3664638.187,3756731.502
IBML,2021-12-31,WORST,2023-07-17,5520.056,220149.254,225669.310
IBML,2021-12-31,WORST,2023-08-01,68882.929,2832089.552,2900972.481
IBML,2021-12-31,WORST,2023-08-14,22.637,26119.403,26142.040
IBML,2021-12-31,WORST,2023-08-15,20158.582,865671.642,885830.224
IBML,2021-12-31,WORST,2023-09-01,29677.705,1231716.418,1261394.123
IBML,2021-12-31,WORST,2023-09-15,3498.134,139925.373,143423.507
IBML,2021-12-31,WORST,2023-10-02,41415.578,1691044.776,1732460.354
IBML,2021-12-31,WORST,2023-10-16,5839.552,233582.090,239421.642
IBML,2021-12-31,WORST,2023-11-01,33547.886,1372014.925,1405562.811
IBML,2021-12-31,WORST,2023-11-15,17638.060,722388.060,740026.119
IBML,2021-12-31,WORST,2023-12-01,36899.254,1479477.612,1516376.866
IBML,2021-12-31,MATURITY,2022-01-06,114097.948,27536.574,141634.522
IBML,2021-12-31,MATURITY,2022-01-18,6303.638,0.000,6303.638
IBML,2021-12-31,MATURITY,2022-02-01,90842.195,0.000,90842.195
IBML,2021-12-31,MATURITY,2022-02-15,44464.552,0.000,44464.552
IBML,2021-12-31,MATURITY,2022-03-01,46378.887,0.000,46378.887
IBML,2021-12-31,MATURITY,2022-03-15,23345.149,0.000,23345.149
IBML,2021-12-31,MATURITY,2022-04-01,58033.997,0.000,58033.997
IBML,2021-12-31,MATURITY,2022-04-15,11016.791,0.000,11016.791
IBML,2021-12-31,MATURITY,2022-05-02,54932.603,0.000,54932.603
IBML,2021-12-31,MATURITY,2022-05-16,35153.918,0.000,35153.918
IBML,2021-12-31,MATURITY,2022-06-01,82928.638,0.000,82928.638
IBML,2021-12-31,MATURITY,2022-06-15,16969.113,0.000,16969.113
IBML,2021-12-31,MATURITY,2022-07-01,114354.478,3272.260,117626.738
IBML,2021-12-31,MATURITY,2022-07-15,6303.638,0.000,6303.638
IBML,2021-12-31,MATURITY,2022-08-01,90792.444,0.000,90792.444
IBML,2021-12-31,MATURITY,2022-08-15,44464.552,0.000,44464.552
IBML,2021-12-31,MATURITY,2022-09-01,46423.974,0.000,46423.974
IBML,2021-12-31,MATURITY,2022-09-15,23345.149,0.000,23345.149
IBML,2021-12-31,MATURITY,2022-10-03,58523.321,0.000,58523.321
IBML,2021-12-31,MATURITY,2022-10-17,11016.791,0.000,11016.791
