iShares® iBonds® Dec 2023 Term Muni Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Apr 11, 2017"
Shares Outstanding,"13,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"UNIVERSITY CALIF REVS FOR PREV","Education","Fixed Income","2,275,694.35","0.66","2,275,694.35","2,125,000.00","91412GST3","US91412GST30","-","106.45","United States","-","USD","1.33","0.28","1.00","May 15, 2023","5.00","1.34","-","0.28","1.34","0.28","USD","Oct 02, 2013","Oct 02, 2013"
"WISCONSIN ST","Prerefund/Escrow","Fixed Income","2,143,009.67","0.62","2,143,009.67","2,000,000.00","97705L8C4","US97705L8C46","-","106.32","United States","-","USD","1.30","0.25","1.00","May 01, 2023","5.00","1.30","-","0.25","1.30","0.25","USD","Feb 19, 2015","Feb 19, 2015"
"SALT LAKE CNTY UTAH EXCISE TAX","Prerefund/Escrow","Fixed Income","1,916,758.88","0.55","1,916,758.88","1,750,000.00","79567TAS4","US79567TAS42","-","107.64","United States","-","USD","1.55","0.28","1.00","Aug 15, 2023","5.00","1.55","-","0.28","1.55","0.28","USD","Jan 07, 2014","Jan 07, 2014"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","1,665,005.92","0.48","1,665,005.92","1,520,000.00","13063DHG6","US13063DHG60","-","107.46","United States","-","USD","1.51","0.28","1.00","Aug 01, 2023","5.00","1.51","-","0.28","1.51","0.28","USD","Sep 18, 2018","Sep 18, 2018"
"WISCONSIN ST CLEAN WTR REV","Prerefund/Escrow","Fixed Income","1,594,927.54","0.46","1,594,927.54","1,490,000.00","977092WE1","US977092WE14","-","106.63","United States","-","USD","1.38","0.31","1.00","Jun 01, 2023","5.00","1.38","-","0.31","1.38","0.31","USD","Mar 20, 2013","Mar 20, 2013"
"COLUMBUS OHIO","Prerefund/Escrow","Fixed Income","1,369,735.88","0.39","1,369,735.88","1,250,000.00","199492DP1","US199492DP11","-","107.08","United States","-","USD","1.43","0.27","1.00","Jul 01, 2023","5.00","1.43","-","0.27","1.43","0.27","USD","Jun 13, 2013","Jun 13, 2013"
"METROPOLITAN GOVT NASHVILLE &","Prerefund/Escrow","Fixed Income","1,340,257.62","0.39","1,340,257.62","1,250,000.00","592112NE2","US592112NE26","-","104.72","United States","-","USD","0.97","0.27","1.00","Jan 01, 2023","5.00","0.97","-","0.27","0.97","0.27","USD","May 09, 2013","May 09, 2013"
"COAST CMNTY COLLEGE DIST CALIF","Prerefund/Escrow","Fixed Income","1,315,072.12","0.38","1,315,072.12","1,200,000.00","190335FE4","US190335FE46","-","107.51","United States","-","USD","1.51","0.25","1.00","Aug 01, 2023","5.00","1.51","-","0.25","1.51","0.25","USD","May 29, 2013","May 29, 2013"
"INDIANA FIN AUTH HWY REV","State Tax-Backed","Fixed Income","1,225,340.33","0.35","1,225,340.33","1,120,000.00","45470RCR5","US45470RCR57","-","108.99","United States","-","USD","1.85","0.29","1.00","Dec 01, 2023","5.00","1.85","-","0.29","1.85","0.29","USD","Sep 02, 2016","Sep 02, 2016"
"TEXAS ST UNIV SYS FING REV","Education","Fixed Income","1,216,722.86","0.35","1,216,722.86","1,135,000.00","88278PUF9","US88278PUF97","-","105.73","United States","-","USD","1.17","0.24","1.00","Mar 15, 2023","5.00","1.17","-","0.24","1.17","0.24","USD","Mar 18, 2015","Mar 01, 2015"
"VIRGINIA COMWLTH TRANSN BRD","Prerefund/Escrow","Fixed Income","1,179,270.64","0.34","1,179,270.64","1,100,000.00","927790GM1","US927790GM14","-","105.73","United States","-","USD","1.17","0.23","1.00","Mar 15, 2023","5.00","1.17","-","0.23","1.17","0.23","USD","Nov 21, 2013","Nov 21, 2013"
"UNIVERSITY UTAH UNIV REVS","Prerefund/Escrow","Fixed Income","1,176,915.63","0.34","1,176,915.63","1,075,000.00","915183A49","US915183A492","-","107.40","United States","-","USD","1.51","0.31","1.00","Aug 01, 2023","5.00","1.51","-","0.31","1.51","0.31","USD","Jul 15, 2014","Jul 15, 2014"
"NEW MEXICO ST SEVERANCE TAX","State Tax-Backed","Fixed Income","1,171,827.08","0.34","1,171,827.08","1,070,000.00","647310W56","US647310W565","-","107.02","United States","-","USD","1.43","0.31","1.00","Jul 01, 2023","5.00","1.43","-","0.31","1.43","0.31","USD","Jun 23, 2016","Jun 23, 2016"
"LOS ANGELES CALIF UNI SCH DIST","School Districts","Fixed Income","1,161,701.17","0.33","1,161,701.17","1,060,000.00","5446462Z4","US5446462Z40","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","May 28, 2015","May 28, 2015"
"NEW YORK NY","Local Tax-Backed","Fixed Income","1,160,947.76","0.33","1,160,947.76","1,060,000.00","64966MSR1","US64966MSR15","-","107.44","United States","-","USD","1.51","0.29","1.00","Aug 01, 2023","5.00","1.51","-","0.29","1.51","0.29","USD","Dec 20, 2017","Dec 20, 2017"
