STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMO,2021-12-31,WORST,2022-01-06,99859.145,17642.522,117501.667
IBMO,2021-12-31,WORST,2022-01-18,10869.838,0.000,10869.838
IBMO,2021-12-31,WORST,2022-02-01,82878.196,0.000,82878.196
IBMO,2021-12-31,WORST,2022-02-15,30482.301,0.000,30482.301
IBMO,2021-12-31,WORST,2022-03-01,43829.031,0.000,43829.031
IBMO,2021-12-31,WORST,2022-03-15,27274.336,0.000,27274.336
IBMO,2021-12-31,WORST,2022-04-01,55521.018,0.000,55521.018
IBMO,2021-12-31,WORST,2022-04-15,10398.230,0.000,10398.230
IBMO,2021-12-31,WORST,2022-05-02,47742.257,0.000,47742.257
IBMO,2021-12-31,WORST,2022-05-16,26269.912,0.000,26269.912
IBMO,2021-12-31,WORST,2022-06-01,83325.590,0.000,83325.590
IBMO,2021-12-31,WORST,2022-06-15,27985.644,0.000,27985.644
IBMO,2021-12-31,WORST,2022-07-01,100777.655,0.000,100777.655
IBMO,2021-12-31,WORST,2022-07-15,10774.336,0.000,10774.336
IBMO,2021-12-31,WORST,2022-08-01,82691.372,0.000,82691.372
IBMO,2021-12-31,WORST,2022-08-15,30482.301,0.000,30482.301
IBMO,2021-12-31,WORST,2022-09-01,43936.947,0.000,43936.947
IBMO,2021-12-31,WORST,2022-09-15,27274.336,0.000,27274.336
IBMO,2021-12-31,WORST,2022-10-03,55521.018,0.000,55521.018
IBMO,2021-12-31,WORST,2022-10-17,10398.230,0.000,10398.230
IBMO,2021-12-31,WORST,2022-11-01,47794.248,0.000,47794.248
IBMO,2021-12-31,WORST,2022-11-15,26269.912,0.000,26269.912
IBMO,2021-12-31,WORST,2022-12-01,82508.850,0.000,82508.850
IBMO,2021-12-31,WORST,2022-12-15,27415.929,0.000,27415.929
IBMO,2021-12-31,WORST,2023-01-03,100630.531,0.000,100630.531
IBMO,2021-12-31,WORST,2023-01-17,10774.336,0.000,10774.336
IBMO,2021-12-31,WORST,2023-02-01,82691.372,0.000,82691.372
IBMO,2021-12-31,WORST,2023-02-15,30482.301,0.000,30482.301
IBMO,2021-12-31,WORST,2023-03-01,43936.947,0.000,43936.947
IBMO,2021-12-31,WORST,2023-03-15,27274.336,0.000,27274.336
IBMO,2021-12-31,WORST,2023-04-03,55521.018,0.000,55521.018
IBMO,2021-12-31,WORST,2023-04-17,10398.230,0.000,10398.230
IBMO,2021-12-31,WORST,2023-05-01,47794.248,0.000,47794.248
IBMO,2021-12-31,WORST,2023-05-15,26269.912,0.000,26269.912
IBMO,2021-12-31,WORST,2023-06-01,82508.850,0.000,82508.850
IBMO,2021-12-31,WORST,2023-06-15,27415.929,0.000,27415.929
IBMO,2021-12-31,WORST,2023-07-03,100630.531,0.000,100630.531
IBMO,2021-12-31,WORST,2023-07-17,10774.336,0.000,10774.336
IBMO,2021-12-31,WORST,2023-08-01,82691.372,0.000,82691.372
IBMO,2021-12-31,WORST,2023-08-15,30482.301,0.000,30482.301
IBMO,2021-12-31,WORST,2023-09-01,43936.947,0.000,43936.947
IBMO,2021-12-31,WORST,2023-09-15,27274.336,0.000,27274.336
IBMO,2021-12-31,WORST,2023-10-02,55521.018,0.000,55521.018
IBMO,2021-12-31,WORST,2023-10-16,10398.230,0.000,10398.230
IBMO,2021-12-31,WORST,2023-11-01,47794.248,0.000,47794.248
IBMO,2021-12-31,WORST,2023-11-15,26269.912,0.000,26269.912
IBMO,2021-12-31,WORST,2023-12-01,82508.850,0.000,82508.850
IBMO,2021-12-31,WORST,2023-12-15,27415.929,0.000,27415.929
IBMO,2021-12-31,WORST,2024-01-02,100630.531,0.000,100630.531
IBMO,2021-12-31,WORST,2024-01-16,10774.336,0.000,10774.336
IBMO,2021-12-31,WORST,2024-02-01,82691.372,22123.894,104815.265
IBMO,2021-12-31,WORST,2024-02-15,30482.301,35398.230,65880.531
