iShares® iBonds® Dec 2026 Term Muni Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Apr 02, 2019"
Shares Outstanding,"5,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"METROPOLITAN TRANSN AUTH N Y R","Government Related","Fixed Income","818,415.66","0.54","818,415.66","685,000.00","59261APW1","US59261APW17","-","118.84","United States","-","USD","4.40","1.03","1.00","Nov 15, 2026","5.00","4.39","-","1.03","4.39","1.03","USD","Dec 14, 2017","Dec 14, 2017"
"CALIFORNIA ST FOR PREVIOUS ISS","Government Related","Fixed Income","754,225.27","0.50","754,225.27","620,000.00","13063CX21","US13063CX217","-","119.98","United States","-","USD","4.71","1.80","1.00","Sep 01, 2028","5.00","5.72","-","0.65","4.20","0.65","USD","Sep 13, 2016","Sep 13, 2016"
"INDIANA FIN AUTH HWY REV","Government Related","Fixed Income","722,961.81","0.48","722,961.81","595,000.00","45470RCU8","US45470RCU86","-","121.09","United States","-","USD","4.58","0.99","1.00","Jun 01, 2027","5.00","4.84","-","0.64","4.44","0.64","USD","Sep 02, 2016","Sep 02, 2016"
"UTAH ST","Government Related","Fixed Income","721,342.14","0.48","721,342.14","590,000.00","917542WL2","US917542WL25","-","119.76","United States","-","USD","4.03","0.55","1.00","Jul 01, 2026","5.00","4.03","-","0.55","4.03","0.55","USD","Feb 27, 2020","Feb 27, 2020"
"NEW JERSEY ST","Government Related","Fixed Income","670,429.09","0.44","670,429.09","565,000.00","646039YK7","US646039YK78","-","118.24","United States","-","USD","4.03","0.79","1.00","Jun 01, 2026","5.00","4.03","-","0.79","4.03","0.79","USD","Nov 24, 2020","Nov 24, 2020"
"NEW YORK ST DORM AUTH SALES TA","Government Related","Fixed Income","643,911.59","0.42","643,911.59","530,000.00","64990AEY7","US64990AEY73","-","120.02","United States","-","USD","4.65","1.60","1.00","Mar 15, 2028","5.00","5.39","-","0.67","4.23","0.67","USD","Sep 29, 2016","Sep 29, 2016"
"GEORGIA ST","Government Related","Fixed Income","610,802.37","0.40","610,802.37","500,000.00","373385GM9","US373385GM95","-","120.08","United States","-","USD","4.12","0.56","1.00","Aug 01, 2026","5.00","4.12","-","0.56","4.12","0.56","USD","Aug 27, 2020","Aug 27, 2020"
"MARYLAND ST DEPT TRANSN CONS T","Government Related","Fixed Income","583,289.38","0.38","583,289.38","480,000.00","574204L84","US574204L842","-","120.27","United States","-","USD","4.80","1.80","1.00","Oct 01, 2028","5.00","5.80","-","0.66","4.28","0.66","USD","Oct 03, 2018","Oct 03, 2018"
"MICHIGAN FIN AUTH REV","Government Related","Fixed Income","573,179.62","0.38","573,179.62","470,000.00","59447TNY5","US59447TNY54","-","120.70","United States","-","USD","4.80","1.74","1.00","Oct 01, 2028","5.00","5.80","-","0.58","4.28","0.58","USD","Nov 17, 2016","Nov 17, 2016"
"OREGON ST DEPT ADMINISTRATIVE","Government Related","Fixed Income","572,623.57","0.38","572,623.57","495,000.00","68607VN35","US68607VN356","-","114.43","United States","-","USD","3.22","1.48","1.00","Apr 01, 2026","5.00","3.84","-","0.52","3.02","0.52","USD","Jan 28, 2015","Jan 28, 2015"
