STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMP,2021-12-31,WORST,2022-01-06,94240.566,46631.392,140871.958
IBMP,2021-12-31,WORST,2022-01-18,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2022-02-01,72022.012,0.000,72022.012
IBMP,2021-12-31,WORST,2022-02-15,36599.580,0.000,36599.580
IBMP,2021-12-31,WORST,2022-03-01,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2022-03-15,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2022-04-01,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2022-04-15,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2022-05-02,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2022-05-16,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2022-06-01,72129.456,0.000,72129.456
IBMP,2021-12-31,WORST,2022-06-15,16787.212,0.000,16787.212
IBMP,2021-12-31,WORST,2022-07-01,96724.843,0.000,96724.843
IBMP,2021-12-31,WORST,2022-07-15,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2022-08-01,73410.902,0.000,73410.902
IBMP,2021-12-31,WORST,2022-08-15,35122.642,0.000,35122.642
IBMP,2021-12-31,WORST,2022-09-01,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2022-09-15,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2022-10-03,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2022-10-17,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2022-11-01,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2022-11-15,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2022-12-01,71735.849,0.000,71735.849
IBMP,2021-12-31,WORST,2022-12-15,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2023-01-03,96127.358,0.000,96127.358
IBMP,2021-12-31,WORST,2023-01-17,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2023-02-01,72981.132,0.000,72981.132
IBMP,2021-12-31,WORST,2023-02-15,35122.642,0.000,35122.642
IBMP,2021-12-31,WORST,2023-03-01,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2023-03-15,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2023-04-03,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2023-04-17,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2023-05-01,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2023-05-15,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2023-06-01,71735.849,0.000,71735.849
IBMP,2021-12-31,WORST,2023-06-15,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2023-07-03,96127.358,0.000,96127.358
IBMP,2021-12-31,WORST,2023-07-17,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2023-08-01,72981.132,0.000,72981.132
IBMP,2021-12-31,WORST,2023-08-15,35122.642,0.000,35122.642
IBMP,2021-12-31,WORST,2023-09-01,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2023-09-15,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2023-10-02,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2023-10-16,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2023-11-01,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2023-11-15,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2023-12-01,71735.849,0.000,71735.849
IBMP,2021-12-31,WORST,2023-12-15,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2024-01-02,96127.358,0.000,96127.358
IBMP,2021-12-31,WORST,2024-01-16,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2024-02-01,72981.132,0.000,72981.132
IBMP,2021-12-31,WORST,2024-02-15,35122.642,0.000,35122.642
IBMP,2021-12-31,WORST,2024-03-01,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2024-03-15,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2024-04-01,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2024-04-15,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2024-05-01,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2024-05-15,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2024-06-03,71735.849,0.000,71735.849
IBMP,2021-12-31,WORST,2024-06-17,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2024-07-01,96127.358,0.000,96127.358
IBMP,2021-12-31,WORST,2024-07-15,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2024-08-01,72981.132,0.000,72981.132
IBMP,2021-12-31,WORST,2024-08-15,35122.642,0.000,35122.642
IBMP,2021-12-31,WORST,2024-09-03,34471.698,0.000,34471.698
IBMP,2021-12-31,WORST,2024-09-16,24669.811,0.000,24669.811
IBMP,2021-12-31,WORST,2024-10-01,54235.849,0.000,54235.849
IBMP,2021-12-31,WORST,2024-10-15,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2024-11-01,74301.887,0.000,74301.887
IBMP,2021-12-31,WORST,2024-11-15,33283.019,0.000,33283.019
IBMP,2021-12-31,WORST,2024-12-02,71735.849,0.000,71735.849
IBMP,2021-12-31,WORST,2024-12-16,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2025-01-02,96127.358,152830.189,248957.547
IBMP,2021-12-31,WORST,2025-01-15,13679.245,0.000,13679.245
IBMP,2021-12-31,WORST,2025-02-03,72981.132,0.000,72981.132
IBMP,2021-12-31,WORST,2025-02-18,35122.642,47169.811,82292.453
IBMP,2021-12-31,WORST,2025-03-03,34471.698,33962.264,68433.962
IBMP,2021-12-31,WORST,2025-03-17,24669.811,81132.075,105801.887
IBMP,2021-12-31,WORST,2025-04-01,54235.849,86792.453,141028.302
IBMP,2021-12-31,WORST,2025-04-15,9056.604,0.000,9056.604
IBMP,2021-12-31,WORST,2025-05-01,74301.887,103773.585,178075.472
IBMP,2021-12-31,WORST,2025-05-15,33283.019,71698.113,104981.132
IBMP,2021-12-31,WORST,2025-06-02,71735.849,64150.943,135886.792
IBMP,2021-12-31,WORST,2025-06-16,15990.566,0.000,15990.566
IBMP,2021-12-31,WORST,2025-07-01,92306.604,220754.717,313061.321
