STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMQ,2021-12-31,WORST,2022-01-06,98583.333,101920.568,200503.902
IBMQ,2021-12-31,WORST,2022-01-18,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2022-02-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2022-02-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2022-03-01,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2022-03-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2022-04-01,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2022-04-15,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2022-05-02,50302.631,0.000,50302.631
IBMQ,2021-12-31,WORST,2022-05-16,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2022-06-01,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2022-06-15,13932.749,0.000,13932.749
IBMQ,2021-12-31,WORST,2022-07-01,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2022-07-15,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2022-08-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2022-08-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2022-09-01,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2022-09-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2022-10-03,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2022-10-17,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2022-11-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2022-11-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2022-12-01,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2022-12-15,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2023-01-03,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2023-01-17,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2023-02-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2023-02-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2023-03-01,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2023-03-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2023-04-03,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2023-04-17,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2023-05-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2023-05-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2023-06-01,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2023-06-15,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2023-07-03,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2023-07-17,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2023-08-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2023-08-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2023-09-01,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2023-09-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2023-10-02,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2023-10-16,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2023-11-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2023-11-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2023-12-01,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2023-12-15,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2024-01-02,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2024-01-16,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2024-02-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2024-02-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2024-03-01,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2024-03-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2024-04-01,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2024-04-15,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2024-05-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2024-05-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2024-06-03,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2024-06-17,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2024-07-01,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2024-07-15,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2024-08-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2024-08-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2024-09-03,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2024-09-16,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2024-10-01,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2024-10-15,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2024-11-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2024-11-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2024-12-02,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2024-12-16,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2025-01-02,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2025-01-15,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2025-02-03,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2025-02-18,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2025-03-03,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2025-03-17,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2025-04-01,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2025-04-15,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2025-05-01,50412.281,0.000,50412.281
IBMQ,2021-12-31,WORST,2025-05-15,22412.281,0.000,22412.281
IBMQ,2021-12-31,WORST,2025-06-02,64061.404,0.000,64061.404
IBMQ,2021-12-31,WORST,2025-06-16,13377.193,0.000,13377.193
IBMQ,2021-12-31,WORST,2025-07-01,98583.333,0.000,98583.333
IBMQ,2021-12-31,WORST,2025-07-15,15570.175,0.000,15570.175
IBMQ,2021-12-31,WORST,2025-08-01,85982.456,0.000,85982.456
IBMQ,2021-12-31,WORST,2025-08-15,37614.035,0.000,37614.035
IBMQ,2021-12-31,WORST,2025-09-02,34836.623,0.000,34836.623
IBMQ,2021-12-31,WORST,2025-09-15,25526.316,0.000,25526.316
IBMQ,2021-12-31,WORST,2025-10-01,61192.982,0.000,61192.982
IBMQ,2021-12-31,WORST,2025-10-15,9517.544,0.000,9517.544
IBMQ,2021-12-31,WORST,2025-11-03,50412.281,0.000,50412.281
