iShares® iBonds® Dec 2022 Term Treasury ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Feb 25, 2020"
Shares Outstanding,"3,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY NOTE","Treasury","Fixed Income","15,074,043.09","17.99","15,074,043.09","14,850,000.00","912828L57","US912828L575","BYXJBX1","101.07","United States","-","USD","0.74","0.32","1.00","Sep 30, 2022","1.75","0.74","-","0.32","0.74","0.32","USD","Sep 30, 2015","Sep 30, 2015"
"TREASURY NOTE","Treasury","Fixed Income","9,523,904.94","11.37","9,523,904.94","9,460,400.00","912828Z60","US912828Z609","BKMH688","100.10","United States","-","USD","0.08","0.19","1.00","Jan 31, 2022","1.38","0.08","-","0.19","0.08","0.19","USD","Jan 31, 2020","Jan 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","9,468,363.67","11.30","9,468,363.67","9,353,900.00","9128286C9","US9128286C90","BJ7G9D9","100.29","United States","-","USD","0.13","0.21","1.00","Feb 15, 2022","2.50","0.12","-","0.21","0.12","0.21","USD","Feb 15, 2019","Feb 15, 2019"
"TREASURY NOTE","Treasury","Fixed Income","8,312,518.50","9.92","8,312,518.50","8,250,000.00","912828XW5","US912828XW50","BF1TTC5","100.76","United States","-","USD","0.50","0.23","1.00","Jun 30, 2022","1.75","0.50","-","0.23","0.50","0.23","USD","Jun 30, 2017","Jun 30, 2017"
"TREASURY NOTE","Treasury","Fixed Income","7,256,933.17","8.66","7,256,933.17","7,136,700.00","9128283C2","US9128283C28","BF2K392","101.35","United States","-","USD","0.83","0.37","1.00","Oct 31, 2022","2.00","0.83","-","0.37","0.83","0.37","USD","Oct 31, 2017","Oct 31, 2017"
"TREASURY NOTE","Treasury","Fixed Income","6,132,535.38","7.32","6,132,535.38","6,034,800.00","912828M80","US912828M805","BYWKSB2","101.45","United States","-","USD","0.90","0.40","1.00","Nov 30, 2022","2.00","0.90","-","0.40","0.90","0.40","USD","Nov 30, 2015","Nov 30, 2015"
"TREASURY NOTE","Treasury","Fixed Income","6,131,976.63","7.32","6,131,976.63","6,141,000.00","91282CAR2","US91282CAR25","BMYVTS3","99.83","United States","-","USD","0.83","0.33","1.00","Oct 31, 2022","0.13","0.83","-","0.33","0.83","0.33","USD","Oct 31, 2020","Nov 02, 2020"
"TREASURY NOTE","Treasury","Fixed Income","5,698,617.65","6.80","5,698,617.65","5,698,900.00","912828ZR4","US912828ZR48","BMC3044","99.98","United States","-","USD","0.41","0.16","1.00","May 31, 2022","0.13","0.41","-","0.16","0.41","0.16","USD","May 31, 2020","Jun 01, 2020"
"TREASURY NOTE","Treasury","Fixed Income","3,660,167.80","4.37","3,660,167.80","3,626,900.00","912828V72","US912828V723","BDFFCZ9","100.14","United States","-","USD","0.08","0.24","1.00","Jan 31, 2022","1.88","0.08","-","0.24","0.08","0.24","USD","Jan 31, 2017","Jan 31, 2017"
"TREASURY NOTE","Treasury","Fixed Income","3,398,445.03","4.06","3,398,445.03","3,405,800.00","91282CAX9","US91282CAX92","BLH34M8","99.77","United States","-","USD","0.90","0.38","1.00","Nov 30, 2022","0.13","0.90","-","0.38","0.90","0.38","USD","Nov 30, 2020","Nov 30, 2020"
