ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE|TNOTE|US912828Z609|912828Z60|United States|9460400|9525|9525|USD|ISHIBT22|1/31/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828V723|912828V72|United States|3626900|3661|3661|USD|ISHIBT22|1/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128286C90|9128286C9|United States|9353900|9470|9470|USD|ISHIBT22|2/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128286M72|9128286M7|United States|372000|376|376|USD|ISHIBT22|4/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828ZR48|912828ZR4|United States|5698900|5699|5699|USD|ISHIBT22|6/1/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828XW50|912828XW5|United States|8250000|8385|8385|USD|ISHIBT22|6/30/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128287C81|9128287C8|United States|990000|1006|1006|USD|ISHIBT22|7/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAC55|91282CAC5|United States|3366000|3366|3366|USD|ISHIBT22|7/31/2020|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAG69|91282CAG6|United States|330000|330|330|USD|ISHIBT22|8/31/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828L575|912828L57|United States|14850000|15079|15079|USD|ISHIBT22|9/30/2015|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAN11|91282CAN1|United States|1075900|1075|1075|USD|ISHIBT22|9/30/2020|
12/30/2021|TREASURY NOTE|TNOTE|US9128283C28|9128283C2|United States|7136700|7260|7260|USD|ISHIBT22|10/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAR25|91282CAR2|United States|6141000|6133|6133|USD|ISHIBT22|11/2/2020|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAX92|91282CAX9|United States|3405800|3399|3399|USD|ISHIBT22|11/30/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828M805|912828M80|United States|6034800|6134|6134|USD|ISHIBT22|11/30/2015|
12/30/2021|USD CASH|USD|||United States|50578|51|51|USD|ISHIBT22|1/1/1989|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|2860000|2860|2860|USD|ISHIBT22|2/4/2009|
