ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE|TNOTE|US91282CBE03|91282CBE0|United States|3890900|3844|3844|USD|ISHIBT24|1/15/2021|
12/30/2021|TREASURY NOTE|TNOTE|US9128285Z94|9128285Z9|United States|6748800|7062|7062|USD|ISHIBT24|1/31/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128286G05|9128286G0|United States|2910700|3033|3033|USD|ISHIBT24|2/28/2019|
12/30/2021|TREASURY NOTE|TNOTE|US91282CBV28|91282CBV2|United States|656000|650|650|USD|ISHIBT24|4/15/2021|
12/30/2021|TREASURY NOTE|TNOTE|US912828X703|912828X70|United States|2625000|2705|2705|USD|ISHIBT24|5/1/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128286R69|9128286R6|United States|6300000|6530|6530|USD|ISHIBT24|4/30/2019|
12/30/2021|TREASURY NOTE|TNOTE|US91282CCG42|91282CCG4|United States|118400|117|117|USD|ISHIBT24|6/15/2021|
12/30/2021|TREASURY NOTE|TNOTE|US91282CCL37|91282CCL3|United States|295500|292|292|USD|ISHIBT24|7/15/2021|
12/30/2021|TREASURY NOTE|TNOTE|US912828Y875|912828Y87|United States|315700|325|325|USD|ISHIBT24|7/31/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128282N91|9128282N9|United States|1123800|1169|1169|USD|ISHIBT24|7/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828D564|912828D56|United States|756000|792|792|USD|ISHIBT24|8/15/2014|
12/30/2021|TREASURY NOTE|TNOTE|US91282CCX74|91282CCX7|United States|13865200|13686|13686|USD|ISHIBT24|9/15/2021|
12/30/2021|TREASURY NOTE|TNOTE|US912828YH74|912828YH7|United States|9450000|9635|9635|USD|ISHIBT24|9/30/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828G385|912828G38|United States|525000|546|546|USD|ISHIBT24|11/17/2014|
12/30/2021|TREASURY NOTE|TNOTE|US912828YV68|912828YV6|United States|2866000|2915|2915|USD|ISHIBT24|12/2/2019|
12/30/2021|USD CASH|USD|||United States|4391|4|4|USD|ISHIBT24|1/1/1989|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|118000|118|118|USD|ISHIBT24|2/4/2009|
