STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTK,2021-12-31,WORST,2022-01-06,0.000,108337.450,108337.450
IBTK,2021-12-31,WORST,2022-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2022-05-16,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2022-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2022-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2023-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2023-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2023-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2023-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2024-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2024-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2024-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2024-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2025-02-18,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2025-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2025-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2025-11-17,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2026-02-17,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2026-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2026-08-17,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2026-11-16,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2027-02-16,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2027-05-17,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2027-08-16,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2027-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2028-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2028-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2028-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2028-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2029-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2029-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2029-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,WORST,2029-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,WORST,2030-02-15,52431.875,4040500.000,4092931.875
IBTK,2021-12-31,WORST,2030-05-15,51072.188,5750000.000,5801072.188
IBTK,2021-12-31,WORST,2030-08-15,22128.125,7081000.000,7103128.125
IBTK,2021-12-31,WORST,2030-11-15,33103.438,7566500.000,7599603.438
IBTK,2021-12-31,MATURITY,2022-01-06,0.000,108337.450,108337.450
IBTK,2021-12-31,MATURITY,2022-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2022-05-16,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2022-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2022-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2023-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2023-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2023-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2023-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2024-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2024-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2024-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2024-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2025-02-18,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2025-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2025-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2025-11-17,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2026-02-17,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2026-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2026-08-17,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2026-11-16,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2027-02-16,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2027-05-17,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2027-08-16,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2027-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2028-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2028-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2028-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2028-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2029-02-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2029-05-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2029-08-15,52431.875,0.000,52431.875
IBTK,2021-12-31,MATURITY,2029-11-15,51072.188,0.000,51072.188
IBTK,2021-12-31,MATURITY,2030-02-15,52431.875,4040500.000,4092931.875
IBTK,2021-12-31,MATURITY,2030-05-15,51072.188,5750000.000,5801072.188
IBTK,2021-12-31,MATURITY,2030-08-15,22128.125,7081000.000,7103128.125
IBTK,2021-12-31,MATURITY,2030-11-15,33103.438,7566500.000,7599603.438
