STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTL,2021-12-31,WORST,2022-01-06,0.000,57350.400,57350.400
IBTL,2021-12-31,WORST,2022-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2022-05-16,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2022-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2022-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2023-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2023-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2023-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2023-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2024-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2024-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2024-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2024-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2025-02-18,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2025-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2025-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2025-11-17,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2026-02-17,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2026-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2026-08-17,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2026-11-16,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2027-02-16,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2027-05-17,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2027-08-16,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2027-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2028-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2028-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2028-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2028-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2029-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2029-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2029-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2029-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2030-02-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2030-05-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2030-08-15,78703.125,0.000,78703.125
IBTL,2021-12-31,WORST,2030-11-15,88937.500,0.000,88937.500
IBTL,2021-12-31,WORST,2031-02-18,78703.125,6925000.000,7003703.125
IBTL,2021-12-31,WORST,2031-05-15,88937.500,7240000.000,7328937.500
IBTL,2021-12-31,WORST,2031-08-15,39750.000,6360000.000,6399750.000
IBTL,2021-12-31,WORST,2031-11-17,30112.500,4380000.000,4410112.500
IBTL,2021-12-31,MATURITY,2022-01-06,0.000,57350.400,57350.400
